,tf_list
YGR229C,YOR028C; YNL068C; YEL009C; YGL209W; YMR037C; YKL062W; YGL013C; YDL020C; YIL101C; YML007W; YOR162C; YOR140W; YBL005W; YJR060W; YPL038W; YHL027W; YIL131C; YMR016C; YCR084C; YHR084W; YBR083W; YHR124W; YDR253C; YMR043W; YGR044C; YHR056C; YGL237C; YBR066C; YKL043W; YHR178W; YNL103W; YPL128C; YOR372C
YPL104W,YIL036W; YFL021W; YEL009C; YIR017C; YGL013C; YDL020C; YLR403W; YML007W; YBL005W; YJR060W; YPL038W; YER040W; YER111C; YDR123C; YER169W; YOR290C; YBR083W; YDR253C; YGL162W; YOL108C; YGL237C
YOR183W,YNL068C; YEL009C; YDL020C; YLR403W; YKL020C; YML007W; YOR162C; YPR104C; YBL005W; YJR060W; YPL038W; YER040W; YKR099W; YDR310C; YIL131C; YHR084W; YER028C; YBR083W; YHR124W; YDR253C; YNL167C; YBR049C; YPL177C; YCL055W; YNL216W; YJR127C; YHR178W; YBR240C; YNL103W; YLR223C; YFL031W
YIL093C,YEL009C; YGL073W; YIR017C; YGL013C; YDL020C; YLR403W; YML007W; YBL005W; YJR060W; YPL038W; YER040W; YOR032C; YER169W; YDR207C; YBR083W; YDR253C; YOL108C; YDR034C; YFL031W; YOR363C
YJL083W,YOR028C; YEL009C; YGL073W; YKL032C; YIR017C; YGL013C; YBL005W; YPL038W; YOR290C; YMR016C; YCR084C; YHR084W; YBR083W; YHR124W; YDR253C; YNL167C; YML027W; YGL162W
YIL041W,YKL112W; YEL009C; YIR017C; YGL013C; YDL020C; YML007W; YDR259C; YBL005W; YGL071W; YJR060W; YPL038W; YLR113W; YDL106C; YDR463W; YDR207C; YBR239C; YCR084C; YAL051W; YDR253C; YDR277C; YNL167C; YER161C; YPR009W; YPR199C; YFR034C; YPL089C; YHR206W; YBL021C; YGR249W; YHR006W; YDR392W; YDR477W; YGL096W; YBR297W; YBR182C; YML051W
YDL166C,YEL009C; YMR037C; YLR403W; YIL101C; YML007W; YBL005W; YER111C; YKR099W; YHL027W; YIL131C; YBR083W; YDR253C; YML099C
YDR065W,YNL027W; YNL068C; YFL021W; YEL009C; YMR037C; YKL062W; YDL020C; YML007W; YOR162C; YPR104C; YBL005W; YPL038W; YER040W; YKR099W; YIR023W; YHR084W; YER028C; YBR083W; YHR124W; YDR253C; YCR106W; YER109C; YNL216W; YOL108C; YMR070W; YNL103W
YPL060W,YOR028C; YNL027W; YIL036W; YNL068C; YEL009C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YML007W; YOR162C; YPR104C; YBL005W; YGL071W; YJR060W; YPL038W; YKR099W; YIL131C; YOR290C; YMR016C; YPL254W; YHR084W; YBR083W; YDR253C; YNL167C; YNL216W; YML099C; YPL075W; YDR423C
YMR133W,YOR028C; YIL036W; YNL068C; YEL009C; YGL073W; YKL032C; YMR037C; YKL062W; YGL013C; YDL020C; YIL101C; YPR104C; YBL005W; YGL071W; YER040W; YER169W; YBL103C; YDR207C; YIL131C; YCR084C; YHR084W; YBR083W; YLR256W; YHR124W; YDR253C; YCL055W; YGL162W; YBL021C; YJR127C; YPR008W; YFL031W; YGL166W; YBR182C; YJR094C
YCR027C,YOR028C; YNL068C; YEL009C; YIR017C; YMR037C; YGL013C; YDL020C; YML007W; YBL005W; YJR060W; YIL131C; YMR016C; YHR084W; YER028C; YBR083W; YDR253C; YNL167C; YER161C; YCL055W; YCR065W; YKL038W; YHR206W; YDL056W; YGR044C
YNL180C,YOR028C; YIL036W; YNL068C; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YML007W; YDR259C; YOR162C; YOR140W; YPR104C; YBL054W; YBL005W; YGL071W; YJR060W; YER111C; YPL202C; YKR099W; YLR113W; YMR164C; YDL106C; YHL027W; YPL139C; YBR239C; YIL131C; YMR016C; YCR084C; YHR084W; YER028C; YAL051W; YBR083W; YDR253C; YDR277C; YOR380W; YNL167C; YPR009W; YLR098C; YMR042W; YNL097C; YER109C; YNL216W; YGL162W; YOL108C; YGR249W; YKL043W; YHR006W; YPL075W; YLR451W; YPR008W; YDR423C; YKR064W; YDR477W; YGL166W; YOR113W; YDR009W; YML081W; YLR266C; YBR150C
YDL220C,YKL112W; YIL036W; YEL009C; YKL032C; YKL062W; YLR403W; YML007W; YPR104C; YPL038W; YDR310C; YMR016C; YHR084W; YAL051W; YDR253C; YNL167C; YDR451C; YKL109W; YFR034C; YDL056W; YDR216W; YER109C; YNL216W; YHR056C; YGL162W; YJL056C; YKL185W; YLR131C
YBR135W,YKL112W; YNL027W; YIL036W; YNL068C; YEL009C; YKL032C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YOR032C; YKR099W; YIR023W; YLR113W; YDR123C; YBL103C; YJL127C; YDR463W; YDR310C; YIL131C; YOR290C; YCR084C; YHR084W; YNL199C; YER028C; YAL051W; YBR083W; YOR344C; YLR256W; YHR124W; YDR253C; YER088C; YDR277C; YDR043C; YOR380W; YCR106W; YMR182C; YJL089W; YNL167C; YER161C; YDL048C; YPR009W; YDR451C; YML027W; YLR098C; YER130C; YER184C; YMR043W; YBR049C
YPL160W,YKL112W; YOR028C; YIL036W; YFL021W; YEL009C; YIR017C; YMR037C; YKL062W; YGL013C; YDL020C; YLR403W; YKL020C; YML007W; YOR162C; YBL005W; YJR060W; YPL038W; YKR099W; YDR123C; YHL027W; YER169W; YDR207C; YMR016C; YHR084W; YBR083W; YDR253C; YBR049C; YPR199C; YFR034C; YCR065W; YDL056W; YGL237C; YLR451W; YPR008W; YDR423C; YGL096W; YBR297W; YGL166W; YMR021C
