,tf_list
YBR254C,YKL112W; YLR403W; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YGL237C; YJL127C; YIL036W; YCR084C; YHR084W; YDR253C; YMR070W; YJL056C; YBL103C; YIL131C; YHR206W; YOL028C; YDR277C; YDL170W; YOR363C; YMR043W
YOL059W,YKL112W; YOL108C; YLR403W; YML007W; YHR178W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YNL199C; YDL106C; YJL127C; YPL254W; YPL075W; YHR124W; YDR123C; YNL167C; YHR084W; YBR083W; YER169W; YMR037C; YKL062W; YDR253C; YMR070W; YNL216W; YMR016C; YDR423C; YIL131C; YHR206W; YMR043W; YER028C; YKL020C; YHL020C; YOR162C; YOR028C; YLR256W; YDR216W; YDR259C; YDR096W; YKL032C; YCR065W; YPL128C; YML099C; YOL089C
YBR185C,YOL108C; YLR403W; YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YGL237C; YIL036W; YPL254W; YCR084C; YGL073W; YDR123C; YDR207C; YIR023W; YER169W; YMR037C; YKL062W; YDR253C; YER040W; YMR070W; YIR013C; YFL031W; YOR032C; YNL216W; YMR182C; YGR044C; YMR016C; YGL162W; YDR451C; YML027W; YJL056C; YDR423C; YLR228C; YHL027W; YOL067C; YBL103C; YOR230W; YIR018W; YLR013W
YHR041C,YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YNL199C; YHR124W; YKL062W; YDR253C; YBL103C; YPR104C; YKL043W; YGL096W; YJR127C; YAL051W; YLR256W; YOR344C; YBR297W
YJL176C,YKL112W; YLR403W; YML007W; YDL020C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YGL237C; YGL073W; YHR084W; YBR083W; YMR037C; YKL062W; YDR253C; YAL051W
YGL213C,YKL112W; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YKR099W; YPL075W; YHR124W; YDR253C; YNL314W; YER111C; YOR162C; YJR147W
YNL067W,YKL112W; YBR049C; YLR403W; YML007W; YHR178W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YNL199C; YGL237C; YJL127C; YIL036W; YPL254W; YOR290C; YCR084C; YPL075W; YGL073W; YHR084W; YBR083W; YER169W; YMR037C; YKL062W; YDR253C; YER040W; YNL216W; YMR016C; YLR228C; YHL027W; YBL103C; YIR018W; YIL131C; YOL028C; YMR043W; YER028C; YKL020C; YPR104C; YIR033W; YLR131C; YNL314W; YLR223C; YKL043W; YFR034C; YPL089C; YPR065W; YER111C; YOR140W; YOR162C; YGL071W; YMR164C; YGL035C; YGR249W; YDR259C; YGL209W; YER161C; YLR176C; YHR006W; YDR096W; YJL110C; YDR310C; YNL068C; YNL103W; YGL254W; YBL021C; YML099C; YML076C; YBR112C
YJL109C,YLR403W; YML007W; YFL021W; YDL020C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YIL036W; YNL167C; YER169W; YMR037C; YKL062W; YDR253C; YER040W; YMR016C; YPL089C; YOR162C; YDR259C; YNL103W; YHR056C
YOR209C,YBR049C; YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YJL127C; YIL036W; YOR290C; YCR084C; YPL075W; YER169W; YMR037C; YDR253C; YDR423C; YHL027W; YDL170W; YIL101C; YIR033W; YFR034C; YOR162C; YLR451W; YAL051W; YDR216W; YKR034W; YGR249W; YNL027W; YLR098C; YLR176C; YDR310C; YNL068C; YIL130W
YNL238W,YOL108C; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YNL199C; YGL237C; YHR084W; YBR083W; YDR207C; YDR253C; YOR363C; YPR104C; YIR033W; YDR146C; YER111C; YGL166W; YPR008W; YMR021C; YBR297W; YJL103C
YKL101W,YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YOR290C; YHR124W; YHR084W; YBR083W; YER169W; YMR037C; YKL062W; YDR253C; YDR423C; YHL027W; YIR018W; YIL131C; YIL101C; YKL043W; YER111C; YOR028C; YDR259C; YER161C; YGL166W; YKL109W; YDL056W; YNL068C; YNL103W
YLR137W,YOL108C; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YJL127C; YHR124W; YBR083W; YDR253C; YFL031W; YNL216W; YJL056C; YLR228C; YKL015W; YKL043W; YFR034C; YOR162C; YGL071W; YDL056W; YNL103W; YKL032C; YPL202C
YLR351C,YKL112W; YOL108C; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YIL036W; YPL254W; YGL073W; YHR124W; YDR123C; YNL167C; YMR037C; YDR253C; YMR016C; YLR228C; YHL020C; YFR034C; YAL051W; YJL089W; YLR014C; YHR006W; YKL185W; YOL116W; YKR064W; YPR009W
YLR147C,YLR403W; YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YGL237C; YDL106C; YOR290C; YHR084W; YDR253C; YER040W; YOR032C; YBL103C; YOR363C; YER109C; YPR104C; YPL248C; YNL314W; YPL177C; YOR028C; YBR240C; YOR344C; YPR008W; YDR421W; YPL133C; YKL032C; YOL116W; YML099C
YDR171W,YKL112W; YBR049C; YLR403W; YML007W; YHR178W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YNL199C; YDL106C; YIL036W; YGL073W; YHR124W; YDR123C; YCL055W; YNL167C; YHR084W; YBR083W; YIR023W; YMR037C; YKL062W; YDR253C; YOR032C; YGR044C; YMR016C; YDR451C; YML027W; YHL027W; YBL103C; YLR013W; YIL131C; YHR206W; YDL170W; YMR043W; YER109C; YER028C; YKL020C; YIL101C; YPR104C; YIR033W; YPL089C; YPR065W; YER111C; YOR140W; YOR162C; YGL071W; YOR028C; YGL035C; YDR216W; YGR249W; YDR463W; YNL027W; YLR176C; YKL109W; YHR006W; YDR096W; YJL110C; YDL056W; YDR213W; YPR008W; YDR310C; YDR421W; YPL133C
YLR333C,YKL112W; YOL108C; YBR049C; YLR403W; YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YGL237C; YJL127C; YIL036W; YOR290C; YPL075W; YHR124W; YDR123C; YNL167C; YHR084W; YMR037C; YOR032C; YNL216W; YDR423C; YIL131C; YOL028C; YOR363C; YKL020C; YPR104C; YIR033W; YPL248C; YDR146C; YNL314W; YLR223C; YFR034C; YGL071W; YPL177C; YOR028C; YMR164C; YBR240C; YDR259C; YOR344C; YDR421W; YPL133C; YNL068C; YPL128C
YDL139C,YBR049C; YLR403W; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YKR099W; YDR123C; YHR084W; YBR083W; YER169W; YDR253C; YER028C; YKL020C; YPR104C; YOR028C; YMR164C
YGR085C,YBR049C; YLR403W; YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YPL038W; YKR099W; YNL199C; YGL237C; YJL127C; YIL036W; YPL254W; YOR290C; YCR084C; YPL075W; YGL073W; YHR084W; YPL049C; YDR253C; YER040W; YOR032C; YNL216W; YLR228C; YBL103C; YIL131C; YOL028C; YOR363C; YMR043W; YER028C; YKL020C; YPR104C; YIR033W; YPL248C; YNL314W; YLR223C; YFR034C; YPR065W; YER111C; YPL177C; YOR028C; YMR164C; YBR240C; YNL027W; YLR098C; YOR344C; YNL103W
YBR143C,YKL112W; YOL108C; YBR049C; YLR403W; YML007W; YHR178W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YMR042W; YKR099W; YNL199C; YGL237C; YDL106C; YJL127C; YLR182W; YDR520C; YIL036W; YPL254W; YOR290C; YCR084C; YPL075W; YGL073W; YHR124W; YDR123C
YHR044C,YKL112W; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YKR099W; YCR084C; YGL073W; YHR124W; YCL055W; YBR083W; YDR253C; YER040W; YFL031W; YMR182C; YLR228C; YKL020C; YIL101C; YIR033W; YNL314W; YHL020C; YFR034C; YOR162C; YJR127C; YOR344C; YLR176C; YKL109W; YBL021C
YNL261W,YLR403W; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YGL237C; YLR182W; YCR084C; YHR084W; YDR253C; YMR182C; YOL028C; YPR065W; YGL071W; YJR127C; YGL166W; YKL032C; YBR297W
YAR002W,YLR403W; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YJR060W; YJL127C; YIL036W; YOR290C; YCR084C; YHR084W; YER169W; YMR037C; YKL062W; YLR228C; YOR363C; YPL248C; YGL071W; YDR216W; YGR249W; YOR344C
YGR105W,YLR403W; YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YPL038W; YKR099W; YNL199C; YJL127C; YIL036W; YDR123C; YHR084W; YBR083W; YDR253C; YER040W; YML027W; YIL131C; YGL096W; YOR028C; YOR344C; YNL068C; YKL032C; YCR065W
YOR083W,YKL112W; YOL108C; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YKR099W; YIL036W; YCR084C; YDR123C; YHR084W; YMR037C; YKL062W; YDR253C; YER040W; YPR104C; YOR162C; YMR164C; YDR310C; YCR065W
YIL019W,YOL108C; YLR403W; YML007W; YHR178W; YFL021W; YGL013C; YEL009C; YIR017C; YJR060W; YPL038W; YNL199C; YLR182W; YIL036W; YOR290C; YCR084C; YGL073W; YDR123C; YCL055W; YBR083W; YDR207C; YER169W; YMR037C; YKL062W; YDR253C; YER040W; YNL216W; YMR182C; YGL162W; YHL027W; YIR018W; YLR013W; YOR363C; YPR104C; YPL248C; YKL015W; YKL038W; YHL009C; YLR223C; YFR034C; YPL089C; YER111C; YOR162C; YPL177C; YOR028C; YOR344C; YKL109W; YJL110C; YDR421W; YPL133C; YNL068C; YDR043C; YBR066C
YKL195W,YKL112W; YOL108C; YML007W; YDL020C; YGL013C; YBL005W; YEL009C; YIR017C; YJR060W; YPL038W; YMR042W; YIL036W; YER169W; YMR037C; YKL062W; YDR253C; YFL031W; YGL162W; YML027W; YHL027W; YIL131C; YDR392W; YDR146C; YPR065W; YOR162C; YOR028C; YLR256W; YGR249W; YGL166W; YKL109W; YHR006W; YNL068C; YNL103W; YPL139C; YOL089C
YGL154C,YML007W; YFL021W; YDL020C; YGL013C; YBL005W; YEL009C; YPL038W; YKR099W; YIL036W; YPL254W; YOR290C; YBR083W; YDR207C; YDR253C; YER040W; YIR018W; YMR043W; YER111C; YLR451W; YCR106W; YGR249W; YER130C; YOR344C; YHR056C
YOR323C,YEL009C; YNL216W; YMR016C; YHR084W; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YNL199C; YCR084C; YPL075W; YLR451W; YKL112W; YDR253C; YKR099W; YJL127C; YIL036W; YPL248C; YBR049C; YFL031W; YMR021C; YDL106C; YGL071W; YOR290C; YKR034W; YNL068C; YLR131C
YLR141W,YOR028C; YEL009C; YDR043C; YKL043W; YNL216W; YMR016C; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YDR392W; YCR084C; YKL062W; YBR083W; YKL112W; YMR043W; YDR207C; YDR253C; YIL036W; YOR363C; YBR049C; YPL202C; YGL209W; YBR066C; YDL106C; YFR034C; YOR162C; YOR140W; YDR123C; YLR256W; YDR096W; YPR065W; YOR290C; YGL035C; YDR310C; YBL103C; YML076C; YPR104C; YNL068C; YNL167C; YNL103W; YKL015W; YJL110C; YJL089W; YBR112C
YCL043C,YEL009C; YOL108C; YKL032C; YNL216W; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YDR392W; YNL199C; YLR403W; YPL075W; YMR037C; YKL062W; YMR043W; YIL131C; YDR253C; YIR033W; YIL036W; YOR344C; YFL031W; YFR034C; YKL020C; YDR123C; YOR290C; YPR104C; YNL068C; YGL254W; YHR206W; YFL021W; YER169W
YHR160C,YOR028C; YEL009C; YCL055W; YGR249W; YMR016C; YHR084W; YIL101C; YIR018W; YDL020C; YBL005W; YML007W; YJR060W; YPL038W; YER040W; YLR403W; YMR037C; YKL062W; YBR083W; YGR044C; YDR253C; YKR099W; YOR363C; YFL031W; YER028C; YOR140W; YDR123C; YPR199C; YIR013C; YDR096W; YDR451C; YHR178W; YPR104C; YAL051W; YML027W; YDR213W; YDL048C
YIL159W,YER109C; YEL009C; YOL108C; YHL027W; YHR084W; YHR124W; YJR127C; YDL020C; YGL013C; YBL005W; YML007W; YPL038W; YER040W; YCR084C; YBR083W; YDR216W; YMR043W; YIL131C; YDR253C; YKR099W; YOR363C; YBR049C; YKL020C; YDR123C; YDR451C; YOR290C; YDR310C; YHR178W; YNL068C; YAL051W; YDL048C; YMR172W
YNL229C,YEL009C; YGR249W; YHL027W; YER111C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YLR228C; YCR084C; YER130C; YDR253C; YBR049C; YPR065W; YFL021W
YIL119C,YOR028C; YER109C; YEL009C; YOL108C; YKL032C; YGR249W; YDR043C; YKL043W; YNL216W; YHL027W; YMR016C; YHR084W; YIL101C; YDR259C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YGL073W; YDR392W; YLR228C; YNL199C; YLR403W; YCR084C; YMR070W; YMR037C; YKL062W; YBR083W; YLR451W; YKL112W; YGR044C; YIL131C; YDR207C; YDR253C; YKR099W; YIR033W; YJL127C; YIL036W; YPL177C; YPL133C; YOL028C; YDR423C; YNL027W; YFL031W; YMR021C; YGL209W; YBR066C; YKL020C; YDR463W; YGL096W; YDR123C; YGL071W; YHR006W; YPR065W; YLR182W; YPL254W; YJR147W; YGL035C; YOL067C; YHR178W; YPR104C; YNL068C; YHR206W; YOL116W; YNL167C; YPL128C; YLR223C; YAL051W; YPL089C; YGL166W; YCR065W; YKL109W; YNL103W; YKL015W; YGL162W; YMR182C; YKR064W; YBR112C
YHR010W,YOR028C; YEL009C; YOL108C; YCL055W; YKL043W; YNL216W; YHR084W; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YGL073W; YLR403W; YCR084C; YPL075W; YKL112W; YIL131C; YDR253C; YKR099W; YIR033W; YJL127C; YIL036W; YNL314W; YGL237C; YPL177C; YPL248C; YOR032C; YOR363C; YPL133C; YBR240C; YOR344C; YOL028C; YFL031W; YFR034C; YKL020C; YDR123C; YGL071W; YLR256W; YPR199C; YPL254W; YOR290C; YML099C; YMR164C; YBL103C; YHR178W; YPR104C; YNL068C; YHR206W; YFL021W; YOL116W; YNL167C; YLR223C; YNL103W; YKL015W; YMR280C; YDR421W; YLR131C; YKL038W; YDR146C; YIR023W; YPL049C; YHL009C; YJL089W
YDR052C,YEL009C; YDR043C; YHL027W; YHR084W; YIR017C; YJR060W; YPL038W; YLR403W; YBR083W; YPL202C; YKL020C; YPR199C; YBR297W; YOR290C; YNL167C
YMR301C,YEL009C; YOL108C; YDL020C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YLR403W; YDR253C; YKR099W; YGL237C; YPL248C; YOR344C; YDL106C; YPL254W; YFL021W; YHL020C; YMR182C
YNL041C,YEL009C; YMR016C; YHR084W; YJR127C; YIR017C; YPL038W; YNL199C; YLR403W; YDR253C; YNL314W; YKL020C; YIL130W; YNL068C; YCR065W; YKL015W
YDL148C,YEL009C; YHL027W; YMR016C; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YDR392W; YLR403W; YCR084C; YMR037C; YKL062W; YBR083W; YKL112W; YDR207C; YDR253C; YGL237C; YBR049C; YOR162C; YPR065W; YHR178W; YFL021W; YER169W; YPL089C; YGL166W
YER074W,YOR028C; YEL009C; YOL108C; YNL216W; YMR016C; YHR084W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YLR403W; YCR084C; YPL075W; YMR070W; YMR037C; YIL131C; YKR099W; YJL127C; YPL248C; YOR363C; YBR049C; YBR182C; YKL020C; YOR162C; YHR006W; YPR104C; YGL254W; YER169W; YLR223C; YNL103W; YJL110C; YLR098C
YOR307C,YOR028C; YEL009C; YCL055W; YHL027W; YMR016C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YLR403W; YBR083W; YDR253C; YIR033W; YPL177C; YPL248C; YOR032C; YOR363C; YBR240C; YOR344C; YOL028C; YPR065W; YDR310C; YFL021W; YNL167C; YCR065W; YKL015W; YKL038W
YDR236C,YEL009C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YGL073W; YLR403W; YMR037C; YKL062W; YDR253C; YNL314W; YLR176C; YER169W
YML125C,YOR028C; YEL009C; YKL043W; YNL216W; YIL101C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YDR392W; YNL199C; YLR403W; YCR084C; YPL075W; YKL062W; YGR044C; YDR207C; YDR253C; YKR099W; YIR033W; YJL127C; YIL036W; YNL314W; YPL177C; YPL248C; YNL027W; YER028C; YDR123C; YOR290C; YHR178W; YFL021W; YER169W; YOR372C; YKL015W; YGL162W; YKL038W; YDR146C; YHL009C; YER045C
YAL022C,YOR028C; YER109C; YEL009C; YCL055W; YDR043C; YKL043W; YDR259C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YDR392W; YLR403W; YPL075W; YDR216W; YKL112W; YMR043W; YIR033W; YPL177C; YPL248C; YOR032C; YOR363C; YPL133C; YBR240C; YOR344C; YPL202C; YMR021C; YER028C; YBR182C; YDR451C; YBR297W; YDR310C; YML081W; YHR178W; YPR104C; YGL254W; YML027W; YKL015W; YDR421W; YLR131C; YKL038W; YDR146C; YHL009C; YER045C
YAL020C,YEL009C; YKL032C; YKL043W; YHR084W; YJR127C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YDR216W; YKL112W; YOR162C; YBL103C; YPR104C; YFL021W; YGL166W
YGL090W,YEL009C; YNL216W; YDL020C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YBR083W; YKL112W; YDR253C; YKR099W; YDR123C; YPR104C; YFL021W; YMR042W
YBR296C,YOR028C; YER109C; YEL009C; YOL108C; YKL032C; YDR043C; YKL043W; YNL216W; YHL027W; YMR016C; YHR084W; YER111C; YDR259C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YJR060W; YPL038W; YGL073W; YDR392W; YLR228C; YNL199C; YLR403W; YCR084C; YPL075W; YMR037C; YKL062W; YBR083W; YMR043W; YKL185W; YGR044C; YDR207C; YDR253C; YKR099W; YJL127C; YIL036W; YOR032C; YPL133C; YOR344C; YPL202C; YDR423C; YNL027W; YFL031W; YMR021C; YGL209W; YER028C; YBR066C; YDL106C; YFR034C; YBR182C; YKL020C; YDR463W; YGL096W; YOR162C; YOR140W; YDR123C; YGL071W; YLR256W; YHR006W; YPR199C; YIR013C; YDR096W; YLR176C; YPR065W; YHR056C; YDR451C; YOL089C; YBR297W; YDR477W; YER161C; YLR182W; YPL254W; YOR290C; YML099C; YOR113W; YKR034W; YJR147W; YGR288W; YGL035C; YMR164C; YLR266C; YNL097C; YOL067C; YDR169C; YDR310C; YIL130W; YML081W; YJL056C; YBL103C; YMR039C; YML076C; YHR178W
YHR129C,YEL009C; YNL216W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YLR403W; YCR084C; YBR083W; YIL131C; YFL031W; YFR034C; YOR290C; YFL021W
YGL184C,YER109C; YEL009C; YOL108C; YKL032C; YKL043W; YNL216W; YHL027W; YHR084W; YER111C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YGL073W; YDR392W; YLR403W; YPL075W; YMR037C; YKL062W; YBR083W; YER130C; YLR451W; YKL185W; YGR044C; YIL131C; YDR207C; YDR253C; YKR099W; YIR033W; YIL036W; YOR032C; YOR344C; YFL031W; YMR021C; YER028C; YDR463W; YOR162C; YDR123C; YLR176C; YOR290C; YBL103C; YMR039C; YML076C; YHR178W; YNL068C; YHR206W; YFL021W; YER169W; YNL167C; YNL103W; YLR183C; YIL033C
YDR146C,YEL009C; YOL108C; YGR249W; YNL216W; YHL027W; YHR084W; YIL101C; YHR124W; YIR018W; YML007W; YIR017C; YJR060W; YPL038W; YLR403W; YPL075W; YKL112W; YMR043W; YIL131C; YDR253C; YKR099W; YIR033W; YBR049C; YPL202C; YKL020C; YDR463W; YDR123C; YPR199C; YPR065W; YOR113W; YML081W; YBL103C; YNL068C; YFL021W; YDL056W; YGL166W; YBL021C; YOR372C; YDL170W; YML027W; YKL109W; YNL103W; YKL015W; YDR213W; YPR008W; YPL139C; YBR239C; YMR280C
YNR027W,YER109C; YEL009C; YKL032C; YGR249W; YKL043W; YMR016C; YHR084W; YER111C; YIL101C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YNL199C; YLR403W; YBR083W; YMR043W; YDR253C; YJL127C; YOR032C; YPL202C; YPR199C; YDR451C; YIL130W; YNL068C; YNL167C; YAL051W; YKL109W
YGR227W,YEL009C; YNL216W; YHL027W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YBR083W; YLR451W; YKL112W; YDR253C; YOR363C; YOL028C; YFL031W; YER028C; YHR178W; YER169W; YBL021C; YDL170W; YDR146C
YMR153W,YEL009C; YNL216W; YPL038W; YER040W; YMR037C; YKL062W; YBR083W; YKL112W; YDR253C; YIL036W; YBR049C; YPR199C; YNL068C; YDR277C
YBR048W,YEL009C; YNL216W; YMR016C; YHR084W; YIL101C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YGL073W; YDR392W; YLR403W; YPL075W; YMR037C; YKL062W; YBR083W; YLR451W; YMR043W; YGR044C; YIL131C; YDR253C; YJL127C; YIL036W; YGL237C; YOR032C; YOR363C; YBR049C; YDL106C; YKL020C; YOR162C; YDR451C; YPL254W; YOR290C; YDR310C; YHR178W; YPR104C; YHR206W; YER169W; YOL116W; YLR223C; YML027W; YNL103W; YLR013W; YHL009C; YMR182C
YKL143W,YOR028C; YEL009C; YNL216W; YHL027W; YDR259C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YDR392W; YLR228C; YCR084C; YMR037C; YKL062W; YBR083W; YKL112W; YMR043W; YDR207C; YDR253C; YJL127C; YIL036W; YPL177C; YOR344C; YBR049C; YNL027W; YER028C; YFR034C; YDR123C; YGL071W; YLR256W; YBR297W; YOR290C; YDR310C; YHR178W; YHR206W; YFL021W; YER169W; YDL056W; YPL089C; YGL166W; YNL103W; YJL110C; YLR098C; YGL162W; YHL009C
YGL256W,YER109C; YEL009C; YGR249W; YMR016C; YHR084W; YDR259C; YIR018W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YDR392W; YNL199C; YLR403W; YCR084C; YMR037C; YKL062W; YKL112W; YIL131C; YDR253C; YIL036W; YOR032C; YOR363C; YOR344C; YFL031W; YDL106C; YFR034C; YOR140W; YDR123C; YLR176C; YPR065W; YDR451C; YER161C; YJL056C; YNL068C; YNL167C; YML027W; YKL109W; YNL103W; YKL015W
YBR028C,YEL009C; YOL108C; YER111C; YDL020C; YGL013C; YBL005W; YML007W; YJR060W; YPL038W; YGL073W; YCR084C; YJL127C; YIL036W; YGL071W; YLR182W; YPL254W; YOR290C; YGL166W; YPR008W; YMR042W
YKR057W,YOR028C; YEL009C; YCL055W; YGR249W; YNL216W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YGL073W; YNL199C; YLR403W; YCR084C; YPL075W; YMR037C; YKL112W; YIL131C; YDR253C; YKR099W; YIR033W; YJL127C; YIL036W; YNL314W; YGL237C; YPL177C; YPL248C; YOR032C; YOR363C; YPL133C; YBR240C; YOR344C; YOL028C; YDR423C; YFR034C; YOR162C; YGL071W; YBR297W; YPL254W; YOR290C; YML099C; YPR104C; YNL068C; YFL021W; YOL116W; YLR223C; YKL015W; YPR008W; YDR421W; YLR131C; YDR146C
YCR063W,YER109C; YEL009C; YOL108C; YKL032C; YKL043W; YNL216W; YHL027W; YMR016C; YHR084W; YER111C; YDL020C; YGL013C; YBL005W; YML007W; YJR060W; YPL038W; YLR403W; YCR084C; YMR037C; YKL062W; YBR083W; YKL112W; YMR043W; YKL185W; YIL131C; YDR253C; YIL036W; YBR049C; YGL209W; YOR162C; YOR140W; YDR123C; YPR065W; YPR104C; YNL068C; YHR206W; YDL056W; YOL116W; YNL167C; YPL128C; YLR223C; YAL051W
YLR355C,YER109C; YEL009C; YOL108C; YKL032C; YNL216W; YMR016C; YHR084W; YER111C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YER040W; YGL073W; YLR228C; YNL199C; YLR403W; YCR084C; YPL075W; YMR037C; YKL062W; YER130C; YLR451W; YKL112W; YMR043W; YIL131C; YDR207C; YDR253C; YKR099W; YIR033W; YJL127C; YIL036W; YPL177C; YPL248C; YBR049C; YDR423C; YGL209W; YER028C; YFR034C; YKL020C; YOR162C; YDR123C; YGL071W; YLR256W; YHR006W; YPR065W; YDR451C; YOL089C; YDR477W; YLR182W; YPL254W; YOR290C; YGL035C; YMR164C; YDR310C; YJL056C; YML076C; YHR178W; YPR104C; YNL068C; YGL254W; YHR206W; YFL021W; YER169W; YDL056W; YLR223C; YAL051W; YPL089C; YBL021C; YNL103W; YKL015W; YJL110C; YLR098C; YMR042W; YBR033W; YMR182C; YBR112C; YBR150C; YBR215W
YOR178C,YOR028C; YER109C; YEL009C; YOL108C; YKL032C; YGR249W; YDR043C; YKL043W; YNL216W; YMR016C; YHR084W; YER111C; YIL101C; YDR259C; YHR124W; YIR018W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YPL038W; YER040W; YNL199C; YCR084C; YPL075W; YMR037C; YKL062W; YBR083W; YDR216W; YLR451W; YKL185W; YIL131C; YDR253C; YIL036W; YPL177C; YPL133C; YOR344C; YNL027W; YFL031W; YGL209W; YER028C; YBR182C; YKL020C; YDR123C; YGL071W; YLR256W; YPR199C; YIR013C; YPR065W; YHR178W; YPR104C; YNL068C; YNL167C; YAL051W; YNL103W; YMR172W
YMR208W,YEL009C; YNL216W; YMR016C; YDL020C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YLR228C; YCR084C; YKL112W; YMR043W; YDR253C; YJL127C; YPL248C; YBR049C; YER028C; YDR123C; YLR256W; YOL089C; YPL254W; YMR164C; YOL116W; YML027W
YDR238C,YEL009C; YIL101C; YJR127C; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YLR403W; YCR084C; YPL075W; YMR043W; YDR253C; YIL036W; YGL237C; YDL106C; YGL071W; YBR297W; YOR290C; YNL167C; YPR008W
YOR151C,YOR028C; YEL009C; YHR124W; YDL020C; YGL013C; YBL005W; YML007W; YIR017C; YJR060W; YPL038W; YLR403W; YKL112W; YDR253C; YBR049C; YKL020C; YGL071W; YPL254W; YFL021W; YER169W
