,network_score,model_score,moded_network_score,diff,network_model_score
YLR183C,-1.2228121131418703,0.5305569342831504,-1.25914582018778,1.7533690474250208,-1.1039648039674606
YMR318C,-0.6972048976339336,0.804149079352304,0.1803844795918481,1.5013539769862376,-0.3104417613391137
YOR056C,-1.6445400016084863,-0.3197665273990029,-4.924487429102518,1.3247734742094834,-0.04410432860201974
YOR006C,-0.34638831784943824,0.6886681730586768,-3.1178315381162127,1.035056490908115,0.3923327965326179
YHR092C,-0.5975974167388758,0.38252200573905026,-1.1531109689233605,0.980119422477926,-0.25083251083394353
YMR215W,-0.4869997604995495,0.4637355896571661,-0.6507824466238037,0.9507353501567156,-0.08747957016793384
YDL063C,-1.829355852039635,-0.887649839559153,-4.238678628073263,0.9417060124804819,0.2696311107412305
YOL101C,-2.9587335338734717,-2.2667056206580734,-3.9563469527209385,0.6920279132153984,-4.957065135456717
YER070W,-0.1716884830515395,0.5178438278305959,-0.06755608356401521,0.6895323108821354,0.08666592225450076
YIR012W,0.0051358519024365945,0.6906922823388403,0.20289898310439403,0.6855564304364037,0.10880857100397767
YOR212W,0.05043131168809001,0.7236918969308506,-0.8618298333076453,0.6732605852427606,0.24812419744512493
YNL289W,0.2414245538637353,0.8632420546945142,0.88169937054021,0.6218175008307789,-0.09698419585907736
YDL003W,-0.5590043709629293,0.023286388411464243,-2.160038071538975,0.5822907593743936,-0.7938620954704425
YGL097W,0.2920130611444687,0.8714998537787451,0.32563349197920455,0.5794867926342764,0.5302500304578732
YDL227C,-0.5915292301896222,-0.012273651622596748,-2.7763086590403483,0.5792555785670255,-0.6081735354325217
YKR056W,-1.0247059582992875,-0.4787540311548488,-2.1561008219047544,0.5459519271444386,0.5435367234965457
YJL098W,-0.9868063609034194,-0.5030612053810684,-0.4859637769155325,0.4837451555223511,0.3086839156705503
YLR336C,-0.07207819667546334,0.39296910343669533,-1.0089495090027318,0.46504730011215867,0.06477393902303974
YPR035W,-0.36672773359550725,0.09697019380116112,-3.6273186245460183,0.4636979273966684,-0.5715272189662288
YMR199W,-0.016641786418562177,0.43852038607387045,0.4284775228810027,0.4551621724924326,0.35538214329853024
YJL088W,0.3373113974001587,0.7822395199826708,-0.8338892648309277,0.44492812258251213,0.5172982459621206
YBR083W,-0.6096220576545714,-0.16751594447549256,-2.175361836471549,0.4421061131790789,-0.24890366715091794
YMR235C,0.04944672807064954,0.48180417358535166,-1.368908845482995,0.4323574455147021,-0.4261339463558813
YGL244W,0.34737836764685603,0.7674760825062737,0.6563905603215827,0.4200977148594177,0.5746948420994678
YGL246C,0.34883692599375404,0.725325784846323,0.08016215112238823,0.376488858852569,0.16083233298809774
YFL034C-A,0.4262573279279407,0.8016244879050007,0.8459529219471598,0.37536715997706005,0.6879652493813413
YMR116C,0.4119854418527019,0.7852791299824493,0.36219913933725856,0.3732936881297474,0.4808839135966445
YDR224C,0.09607643281877176,0.46787733947967713,-2.616280834305357,0.3718009066609054,-1.3341819869461657
YLR134W,-0.6131579266711009,-0.24964012440513672,0.5428593514322345,0.3635178022659642,-0.7083807658897627
YHR149C,0.18260823934706372,0.5369886525054848,-0.8531038983269736,0.35438041315842106,0.6901138144126482
YKR013W,0.5790002543671999,0.9296285472947008,0.8100389697822932,0.35062829292750086,0.6018377195996442
YDR012W,0.4125065785401012,0.7619836847555298,0.3792354745073824,0.3494771062154286,0.5284315648068878
YHR154W,0.4453105953975198,0.7903566846244295,0.6090900908224963,0.3450460892269097,0.6331528458409932
YGR024C,0.5302952187002623,0.8564680397082542,0.4528496397612597,0.32617282100799194,0.6005306067584815
YDL166C,-0.10697527467576307,0.21762713331750339,-3.11993091348909,0.32460240799326645,-0.03410088134320444
YPL256C,0.1662502087233486,0.4885434416051191,0.07817557613399462,0.3222932328817705,0.3645425833426106
YNL130C-A,0.08275021431676699,0.40365272628574567,-0.28888044212374675,0.3209025119689787,-0.5386729760669744
YMR015C,0.5119149497377944,0.8250489057972756,0.5783353501753656,0.31313395605948124,0.5574062148634163
YJR025C,-0.22441910763346185,0.08506031428466321,-0.2460741237276396,0.30947942191812505,-0.09611561869548724
YAR014C,0.4538850830505273,0.7630936181058595,0.4441311778698004,0.3092085350553322,0.4070879968382072
YDR172W,0.2949219049150281,0.600692054311723,-0.7766150376476637,0.3057701493966949,0.5428383339440275
YLR075W,0.5645930616881081,0.8610434392361889,0.7791402331702908,0.2964503775480808,0.5838477253138558
YMR108W,0.6111339771072143,0.9018246442576614,-1.4430858719085182,0.2906906671504471,0.6971810618191019
YDL171C,0.5278498188612135,0.8134527997843753,0.4105557019503825,0.28560298092316183,0.5928795447251105
YPR074C,0.6075794704516979,0.8918804100646747,0.6617660291570253,0.28430093961297676,0.6018867781200288
YOL092W,-2.515942125284961,-2.237742576870771,-19.830243786153083,0.2781995484141899,-1.6534948189050076
YLR065C,-0.13156155083834742,0.1388082480006746,-0.7283786898730564,0.270369798839022,0.11415006393969895
YGL103W,0.5091886804419189,0.7762673834605173,0.4437996074649727,0.2670787030185984,0.4595143846407689
YOR262W,0.004868195678428999,0.26851111189123833,-1.8946554586193591,0.26364291621280933,-0.1261854493162946
YOL007C,0.5982229548021034,0.8609327295498777,-2.2514137304754525,0.26270977474777424,0.7877304049892123
YDR218C,0.6495836175445228,0.9079800108379725,0.9306469337395986,0.25839639329344977,0.6284551040685895
YER174C,0.30070588417915367,0.5585088318882285,-0.15279378677296163,0.25780294770907486,-0.056117974707739604
YMR042W,0.2212649504189299,0.47905370748895637,-1.3829474042070564,0.25778875707002646,0.5387666139616016
YNR022C,0.5225750751511282,0.7758513952043343,-0.4320207900254438,0.2532763200532061,0.6855956938203831
YDR139C,0.27695317512596707,0.5280903587195063,0.047983019796069226,0.2511371835935392,0.3273397233503461
YDR119W,0.5650843868439273,0.8149662349932022,0.5507780748081433,0.24988184814927494,0.63592824823042
YHR184W,0.28146939936538307,0.5302219858970115,-0.46779296106043255,0.24875258653162846,0.4623836761546327
YLR083C,0.32836911216844167,0.5759189617880457,0.7665331542440017,0.24754984961960402,0.5514172016304907
YLR029C,0.6012447719672518,0.845465945782827,-0.2839588946162328,0.24422117381557518,0.4895154668385885
YGR260W,0.7427170376109975,0.9858352517830377,0.9849170042205222,0.24311821417204016,0.891441822294733
YKR024C,-0.8286912052621236,-0.5878167660018261,-2.515015410635611,0.2408744392602975,-0.9853914966251565
YLR060W,0.5264640064101601,0.7635046867825953,0.3897121257521331,0.2370406803724352,0.5154111435764143
YBR271W,-0.9160791534344637,-0.6803974602329339,-3.5936599163208633,0.23568169320152976,-0.18683609097240028
YGR060W,-0.7494140120622448,-0.5161618924511777,-6.19578118703972,0.23325211961106707,-1.7624639812189948
YGL009C,0.6539835467611823,0.8851890278847303,0.6946794807171932,0.231205481123548,0.7041049945169817
YJL087C,0.17207090299968475,0.4031138568493682,-0.29731703372211116,0.23104295384968343,0.06142497081073384
YDR370C,0.4817994572869103,0.7121993148836009,0.5687203794999359,0.23039985759669057,0.4868736323956451
YML109W,0.6988099271094168,0.9279895055876417,0.38419511799238426,0.2291795784782249,0.7523983121310568
YDR471W,0.3745116339200648,0.6004019185012639,0.1870399630376377,0.22589028458119909,0.7622598872246307
YCR031C,0.546237253004934,0.7704931906919066,0.4537012591919055,0.2242559376869726,0.5430148662365188
