,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_top_feature_num,linear_top_feature_num,test_var,test_std
YGR270W,0.9193909237053547,0.8259347979158369,0.8688387932876335,0.6180655875922381,0.864038020606829,0.8074908666075186,0.023057073393098936,0.03388193375549955,0.029411346758746376,0.050188776060173135,0.029944767744717916,0.03563180961249475,7,9,0.006710850396154092,0.0819197802496692
YLR310C,0.8067103785366873,0.48527723034517734,0.7351937547339332,0.0490231172506399,0.817967154079287,0.7126230176842423,0.02383247199544896,0.038891215239374936,0.02789516504484537,0.05286275626529191,0.02312808650678438,0.029059679063302504,7,8,0.0029900798416463703,0.05468162252207199
YDR099W,0.7507469023509376,0.7736041986504986,0.7831534245890848,0.7713735484657863,0.7426126428570381,0.5340604050205069,0.6198669886616806,0.5907618072361325,0.5781686112783373,0.5936650254746715,0.6299003236805025,0.8475064949579659,7,9,1.5685905358837098,1.2524338449130596
YLL002W,0.8217451589993205,0.8176898646444402,0.8064781748506197,0.31026765302988146,0.7776013200114369,0.6948418823039407,0.02354289813912936,0.023809192359214523,0.02453037755828491,0.04631050896186998,0.026296948730081402,0.03080361741225825,7,10,0.0031639648637278865,0.056249132115330336
YOR217W,0.7290092503224999,0.6979783403999771,0.6405295601402408,0.5056131724349837,0.706572124788307,0.5283957612289134,0.023201043298311966,0.024493414168098637,0.02672156395810556,0.031337455251825595,0.0241424291609684,0.03060688496868897,7,10,0.002021220529114233,0.04495798626622675
YDR390C,0.6997117567309148,0.7035891232775189,0.7005115007833176,0.5520982566797865,0.6454083278555107,0.5379184443065494,0.026716479584289028,0.026543435594082496,0.026680879471550754,0.03262882559794494,0.02903182464535702,0.03314128801970817,7,10,0.002418651356806916,0.0491797860589787
YPR159W,0.38222959184618766,0.23780878322211085,0.3957254170594081,0.3812701055898061,0.3881194718441435,0.44177775948997433,0.21183296746242475,0.2352946049146288,0.20950633667758428,0.2119974071636779,0.21082073148042882,0.201364805606416,6,8,0.07391169070445636,0.27186704600678685
YOR126C,0.8266444611738019,0.8212348308643986,0.8138946630228681,0.7296336504420529,0.8381857329299119,0.6786624665643245,0.026109990333121863,0.02651424725946347,0.0270531140709998,0.032607249650893504,0.02522587591658129,0.035548278814656546,7,10,0.004001555435247333,0.06325784880350685
YJL101C,0.8112276874764196,0.8645822724777368,0.8152173227803425,0.7203548396450548,0.8359188051715423,0.8629200715577697,0.09843395856145312,0.08337072218037057,0.09738822047691925,0.1198062449891202,0.09177094581325754,0.08388083349640314,6,7,0.052228162099584724,0.22853481594624642
YLR293C,0.8956406572604535,0.7069191321917678,0.7543163653285152,0.7263820395856899,0.9267349339265979,0.7784678511343998,0.1504281024410143,0.25209082756534734,0.23080830083033063,0.2435766259073072,0.1260409832236459,0.21917029372408836,5,9,0.22063771798190202,0.46972089370380576
YKL052C,0.8387213736459393,0.9118554799201779,0.779845434830806,0.8107658007639224,0.8408741970535636,0.7068785873025336,0.027258290814395323,0.020151522857340603,0.031847405711237946,0.02952636785539614,0.027075751331017764,0.03674802348724135,7,9,0.004687848451357562,0.0684678643697725
