,rf_score,linear_score,gs_rf_score,gs_linear_score,rf_with_linear_top_features_score,linear_with_rf_top_features_score,rf_rmse,linear_rmse,gs_rf_rmse,gs_linear_rmse,rf_with_linear_top_features_rmse,linear_with_rf_top_features_rmse,rf_with_top_features_score,linear_with_top_features_score,rf_with_top_features_rmse,linear_with_top_features_rmse,rf_top_feature_num,linear_top_feature_num,rf_top_features_gs_overlap,linear_top_features_gs_overlap,rf_linear_top_features_overlap,gs_edge_num,test_var,test_std
AKR1B3,-0.11708390751814779,-1.256233190314922,-0.3207833497591275,-0.10070551141535566,0.011019018790596413,-0.17534950376838765,0.8987948958671241,1.27734935053962,0.9773125875593,0.8921816163473906,0.8456909238190661,0.9219369342658781,-0.2321916478053394,-0.22934499167194788,0.9439670389423882,0.9428760141208495,12.0,16.0,0.0,0.0,1.0,3.0,0.7308548799300936,0.8549005087904051
EXOC6B,-0.05184099989160562,-2.767961778854068,-0.49404326438742086,-0.038067881651976165,-0.36643792641382844,-0.35924498232746416,0.17975786801022728,0.340224908013304,0.21423698505077401,0.17857708846568615,0.20488389167526605,0.20434392462396758,-0.20817708584432038,-1.2896830555736978,0.19265405667108904,0.26521650401431773,9.0,16.0,0.0,0.0,3.0,2.0,0.031047130959630912,0.17620196071449068
MRPS18A,-0.06121549978263263,-1.4064331370105556,-0.08828396143052153,-0.0059894257131667406,-0.12140988577297707,-0.19312526196500857,0.848176012819112,1.2772358306683482,0.8589251278319372,0.8258114528946566,0.8718994103208877,0.8993468427100051,-0.15362155977750902,-0.34534357219476486,0.8843330899502267,0.954994340442218,14.0,16.0,0.0,0.0,5.0,2.0,0.6851160461509195,0.8277173709370363
CUTC,-0.03291036239229106,-0.9479436729493158,-0.3751865563637906,-0.03207313231381903,-0.11166292728819549,-0.36709113219263556,0.37526218624834773,0.5153374266959164,0.43299641065140465,0.37511007020224385,0.3893050600356441,0.4317200516177212,-0.05653634703083221,-0.4134871979518586,0.37952964859872806,0.4389847434047512,9.0,16.0,0.0,0.0,3.0,1.0,0.1377852492247391,0.37119435505505616
PHLPP1,-0.07405347497652603,-0.9628884352144664,-0.28572500815695867,-0.09123799994618031,-0.12356856841406705,-0.1401119834846145,0.34326719576520354,0.4640525441753407,0.37557216316319536,0.346002383371468,0.35109055040964654,0.35366583273942503,-0.11435156279067016,-0.428615619268893,0.349647528803155,0.3958922926953525,12.0,16.0,0.0,0.0,1.0,2.0,0.1108752089997965,0.3329792921486207
POLR2I,-0.13817874509225225,-1.4011016277450192,-0.23644157926797482,-0.17364435895355412,-0.3543501558867197,-0.23487589761801853,0.4556817933780555,0.6618532600092996,0.4749449145562778,0.4627268486086199,0.49707500127979953,0.4746441125998497,-0.1560370021750408,-0.9659398048291756,0.4592427499341442,0.5988823987433031,15.0,17.0,1.0,0.0,4.0,38.0,0.18437780236489307,0.42939236412038473
PSMD1,-0.12372699692616962,-2.7787608164676936,-0.704480754086843,-0.05786583947909185,-0.5497674643788344,-0.30871437054073403,0.557387282241137,1.0221187369783558,0.6864717961899134,0.540806552000013,0.654575758329865,0.6015186312802815,-0.10227049321101367,-0.6096906749185822,0.5520402436913759,0.667110631723005,14.0,12.0,0.0,0.0,2.0,1.0,0.27941456941214504,0.5285967928507939
ARL8A,-0.3092131146205759,-2.1052372085217357,-0.5836840078153849,-0.1676078215204415,-0.7222935957977965,-0.37989702556413785,0.38442956359134617,0.5920508320646627,0.4228106038937538,0.3630447015674148,0.44092548209793797,0.39467075304558463,-0.5114015745126639,-1.2462144694272106,0.4130489668727571,0.5035437563437164,11.0,17.0,0.0,0.0,3.0,6.0,0.11408248216819214,0.3377609837861563
TCN2,-0.1444159542218726,-0.832218181240568,-0.6670119306633229,-0.04204482268048393,-0.15179932905955185,-0.029808915595765262,0.40741148047679204,0.5155014666280356,0.4917118390920289,0.38876262966777003,0.40872360632219057,0.38647342390540407,-0.3331185872169091,-0.5110526212187718,0.4397194771230326,0.46814577183821976,13.0,15.0,0.0,0.0,2.0,1.0,0.14658123408430865,0.3828592875774449
IGTP,-0.05398473635762535,-0.8184382561052568,-0.003568008677488077,-0.0609440173122644,-0.1542436029047236,-0.12759958111502234,0.9339942431412236,1.2268072061871875,0.9113819915949245,0.9370726720417238,0.9774077465252462,0.966060870093479,-0.06939098792299347,-0.2830328892377356,0.9407956453759846,1.0304951051358568,12.0,18.0,0.0,0.0,3.0,5.0,0.8364689585965913,0.9145867693098295
PTX3,-0.4457629437006647,-1.8815844200209728,-0.6744098340448312,-0.07570248847179051,-0.5234975998143059,-1.0359147263875483,0.7613680901942885,1.0748844996122644,0.8193642468776642,0.6567381014711201,0.781568439225219,0.903495343036747,-0.9693371051283655,-0.7877124099071473,0.8885996919594559,0.8466325352484153,9.0,17.0,0.0,0.0,2.0,3.0,0.40521732445189435,0.6365668263834476
TAGAP1,-0.17100769892505663,-2.5023740955832343,-0.440624188160869,0.004976234757034681,-0.2211540325435375,-0.20763831026878798,0.38130047657735383,0.6594300576262049,0.42292448005009775,0.35148289893558265,0.38937915369768045,0.3872183355290826,-0.2761203405656343,-0.8109426188292592,0.3980460223893541,0.4741762717586862,11.0,15.0,0.0,0.0,6.0,2.0,0.12547889844716653,0.35423000782989367
SIRT7,0.017461867081957627,-0.6390136726782052,-0.1329635061158243,0.004680486155797525,-0.08507618716769927,-0.10372185842624249,0.4797973904334981,0.6196899636658918,0.5152181273486481,0.4829080372681073,0.504212131330129,0.5085258050519962,-0.0813391396794223,-0.24039000850297532,0.5033431186872832,0.5390912761260825,12.0,15.0,0.0,0.0,4.0,4.0,0.2367893144648199,0.48661002298022993
3110001I22RIK,-0.05827186268266815,-0.5295523438850398,-0.1255464816293832,-0.07618899010870028,-0.11237959953043242,-0.13481030299272034,0.6360932271568208,0.764723292989301,0.6560000374388831,0.6414553314854698,0.6521517357967095,0.6586941127681961,-0.16969333746901438,-0.3598553500291486,0.6687413150592404,0.7210551846106821,11.0,17.0,0.0,0.0,4.0,2.0,0.38640260468493576,0.6216129058223742
DAB2,-0.44682653372571024,-4.5513210860467685,-0.4765928356678921,-0.26057140682592816,-0.8684767164562548,-0.7870847397863978,0.7362422484358792,1.4421508048064173,0.7437772345478667,0.6872206942136627,0.8366741441071126,0.8182482329280975,-0.34914592388392496,-1.4876223446679586,0.7109547591158571,0.9653942938233823,14.0,15.0,1.0,0.0,1.0,7.0,0.3786350009127994,0.6153332437897365
