gene_name,gene_name_alt,8h_rep1,8h_rep2,8h_rep3,8h_rep4,12h_rep1,12h_rep2,12h_rep3,12h_rep4,16h_rep1,16h_rep2,16h_rep3,16h_rep4,20h_rep1,20h_rep2,20h_rep3,20h_rep4,24h_rep1,24h_rep2,24h_rep3,24h_rep4,28h_rep1,28h_rep2,28h_rep3,28h_rep4,32h_rep1,32h_rep2,32h_rep3,32h_rep4
aadK,BS3610_RS15335,141.2181,146.4865,137.0166,137.9838,139.289,158.5016,148.7501,160.5202,135.5505,137.5263,111.6527,110.2057,116.7589,152.4821,116.0692,153.9069,119.9029,131.501,167.3432,165.1534,112.6481,127.5371,155.4912,116.2597,165.6445,110.105,108.7935,119.0786
aapA,BS3610_RS15500,81.9586,70.934,65.3242,70.9528,52.2426,34.787,48.9274,38.9159,44.9094,33.913,36.5089,34.9312,41.0472,35.4705,54.1108,33.3278,38.7765,36.9795,31.0166,29.2352,76.6742,26.8075,27.2769,50.7149,22.7212,44.7855,65.1062,40.3951
abfA,BS3610_RS16360,2.3094,5.1327,3.8527,4.3244,4.2147,4.3983,5.8962,4.3409,8.5876,7.7844,17.5986,15.9361,27.0024,4.8375,31.3756,8.6991,13.117,4.5706,6.8132,4.9911,61.5995,8.5629,10.8498,32.4439,21.1496,34.426,57.1054,36.5336
abh,BS3610_RS08820,358.1198,334.243,356.8262,328.9645,489.2919,530.1574,542.5524,444.312,372.0259,526.2903,393.8737,312.6204,248.293,502.3301,209.0732,365.8313,307.3815,412.0152,403.7356,395.4027,234.4385,462.9686,353.664,366.6685,265.5088,231.3549,176.6913,226.8781
abnA,BS3610_RS16405,1.316,0.7226,1.655,0.8363,2.3537,1.7544,3.0511,2.2262,6.8509,2.4841,15.5713,20.1494,31.9412,6.6538,42.8233,7.3876,20.7194,7.5357,8.153,8.1977,88.244,10.6815,12.0298,49.0507,46.3994,53.6421,85.6627,61.934
abnB,BS3610_RS21965,17.5836,22.6895,19.7444,18.4384,20.891,32.4283,27.8582,35.0346,52.4449,39.8298,60.3711,64.423,78.2446,42.4972,99.1263,56.3848,58.5851,55.3795,56.0831,71.0412,128.963,53.6044,63.7076,84.6458,156.4028,108.8626,137.0398,126.836
abrB,BS3610_RS00950,4328.7554,3897.8156,4025.317,4156.7904,4163.1102,3414.5502,2896.0046,2778.9897,1200.1411,1782.7105,1053.8107,938.7306,450.9402,798.7716,394.7238,708.8598,708.3497,473.243,810.4333,613.9063,215.013,343.2006,331.6715,333.8228,401.3311,303.5983,190.4745,236.8193
accA,BS3610_RS16595,670.017,564.2213,566.3571,596.907,477.6922,537.0894,572.3329,589.9191,693.4199,815.2914,538.7019,512.9184,396.6117,677.8041,388.0705,570.5461,486.4196,640.8401,533.1258,540.9836,230.1969,462.0192,440.3069,316.0716,398.7406,265.7695,220.6753,276.047
accB,BS3610_RS14070,763.4151,742.1354,763.2698,751.7122,526.5706,745.4227,676.6238,716.5158,547.3226,570.375,377.2235,356.3599,310.9932,506.1324,302.2312,454.7145,350.7594,384.0328,396.4523,387.4897,174.8441,279.338,294.8191,203.5354,399.7128,241.5504,194.3998,238.7217
accC,BS3610_RS14065,845.671,903.7226,915.8888,882.8773,883.4848,1015.4613,969.558,1000.7687,835.5164,908.1984,721.5613,674.3769,368.3994,567.3996,375.276,550.195,399.8333,568.1556,527.6938,546.1238,230.3932,541.6772,463.3105,342.0099,668.1196,367.4616,323.1457,419.3665
accD,BS3610_RS16600,928.9532,798.6805,803.363,843.32,677.3686,743.0386,739.9384,694.7692,829.4919,946.8557,633.242,601.0106,530.0778,873.9153,508.071,763.3304,599.5742,862.7071,694.6708,722.8124,290.2338,653.4857,637.3183,412.6785,603.7265,373.4571,306.5424,382.6295
acdA,BS3610_RS20850,13.4839,9.9515,8.5961,12.0937,7.7794,14.9803,11.9756,17.987,15.0961,14.8816,23.8352,29.1371,30.8947,10.5565,38.0437,16.4636,22.6547,20.0867,11.7273,17.4185,74.2028,33.458,82.433,48.7573,151.3705,103.9824,112.7403,112.5561
ackA,BS3610_RS16745,1430.6011,1087.3002,1128.2079,1267.6087,580.1462,522.8352,602.2095,562.7231,607.9665,816.9318,467.1586,419.2077,255.627,408.9959,230.6768,321.2934,284.6035,295.1022,277.7459,215.4345,110.9,124.4851,118.1882,140.7924,91.9786,95.5568,75.8284,83.9352
acoA,BS3610_RS05270,0.9897,1.1322,0.2223,0.7862,0,1.9243,0.4781,0.9302,8.856,4.3787,14.3989,20.9725,51.677,23.0198,50.0876,26.0972,34.6288,71.7589,52.5182,72.0035,111.8098,74.7307,219.0179,86.1012,1337.805,247.4871,513.5089,660.4585
acoB,BS3610_RS05275,1.4457,1.9845,2.5973,2.1054,1.8468,3.7475,1.6293,2.038,7.317,5.1166,13.32,19.7634,35.3607,16.3245,40.307,18.6494,23.5658,55.1887,38.7007,48.887,92.823,51.8485,199.8409,68.9294,1334.4216,218.458,508.4473,632.3821
acoC,BS3610_RS05280,3.9354,5.3075,5.2098,2.6327,3.1753,5.2926,5.0024,4.6719,11.4569,6.8421,21.8966,23.2191,53.5859,27.6479,59.8066,32.0639,35.7403,81.1121,61.31,73.9135,117.1887,82.1054,300.8688,104.1238,2096.7568,362.8722,821.0995,980.2164
acoL,BS3610_RS05285,5.9417,4.6137,4.6905,4.8631,4.6004,5.0008,6.4357,5.9226,10.3498,11.4706,22.1776,21.6608,41.8384,32.9554,50.0633,27.7194,32.6433,84.3117,56.8074,77.2302,102.9341,87.8564,301.8845,101.1614,2143.5912,344.0912,754.0415,972.6823
acoR,BS3610_RS05290,16.365,16.9734,14.8233,17.2255,28.5723,29.2414,23.4507,24.9932,36.6816,34.9134,47.7483,44.4962,40.4137,22.0652,47.2948,20.9954,30.6892,26.8287,19.0885,21.9664,85.8787,23.5545,47.5858,52.3319,150.8085,70.8196,114.678,109.0682
acpK,BS3610_RS10185,100.5656,82.9214,93.9168,94.9181,120.8424,219.0285,256.827,288.2252,195.4651,177.3795,158.3761,204.1819,129.2683,161.1025,115.6102,122.8028,129.8486,167.3731,171.3555,156.8367,132.6796,161.6388,156.5116,120.5147,88.9074,83.3981,88.3836,74.273
acpP,BS3610_RS09560,2526.9699,2207.8619,2074.885,2048.6703,2980.5502,3113.469,2829.1177,3291.0633,1771.979,2488.75,1306.0948,1126.9098,606.0381,1087.5063,457.2822,903.008,840.8283,762.3165,955.4606,857.0809,306.8489,535.0009,532.7059,472.8849,781.1107,542.8181,383.721,451.3906
acpS,BS3610_RS03375,54.1922,43.3952,48.6813,53.2748,36.3466,52.6807,49.0805,51.5685,58.0412,49.5492,49.9318,60.5033,74.5619,58.9114,92.1066,60.499,51.1723,56.9343,54.403,59.6799,130.3028,54.9837,52.1069,81.0578,51.1806,79.4332,116.6519,90.6414
acsA,BS3610_RS16855,94.9025,102.0301,101.447,112.3985,118.1074,140.5266,156.1919,166.4574,137.1873,123.534,121.9792,116.5955,87.382,83.2802,88.1385,79.1268,78.7904,118.2908,90.0179,127.7088,140.8091,177.2359,228.4784,105.2364,374.4637,181.2052,240.9434,308.0056
acuA,BS3610_RS16860,96.3516,107.1747,111.1826,103.6115,108.5803,124.4506,137.7294,147.6119,146.5566,136.3152,137.8948,128.8658,134.4935,115.654,153.1856,151.5819,120.2199,158.0853,130.7662,182.2937,164.3611,159.697,179.4589,132.2526,545.6692,222.8066,333.0681,351.8016
acuB,BS3610_RS16865,74.5709,85.4813,93.2304,79.6981,104.1049,117.0107,109.916,126.8026,101.7232,105.6628,113.7065,111.0539,109.2092,104.1734,131.2501,123.5867,88.3346,138.1032,110.693,138.196,117.3114,118.27,159.8365,97.8067,495.4744,209.0027,279.3307,333.4326
acuC,BS3610_RS16870,84.347,74.8519,75.0044,82.0646,79.1836,81.403,91.5663,103.0944,94.7155,90.2126,95.6474,86.1914,99.7903,87.2336,117.6351,109.608,77.4027,111.5434,99.4598,126.8081,141.3402,117.2012,139.3837,117.0362,424.5104,192.824,256.7545,286.1532
adaA,BS3610_RS01875,8.1863,8.9188,9.1048,11.1484,12.9483,16.8905,10.5446,9.5257,12.6839,6.4387,24.1974,28.0675,40.7078,9.461,48.538,15.9156,22.9386,14.4018,12.523,16.9986,70.7964,15.8208,17.3832,44.2337,10.2639,37.0046,55.3648,41.3695
adaB,BS3610_RS01880,15.1512,16.807,16.91,18.9661,24.0483,12.242,17.2982,12.9452,12.4491,10.8333,26.2726,26.7806,38.0103,25.0716,54.0106,25.384,28.842,14.4178,19.4901,17.9776,75.9816,15.6,15.3552,44.5197,13.6654,37.8148,61.9471,37.0727
adcA,BS3610_RS02425,303.9714,263.529,265.6364,264.8637,328.2818,250.4827,269.7015,292.7229,2071.6469,2676.0703,1343.8274,1243.9643,2000.0751,3766.2206,1710.8022,3385.7561,3165.6648,2911.0166,3602.7383,3139.4477,872.8328,2038.4849,2159.8952,1664.8699,2475.1445,1468.4099,900.7803,1302.8405
adcB,BS3610_RS02435,84.4077,68.6337,63.1428,73.3617,42.4567,34.3081,43.1862,42.0143,180.8613,214.4306,128.6453,142.0635,155.4966,219.1904,150.297,221.3887,187.7935,223.8275,216.9649,186.0869,123.417,141.2885,146.8849,139.7581,148.8118,127.8894,112.7788,118.0597
adcC,BS3610_RS02430,115.7715,80.5216,92.1588,92.535,71.4472,55.0098,64.696,59.5925,219.8331,238.7069,145.7969,137.6546,208.781,296.4642,202.1768,309.6573,233.122,308.6081,274.2328,258.6751,140.105,193.3193,190.6158,187.159,216.5349,175.5374,149.2464,166.5532
addA,BS3610_RS06690,108.448,110.4111,106.0299,115.4363,86.9114,81.9856,79.7729,79.8129,84.2537,82.0012,78.6586,76.3589,72.3885,75.6417,83.4043,76.0521,62.5182,82.2105,68.5941,77.8395,106.7445,87.3627,88.6938,77.5297,113.7888,107.4142,111.3763,114.9937
addB,BS3610_RS06685,123.3626,112.1189,112.6626,117.183,110.373,88.6679,92.4256,85.2585,78.2658,80.3727,70.7441,65.0583,67.7549,67.1726,67.1323,74.1491,69.7142,79.9923,69.6297,75.4355,97.7135,95.0439,100.4993,74.3171,109.2799,101.2306,100.7866,107.6647
adeC,BS3610_RS08840,339.008,310.901,309.8001,316.4458,185.2183,161.7087,194.6215,191.7589,175.0793,191.9637,129.1058,139.5644,121.0614,174.2286,106.8173,130.7372,126.0884,134.6991,124.1803,104.0826,92.19,71.2527,63.5991,95.5749,49.2674,61.7754,72.5969,56.2963
adhA,BS3610_RS15460,163.6332,138.73,152.5081,160.0026,147.5077,114.3752,96.4895,96.5341,62.4871,66.8571,63.894,67.1428,49.9811,54.9187,56.8163,51.2142,47.3155,50.3775,47.6793,46.2282,86.7798,32.0915,29.7451,59.7565,33.2475,51.4209,66.7911,48.8452
adhB,BS3610_RS15435,4.7972,8.5809,9.4023,9.8737,11.1428,8.7212,7.1622,7.9925,10.879,6.4314,17.7649,18.4823,27.0786,7.4972,32.9804,10.7574,15.6054,9.0629,8.0056,8.1501,69.1263,15.4354,19.4472,40.3384,11.233,52.2045,53.1639,37.5618
adk,BS3610_RS01545,1636.9387,1837.0161,1733.0381,1827.4066,2339.1839,2666.0033,2366.5628,2717.7755,2837.0135,2802.4541,2289.1612,2236.81,788.8956,1215.6263,744.8091,941.8756,738.5518,1225.4738,899.8888,999.9407,391.9034,1056.2221,1279.268,562.34,1278.9247,857.0523,663.8152,954.7556
ahpC,BS3610_RS22355,2258.6167,2029.9852,2053.4193,2160.2209,2619.2348,2546.4001,2701.739,2804.0089,3880.926,3820.1329,3115.7632,2945.5103,7697.4955,9092.002,8017.4123,11580.5681,9900.7504,10129.4942,13947.1331,12130.2132,3553.569,6274.4473,4675.1562,6290.0914,9714.7869,4427.5283,4165.3016,5502.4221
ahpF,BS3610_RS22360,1863.5195,1532.5045,1522.1908,1691.8834,2076.3688,1756.5463,2010.9688,2123.3143,3147.0034,3400.0735,2609.0826,2373.6279,5637.6666,7059.8605,5809.4984,9488.0406,8115.1576,8409.2669,11490.1108,10415.3991,2701.7304,5623.81,4357.7945,4943.4108,7855.3138,3657.9363,3219.5237,4604.4913
ahrC,BS3610_RS14020,139.3913,148.7422,146.0034,161.9409,74.6085,92.4271,107.5147,100.4546,96.2063,113.1,84.963,85.3632,102.1094,121.4579,103.5319,110.5959,92.0025,130.269,112.5158,121.1039,123.7415,124.8002,122.2271,121.2451,119.2043,103.0615,109.8746,112.2773
alaS,BS3610_RS15665,147.1403,138.7871,134.7113,151.7683,103.6563,160.2323,155.8605,174.6937,189.9734,204.872,156.3864,143.443,81.021,103.7281,83.0232,81.4899,75.9585,87.2709,62.8875,69.9471,87.7994,60.0752,55.1318,65.1744,58.2277,65.0336,74.4434,65.5776
alaT,BS3610_RS17860,607.7573,566.7487,585.0878,607.1512,513.977,494.662,564.2271,559.7536,482.4442,500.3488,365.1448,334.7575,251.9286,373.1583,231.8001,348.3823,295.1278,326.2248,358.1964,334.2777,189.6672,293.4579,268.5368,223.2225,322.6891,234.9082,209.5233,239.5972
albA,BS3610_RS20950,429.0444,628.13,616.3987,561.9144,289.2228,314.0931,291.6118,294.0776,993.7505,383.4855,449.6821,462.3233,1409.6858,1742.3535,1651.0614,2901.4684,1984.6536,3610.4368,3380.247,4388.9431,2079.314,3632.3049,3984.2024,2899.7805,8821.3783,3707.2998,3999.9128,5367.9095
albB,BS3610_RS20955,232.6249,358.55,357.4471,311.2378,193.5598,163.2266,116.7995,142.397,439.8665,176.9444,192.9627,206.4338,591.751,727.3852,740.0149,1132.515,724.0934,1482.7714,1415.227,1733.7528,783.6634,1412.6692,1631.0592,1059.8418,3645.8571,1504.0482,1457.2062,1972.5029
albC,BS3610_RS20960,169.0739,253.0508,257.9805,247.0146,84.0226,109.4128,91.4806,104.5323,362.6409,110.5,141.6049,160.056,506.6598,556.1015,638.3943,1029.8076,700.1496,1350.3962,1238.9382,1654.7601,847.5776,1503.7777,1716.7069,1148.5128,3751.1507,1628.8426,1764.4738,2342.7296
albD,BS3610_RS20965,156.0195,214.4339,218.6398,200.8612,73.4456,81.9401,72.1644,71.9835,298.0252,94.3764,124.1741,128.7514,373.263,371.197,489.1432,673.182,465.2756,905.9981,827.3137,1038.2116,597.2808,1093.6083,1260.5287,805.5548,2467.3481,1083.5818,1152.4714,1539.0926
albE,BS3610_RS20970,108.7959,170.0276,178.1736,158.0627,48.9134,56.4836,45.8814,43.2598,240.5346,58.5,90.5027,92.1007,281.2717,246.0611,338.6604,430.8401,308.1167,592.4716,564.8195,711.4305,452.1425,726.2899,861.3662,613.3715,1788.9026,784.936,888.8441,1105.182
albF,BS3610_RS20975,97.7394,130.0085,127.9623,124.9996,35.3575,41.4995,26.3632,28.0125,176.9573,34.2506,77.5257,69.323,208.8461,170.6668,258.7264,310.6437,213.3078,433.1297,391.9238,531.6934,351.911,500.3334,596.8015,464.2522,1280.8445,529.6901,654.6709,821.5776
albG,BS3610_RS20980,85.4684,105.3671,95.1782,103.5277,30.2296,26.2889,17.4005,22.903,115.6804,35,58.2313,50.2136,136.5579,133.5722,148.6505,197.9648,146.0356,252.1483,275.9409,313.6658,223.1628,274.0005,324.8207,281.0107,670.3321,304.1951,359.2682,431.021
ald,BS3610_RS18130,532.2735,511.661,496.559,549.465,430.948,297.7324,337.888,316.4226,287.11,320.5409,251.8815,219.8006,302.9927,509.1492,284.6645,398.7656,603.0617,908.9052,672.9734,671.2184,329.3457,752.2177,580.7411,582.5821,254.8636,156.6134,154.8463,188.1443
aldX,BS3610_RS22235,17.418,17.4665,17.6442,17.2225,24.1457,22.8508,23.2711,23.6845,63.7079,63.6155,58.5877,59.6146,75.3078,62.96,76.4345,62.8864,76.4723,77.0141,72.707,79.6462,104.5406,100.5607,120.4313,89.2008,108.3945,83.4214,101.8684,97.6097
aldY,BS3610_RS21705,54.5852,56.3347,59.5745,58.0869,82.9852,42.1291,45.5042,43.6301,20.1029,25.0772,34.4694,31.461,28.7957,7.2223,28.8368,9.2568,17.4431,5.1829,4.6823,5.5991,57.2877,14.1235,9.4785,29.5862,9.1492,32.996,42.9685,32.1689
alkA,BS3610_RS01870,35.3408,38.3134,40.5384,37.1451,43.412,43.4913,40.1814,44.4565,28.8949,30.4687,37.1766,40.8812,66.4953,45.0848,77.0426,46.7085,46.2606,43.1864,48.344,49.1106,88.3715,45.4146,53.339,66.1813,44.5024,70.3968,82.2065,71.0792
alrA,BS3610_RS03385,275.9006,251.9115,247.8441,263.7852,184.3556,181.0403,206.3495,202.3431,158.8116,171,136.0558,136.3493,113.8315,141.858,109.5859,113.5519,103.7976,113.5157,105.7571,111.0716,109.7597,97.8002,100.1629,107.8382,88.7846,95.9915,94.9271,90.2781
alrB,BS3610_RS10460,3.3476,2.2977,2.8192,2.6593,5.8803,4.6489,6.2657,6.8822,7.9422,7.4051,16.2337,20.9753,33.2645,9.7324,41.8731,9.6098,15.9715,9.0822,9.6017,7.82,73.1837,16.3899,22.3913,35.6829,17.2447,54.4709,60.6677,39.58
alsD,BS3610_RS20240,130.7439,155.6948,165.8778,160.2825,244.5617,174.305,204.5839,199.3356,1134.0698,1714.6289,992.5287,968.2797,2012.6484,3553.7651,1752.8225,3295.582,3066.3206,4647.7515,3163.0259,3027.1193,1611.2369,4634.3051,4021.0126,2749.5485,1263.8847,1056.7828,705.5017,1157.3633
alsR,BS3610_RS20250,90.0073,103.5879,104.3756,95.1192,102.7905,102.7237,106.1867,115.8658,63.6011,76.9059,69.5724,68.1116,66.2015,68.6779,80.6304,78.4138,61.5952,60.7109,74.1636,70.3895,81.0425,64.3565,62.3328,65.6494,78.3705,84.5266,85.3831,85.1571
alsS,BS3610_RS20245,107.8267,130.7328,127.4155,114.2869,165.4858,128.7982,159.3956,157.9267,917.2096,1125.2627,812.9077,807.947,1906.6716,3170.6102,1630.9674,2964.1677,2583.7567,4423.6359,2682.5986,2579.4809,1458.5943,4199.9864,3582.7811,2441.3574,1239.3296,934.9603,642.368,1044.4539
alsT,BS3610_RS10730,208.3811,171.0638,182.252,192.5878,120.5312,91.815,89.4318,94.5054,52.1257,62.9775,47.473,40.5696,39.7084,30.4876,44.2988,34.8453,41.3193,33.7422,53.5124,38.8241,66.7026,33.4765,34.2031,47.6866,37.1524,45.5528,56.4618,43.6417
amhX,BS3610_RS02505,433.77,511.968,540.2315,534.9773,545.216,375.0288,385.8818,402.4956,171.2224,192.5,178.1879,172.0783,104.0631,154.7152,103.7586,124.5466,140.0257,182.0165,187.6884,195.9311,163.8425,366.6007,396.6356,199.0634,443.6806,225.8537,231.4866,295.2779
ampS,BS3610_RS08805,154.83,162.6724,153.5357,159.2573,171.8534,153.9185,180.8487,178.7758,149.1705,150.6387,124.8136,123.3349,119.3654,159.8237,115.8137,151.5341,130.7925,132.0445,129.652,140.1111,112.0385,97.5476,91.9068,104.2641,103.3537,92.6307,99.9531,85.2015
amtB,BS3610_RS20500,305.2691,349.3995,350.2981,338.7953,189.5192,110.8581,186.8792,172.0271,242.3416,101.5926,242.0445,240.6535,71.0293,125.0483,48.0094,90.6012,39.7541,43.3476,70.4687,608.1527,188.3643,1721.5882,1600.5764,103.4232,154.4073,502.0616,208.0602,470.4506
amyC,BS3610_RS17150,25.6581,26.7578,21.4409,27.4931,27.4427,27.1799,24.4989,20.4693,19.0915,17.2473,24.3065,25.56,37.0497,27.7567,38.7436,22.5854,23.2497,29.7602,22.934,31.8606,59.7943,41.3936,80.4899,44.5231,120.2221,59.9744,85.9821,87.4143
amyD,BS3610_RS17145,20.1171,20.1518,18.5598,22.0279,28.8256,35.6387,25.2119,27.5937,20.9341,11.5461,24.2571,31.7139,33.2476,14.845,37.1715,19.4234,26.1567,22.5976,19.3376,22.4989,65.2927,29.5066,61.8247,42.6252,101.4531,48.1962,79.7934,67.7343
amyX,BS3610_RS16975,61.2639,61.1154,71.0382,64.9212,52.7156,66.403,60.9609,55.5256,87.6386,104.8227,74.8027,76.6823,63.6909,62.4174,67.3437,54.7492,52.189,54.5666,44.1775,53.1896,89.8596,47.5161,53.8178,56.6755,68.2904,71.0015,82.0308,64.9675
ansA,BS3610_RS13650,45.5789,53.6297,50.1676,53.3172,44.7907,57.593,53.7089,53.4283,63.8297,55.25,57.8078,57.2892,54.1882,57.7406,64.277,51.1229,46.5986,56.9002,54.8788,51.9272,85.8494,53.1819,48.8573,58.9003,54.7571,56.9845,76.6188,54.1165
ansR,BS3610_RS13655,96.7701,98.9029,95.1782,98.197,122.7232,112.2183,106.4502,117.5024,126.4058,127.5,92.4851,97.8522,104.3289,132.8579,118.7045,131.576,115.7052,118.7348,128.0431,108.1173,121.4492,136.0002,123.6287,120.9536,149.5916,130.158,123.727,129.2791
ansZ,BS3610_RS02345,52.9707,49.0801,54.2971,57.4453,43.5229,23.1979,42.2545,32.2252,47.4388,23.8564,53.7201,55.6891,35.9793,34.8957,34.7547,20.7517,23.9444,11.7742,18.6607,112.6645,81.8419,328.1814,367.2987,45.6483,51.3291,215.5467,83.2436,149.4176
appC,BS3610_RS07100,321.3292,346.5621,344.8206,349.8546,372.9962,442.7656,503.975,535.7772,909.0102,903.4786,822.1031,823.0741,330.1745,591.3263,302.3558,449.7431,392.5669,491.8734,492.4854,521.5881,257.665,641.9617,662.1913,344.5538,491.0828,351.2252,278.6333,368.7758
appD,BS3610_RS07080,174.8315,225.2857,227.907,227.0871,335.3468,314.7942,370.5533,411.2554,344.6382,373.7006,249.2318,260.7598,319.028,468.6632,284.7531,396.3387,333.3741,520.3863,430.2776,588.3592,271.288,1030.8347,1057.6858,340.3107,904.0823,582.9732,482.8129,743.7076
appF,BS3610_RS07085,192.0825,266.7734,243.414,249.2776,283.4611,321.3524,326.1246,368.1139,423.7205,407.4318,353.8909,364.2771,293.0875,433.3077,276.2382,345.9319,283.3755,445.7181,373.233,495.648,229.5596,759.2013,776.6919,301.9071,645.6182,449.583,376.2768,556.3793
aprE,BS3610_RS06520,78.7489,87.9069,91.3412,85.0723,537.5638,577.8094,664.6168,818.7996,309.2579,380.5563,295.0161,270.1283,101.7648,198.4286,85.7698,144.4524,126.9593,150.6609,144.459,239.5022,105.8974,439.006,499.9672,128.2476,269.703,261.9926,167.5849,248.0571
aprX,BS3610_RS10250,8.3949,7.6827,8.3791,11.1149,7.1498,4.9742,5.4066,6.6625,23.8752,35.4345,29.4922,31.4544,63.006,77.5351,56.8591,58.8693,37.9759,22.0546,35.7435,33.3691,92.6187,37.8556,84.2281,50.2907,40.7897,130.0812,75.18,60.1101
apt,BS3610_RS15775,464.9275,368.8701,350.7902,376.6335,261.1668,237.8598,237.1784,218.4783,251.6019,327.2807,186.0879,154.6051,120.0325,188.159,111.8606,158.6754,145.6513,144.6243,170.781,150.1004,100.7549,105.3686,124.9964,115.9938,127.8019,117.054,92.0913,92.914
araB,BS3610_RS16395,3.5355,4.3141,3.3083,2.6916,3.1993,2.9459,3.9848,5.8149,10.3853,3.4759,19.5741,19.7364,29.2422,5.6608,37.9226,9.0217,18.5083,5.3063,7.2676,5.6371,76.541,7.7861,10.182,42.144,22.7663,42.98,65.1203,44.9744
araD,BS3610_RS16390,1.078,0.3288,0.3228,0.8563,2.2952,1.996,3.1241,2.0262,4.6765,3.8152,13.9398,13.4267,29.7472,3.2702,24.4283,4.2788,14.8575,2.9868,8.6572,4.1569,68.3449,5.087,6.8097,28.4168,16.4533,27.8386,59.112,30.395
araE,BS3610_RS19195,4.7986,7.8071,6.2265,5.6475,16.5746,24.0891,17.3411,14.1979,12.7221,7.129,26.3732,28.0224,38.9578,5.9309,52.8113,12.0936,26.2864,5.2528,11.2149,6.4846,110.7734,13.0839,5.1514,59.5225,14.2419,58.6761,83.5077,58.3596
araL,BS3610_RS16385,1.2243,1.6807,0.5499,3.161,1.5641,3.0605,3.844,3.1644,7.3034,1.8056,21.0775,16.7379,28.7957,3.7143,38.3452,6.7691,16.5507,3.6751,5.2676,4.3582,86.1783,6.9333,3.7535,40.2045,19.2717,38.8831,67.5622,50.6072
araM,BS3610_RS16380,0.6277,1.7233,0.9397,1.8283,1.6037,2.7893,4.0424,4.1293,5.2191,2.4684,11.9723,16.7803,19.2895,3.5968,31.1651,8.1861,12.8105,1.7392,5.0409,4.2824,60.4805,5.9241,6.9973,31.6542,21.7954,35.1943,57.201,33.1442
araN,BS3610_RS16375,5.5222,5.7508,6.6712,5.8996,9.2442,9.52,10.3016,7.5166,6.1958,7.4136,14.4055,20.8259,22.0347,3.4661,30.8373,8.4223,12.4164,5.2762,4.151,4.7448,61.6961,8.9862,7.8545,35.3573,22.4527,38.0127,53.1877,37.4876
araP,BS3610_RS16370,3.1583,3.613,3.5464,3.1362,2.6899,5.2633,5.3395,4.6998,7.4219,5.5892,22.974,21.3488,37.6361,5.0569,41.8181,9.4024,20.3008,3.8894,7.8511,7.0266,90.931,8.9427,7.6287,44.1637,17.7764,51.0703,73.3584,48.7781
araQ,BS3610_RS16365,2.6375,2.4138,2.8958,3.9577,2.6207,2.6047,3.3973,4.4069,5.0856,3.4574,15.6328,14.9573,26.1918,5.038,35.818,10.7186,14.6812,4.3308,5.0434,6.2591,63.3005,9.4043,7.1875,35.4706,26.1678,40.5013,64.6872,47.7776
araR,BS3610_RS19200,73.764,69.1727,68.9216,78.6735,72.4213,63.4864,67.741,72.5358,58.7678,62.0455,70.4381,65.3607,67.2534,61.9307,75.8246,57.7069,57.2074,45.8398,53.2854,61.7939,124.5293,48.7769,42.6391,79.2226,54.7311,87.0817,99.8321,76.8591
arfM,BS3610_RS20915,18.7116,32.3456,29.4155,25.6,4.6481,8.6618,3.5149,2.931,9.5834,3.6792,9.5781,14.2114,23.4712,4.7305,25.4105,9.7262,16.9456,4.3205,4.7707,5.088,53.3417,6.8679,1.1589,33.9572,8.3301,25.0325,39.9857,22.7832
argB,BS3610_RS07000,80.4094,104.249,89.7174,99.8717,65.222,73.3811,66.891,82.4693,79.251,65.5019,68.0843,71.2491,142.8888,159.077,148.439,135.9742,118.9993,259.0488,151.9264,211.5481,179.5053,375.8462,278.5272,227.1151,157.7994,206.6813,147.4721,211.7622
argC,BS3610_RS06990,228.3996,170.0077,170.3004,199.9823,69.9797,67.7367,49.4671,57.0782,61.9941,54.7911,47.5841,49.9242,234.3652,287.5645,233.9602,258.285,221.5786,422.7819,323.2512,350.9808,228.2947,613.4362,469.4165,414.5415,250.8301,303.712,195.0587,279.6707
argD,BS3610_RS07005,102.1262,138.7233,129.0528,120.7583,122.5362,115.1255,99.6936,123.3481,106.5845,99.7733,86.591,92.2968,215.1171,217.3736,226.3494,207.9684,162.7579,387.5799,218.1275,311.3274,225.9356,664.0115,510.3005,292.7079,281.3688,311.1332,219.5685,323.3639
argF,BS3610_RS07020,308.3618,376.2674,369.5711,360.0586,430.8905,325.0824,305.6284,345.8791,248.1719,274.2187,211.9064,220.3123,253.6538,303.9928,257.4489,284.9105,249.5156,463.2247,301.3393,375.7684,252.2751,659.8324,507.584,369.5962,282.3415,278.8645,204.6394,294.7279
argG,BS3610_RS16735,779.9948,611.2309,610.4504,700.5558,308.6329,296.3532,243.2676,291.0743,278.2178,278.7438,250.3812,252.9947,740.5333,1034.7196,686.7648,905.1227,799.4909,1496.3607,1037.1163,1141.4022,531.6492,1779.9091,1478.8844,1094.4693,706.505,659.3643,374.9027,601.7103
argH,BS3610_RS16730,614.0986,645.4882,631.3529,649.412,532.9179,469.6077,450.3395,517.471,437.3013,455.211,374.3977,384.4277,663.2166,915.4923,627.7396,828.7697,717.329,1365.34,862.3805,1078.4993,500.0832,1743.6914,1456.1478,896.4212,675.5565,671.9773,373.8845,618.1993
