gene_name,gene_name_alt,8h_rep1,8h_rep2,8h_rep3,8h_rep4,12h_rep1,12h_rep2,12h_rep3,12h_rep4,16h_rep1,16h_rep2,16h_rep3,16h_rep4,20h_rep1,20h_rep2,20h_rep3,20h_rep4,24h_rep1,24h_rep2,24h_rep3,24h_rep4,28h_rep1,28h_rep2,28h_rep3,28h_rep4,32h_rep1,32h_rep2,32h_rep3,32h_rep4
yjoB,BS3610_RS07665,122.0154,94.8963,93.8493,103.7421,229.0845,278.0434,262.1084,199.1238,123.2456,119.5755,95.8442,99.8351,74.9978,94.2155,75.636,79.4124,77.6503,93.6117,103.9853,120.7246,105.3568,122.3351,127.1147,102.8099,112.2337,94.9604,96.8885,98.4775
yjpA,BS3610_RS07680,24.4868,27.078,20.1637,17.0208,18.2481,10.2017,18.7273,14.3835,23.2382,21.6667,26.7179,30.6861,56.6315,23.7303,60.0117,30.374,42.9994,28.2702,37.4584,37.2264,103.6113,32.7408,32.9852,69.4633,39.7114,68.3658,92.981,56.4917
yjqA,BS3610_RS07690,116.7497,107.4449,97.8069,118.7983,138.257,104.9314,138.7654,117.7395,103.8607,146.25,87.7874,97.4384,79.5995,116.0721,72.6487,80.336,92.3154,90.8685,85.7865,79.3818,99.3823,58.1906,63.6142,72.6207,57.8151,68.671,80.7331,62.5444
yjqB,BS3610_RS07695,23.0249,29.7259,21.0529,26.4567,26.7885,25.5803,22.2433,27.4361,33.8912,35.4104,35.491,37.4729,44.8697,28.6889,57.7899,31.1252,44.1376,32.2786,30.6621,32.5647,97.2046,35.3135,33.4605,68.9921,27.7701,49.0742,77.6164,51.5382
yjqC,BS3610_RS07700,38.2113,41.4754,42.0422,41.1794,34.0574,41.1357,43.4958,46.2129,60.0767,51.7204,48.8392,49.6737,66.8803,47.0279,81.9096,41.5717,53.4679,47.6033,49.2775,47.7119,131.3047,53.3979,56.7976,85.9634,40.691,92.2112,104.6475,79.954
yjzB,BS3610_RS07060,136.6789,149.324,165.6101,166.6544,170.5492,123.5971,127.9449,91.6121,79.2909,66.25,56.5187,42.4885,52.829,56.786,80.1256,53.1711,46.3382,39.1433,38.8992,49.0299,88.2404,49.0001,54.3336,59.0195,47.3033,107.972,90.9143,73.3306
yjzC,BS3610_RS07025,147.3801,144.9606,154.6646,135.6802,181.2424,94.8755,83.8295,62.1369,73.2004,68.25,54.7717,70.2991,156.7924,186.6439,143.0929,152.3037,161.0043,208.634,184.8926,151.9928,170.9587,165.1003,179.6554,170.5009,85.1459,238.4258,158.1282,140.8762
yjzD,BS3610_RS07030,1618.204,1355.2701,1380.606,1400.923,1561.5338,1122.512,1099.6988,1151.2859,718.5111,1056.7742,497.7288,457.9969,716.0368,1450.3771,610.928,1193.8648,1442.573,839.6246,1492.5984,1232.4701,421.1299,754.84,789.0571,776.4206,1026.9391,569.3936,418.0641,540.2022
yjzE,BS3610_RS07335,167.2306,163.7202,167.6928,131.3034,349.0287,295.9682,270.5086,230.2719,214.0651,216.7941,232.9173,232.1642,64.9427,62.9247,76.4978,63.6781,65.716,79.9215,71.3914,69.2187,156.723,195.4592,132.235,84.2475,161.3877,143.8699,181.2385,179.4443
yjzF,BS3610_RS23665,11.2695,27.5024,18.5598,34.3179,16.7965,22.9537,12.7014,5.2958,10.1856,4.4318,16.3951,13.6946,21.2041,15.1949,40.1731,39.9398,23.8967,19.0824,19.3943,26.7436,40.368,17.7273,12.5633,34.8752,17.2012,23.5979,33.3447,14.4439
yjzG,BS3610_RS23670,19.9483,19.5599,20.4797,14.715,16.3828,7.9151,8.2591,6.6958,7.727,10.0862,9.6737,16.8822,26.8098,12.9681,31.5646,15.7556,20.3946,18.4244,21.252,16.4842,50.5297,21.5173,14.2962,29.3967,8.1557,22.8746,33.728,27.3936
yjzH,BS3610_RS07475,142.4003,129.1556,158.7573,162.6143,518.1447,477.4378,396.7316,328.6084,143.4131,237,133.1785,159.9111,151.9082,149.1437,134.0282,138.4252,127.388,142.0903,188.1747,195.7426,169.4216,171.6003,175.7575,154.7623,154.2815,124.2417,153.4884,149.5944
yjzI,BS3610_RS07565,158.7271,133.2557,96.6285,114.63,100.5505,109.3035,107.7174,106.0272,68.2919,68.0952,71.2478,65.7559,93.7916,84.8985,89.1826,73.6414,67.8023,54.5211,70.7363,57.2016,157.1791,42.0953,38.0223,106.4503,46.5524,91.5614,141.2829,113.9922
yjzJ,BS3610_RS07715,4.1322,8.8237,6.1866,4.3768,0,3.0605,2.6613,3.8836,5.9755,3.25,5.3436,6.2767,15.5497,1.3929,17.8866,3.5147,14.2385,10.1773,14.2225,12.2575,38.4842,18.2,38.3879,26.5224,25.2284,25.9577,33.4188,38.1319
yjzK,BS3610_RS07315,2.3955,4.3844,1.0759,2.8544,0,1.3307,1.1571,7.8797,22.0835,52.2826,38.3344,41.4808,48.4518,32.7021,71.3635,24.4501,33.3342,7.7436,12.3674,14.9222,115.1952,42.9566,68.0968,50.2442,43.8755,178.903,95.6849,84.7376
ykaA,BS3610_RS07920,1318.678,1091.8858,1077.5467,1090.5834,870.2503,771.5131,675.1317,619.4835,556.0738,683.4466,357.9681,320.2947,239.661,447.0692,224.9362,352.4939,316.7768,303.8359,348.8886,304.533,113.1677,215.447,229.8802,172.9839,269.1236,182.2916,131.2855,165.0532
ykbA,BS3610_RS07925,172.6279,139.0313,132.7508,152.5393,94.9962,65.2535,60.3783,54.8475,32.2598,41.0877,33.5952,33.2851,60.7464,71.9594,67.1557,61.6474,59.8779,52.683,48.8122,36.8562,82.7407,26.4739,19.3076,60.4585,16.5939,51.7708,67.9554,51.9717
ykcB,BS3610_RS07940,2.9968,2.3206,3.0027,2.7469,1.767,3.8416,2.8951,2.7082,6.1256,1.2238,12.8559,15.6524,24.398,4.5458,30.6401,6.4706,14.0231,3.5131,5.5541,5.3338,62.1792,9.0293,2.0559,37.9683,3.1667,31.1347,52.1114,32.7073
ykcC,BS3610_RS07945,8.4173,9.3372,11.6858,11.1446,18.2481,15.8693,17.9881,17.5,9.406,8.7269,15.0907,16.5054,25.1962,7.9961,28.642,7.3765,19.4714,7.7743,8.7793,9.5336,62.4957,12.2778,9.3837,26.1364,9.6359,28.6638,40.7547,24.519
ykfB,BS3610_RS07995,89.6238,79.135,77.4756,81.2149,35.3845,43.0304,52.645,60.1051,76.4446,81.2943,79.9353,80.246,70.9692,73.5524,69.4938,72.0179,61.7767,93.1761,91.7164,107.4116,118.0903,268.0059,269.3638,113.5124,193.0799,138.9438,141.2533,180.4426
ykfC,BS3610_RS08000,89.5995,74.8677,79.9882,82.8936,45.1462,61.5191,65.5905,64.0721,90.2368,84.0404,96.0765,103.7241,79.0572,82.165,74.6073,79.7612,67.7074,115.3938,95.1359,128.0226,129.7758,306.4854,293.4542,130.5068,223.9341,146.2485,157.5848,203.4986
ykfD,BS3610_RS08005,97.669,73.7981,84.1375,85.1483,69.4256,70.6697,73.0635,68.021,92.621,109.6136,95.6987,94.2647,77.2771,101.046,82.2593,97.7726,77.6644,129.0663,122.9744,131.4894,133.2145,312.946,307.9408,145.3563,231.6428,156.4451,153.0894,198.9408
ykgA,BS3610_RS08015,146.8166,203.6897,205.0009,175.8173,379.9211,321.0046,280.3389,284.4998,190.131,194.6307,214.6541,202.8517,39.4632,18.9936,46.3904,31.153,27.1328,36.1409,28.014,25.0721,86.6231,94.2502,72.239,56.8336,54.4705,62.7091,81.5094,62.5903
ykgB,BS3610_RS08010,359.3792,378.3743,390.0729,376.0906,569.5183,493.4398,482.4473,477.5662,408.7273,459.0857,379.9287,344.9677,219.6945,312.7977,196.4221,300.4568,244.6514,283.7277,267.3831,292.4986,157.5738,281.9148,245.5948,175.0476,269.4936,179.3138,166.1394,181.399
ykhA,BS3610_RS08020,321.4958,268.4267,270.3501,281.9609,333.822,232.4564,237.6669,214.6057,116.0568,147.659,89.8834,92.7356,111.9036,161.83,95.6061,143.026,115.4779,158.836,121.6723,131.7856,103.6969,133.4569,139.5278,112.0247,111.5592,95.6949,95.8324,98.8197
ykjA,BS3610_RS08035,2.7096,4.6495,4.5639,4.305,3.4616,2.2577,4.2536,5.4115,20.2042,8.3914,22.0094,32.7212,55.1248,28.7707,71.1497,105.4411,34.474,22.8363,33.8076,28.6343,73.1588,15.3443,12.4603,47.0508,9.6933,44.2084,59.9294,45.5812
ykkA,BS3610_RS08040,31.4607,18.4782,26.996,27.6036,32.3933,39.6474,39.4652,44.5726,40.7424,43.7642,45.5419,41.5118,64.4958,49.3834,61.6945,59.1109,44.433,56.8134,70.0351,72.2913,70.6441,56.7274,57.5819,58.4482,72.03,59.9779,78.3601,73.6639
ykkB,BS3610_RS08045,22.9299,26.2306,29.1806,34.1541,37.227,27.5976,39.2266,36.3662,46.63,43.396,50.5015,46.1501,70.5577,53.6213,81.0098,65.4181,50.1417,61.3283,51.5189,68.0184,106.777,54.1041,52.1898,77.8588,71.0916,87.6925,95.267,91.1052
ykkC,BS3610_RS08050,18.2839,12.0475,13.7966,13.3627,15.8834,13.0003,17.6632,18.5586,11.8982,9.4912,17.7331,21.9962,30.2737,10.354,30.168,12.4414,23.8439,4.7284,10.069,8.4609,67.9826,6.9027,4.0766,30.1771,2.5117,32.1599,54.9647,31.4954
ykkD,BS3610_RS08055,11.8061,10.8045,11.3126,16.2566,10.0551,9.6187,14.4468,11.0959,8.5365,11.1429,17.5575,22.2375,40.7253,8.7552,37.8775,15.3977,26.9123,7.2695,9.9332,9.806,92.1929,11.8857,2.6323,54.6685,6.3071,48.3444,72.194,43.5793
yknT,BS3610_RS08705,10.2662,11.5092,10.8361,12.0294,16.722,13.4016,16.6122,16.885,23.3826,20.2873,29.1242,32.9819,42.9789,24.6563,58.0318,28.5979,24.8986,35.0831,23.5569,34.7168,93.6363,65.1616,100.1423,52.2446,47.5971,114.4716,97.6593,89.4087
yknU,BS3610_RS08740,19.18,16.7783,18.1163,19.4939,21.4399,27.8892,21.1175,25.5811,28.4501,26.6212,33.5114,38.1744,45.1099,31.6604,57.2041,27.11,33.4187,31.131,28.6392,31.3758,94.114,41.1298,48.1093,55.8638,37.4552,69.496,80.8695,60.8419
yknV,BS3610_RS08745,12.4306,13.3762,14.1115,14.6496,13.7862,20.0324,13.4602,15.4058,27.1122,28.6859,34.5787,38.8429,39.7095,21.1347,47.7904,23.7025,25.6347,22.4573,23.3516,24.0692,78.5342,32.7472,30.152,54.9548,30.0239,59.3999,74.0455,55.5697
yknW,BS3610_RS08750,273.577,231.7849,224.957,237.7045,527.8904,677.5311,607.7295,522.9407,555.1848,627.4461,432.5538,421.7296,371.3152,610.9395,342.5849,539.6279,515.531,729.0784,672.2994,841.6452,351.7936,858.0015,797.0122,486.5154,783.3588,506.4725,387.0289,533.6277
yknX,BS3610_RS08755,170.9705,145.861,137.2832,160.3083,288.5242,411.2242,297.5958,298.5611,365.1722,315.4563,252.1238,271.9905,220.4925,301.3453,219.7832,272.9938,226.8768,346.5117,309.283,389.321,206.8702,369.3657,388.2662,241.0167,378.6766,260.3395,224.2154,275.7334
yknY,BS3610_RS08760,127.3633,88.728,90.3081,99.7565,175.5064,217.0172,182.1404,178.5426,259.975,234.2532,202.2928,211.9407,166.9401,226.1145,136.9166,195.9712,170.122,270.6228,231.5005,266.4809,140.5192,293.4291,309.8951,172.7152,301.84,189.7818,148.6223,212.6693
