yfiR
birA
glcR
padR
rex
araR
sigI
glcT
kipR
gntR
sigL
hrcA
ccpC
mgsR
gltC
liaR
rplT
gmuR
xre
xylR
hutP
yfhP
rsoA
codY
sigM
citB
pyrR
csoR
ganR
yxdJ
ywbI
licR
aseR
cggR
azlB
ohrR
sigD
sigX
ycnK
sigH
comA
xpf
iolR
hprT
rpmE
yetL
nusA
yclJ
rplJ
lexA
sigB
gltR
bltR
sigW
nrdR
comK
fadR
exuR
frlR
zur
hxlR
glnL
splA
degU
citT
sigV
gerE
rok
sinR
yodB
sigE
kdgR
ycbG
manR
sacY
perR
rpsB
nsrR
mtlR
levR
rocR
salA
tyrZ
sigA
ccpN
natR
acoR
phoP
cssR
treR
fnr
gabR
sigY
rsfA
ydfI
yrkP
purR
licT
bmrR
abrB
sigG
walR
cysL
mtrB
pucR
mta
desR
spoVT
glnR
nhaX
slrR
immR
ctsR
fur
mdxR
malR
rpsD
ansR
deoR
rplL
cymR
glpP
ytrA
fruR
citR
ylaC
bceR
nadR
tnrA
lmrA
spo0A
tilS
dnaA
ywcC
sdpR
bkdR
arsR
yfmP
alsR
sigF
mhqR
gutR
sigO
adaA
ccpA
mntR
czrA
sacT
abh
ahrC
resD
