target_gene,minimal_set,disjoint_sets
pyrG,mhqR: comK: sigE: rsfA,mhqR: comK: sigE: rsfA; sigO: sigF; mdxR: citT; yxdJ: slrR; rsoA: hutP: sigY: sigV; yrkP: lmrA; gltC: malR; bltR: ywbI; gutR: padR; cymR: mtlR; araR: arsR: splA
skfB,rsoA: araR: liaR: xre: purR: mtrB: ccpA: yxdJ: rsfA: splA: sacY: nusA: licR: licT: adaA: sigY: mtlR: cymR,rsoA: araR: liaR: xre: purR: mtrB: ccpA: yxdJ: rsfA: splA: sacY: nusA: licR: licT: adaA: sigY: mtlR: cymR; alsR: cssR: hrcA: rplJ: sacT: rok: sinR: padR: sigB: rpsB: sigH: rpsD: mntR: sdpR: nadR: ycnK: kipR: fnr: frlR: mta: glnL: hprT: ycbG: citT: comA: sigA: lmrA: mdxR: deoR: natR: tilS: ccpN: codY: birA: glcT: lexA: ahrC: sigD: cggR: treR: sigV: cysL: gabR: bkdR: fruR: hutP: zur: yrkP: resD: yfmP: yfhP: sigE: gutR: walR: nrdR: gltC: sigL: arsR: ansR: mhqR: sigO: malR: iolR: bltR: slrR: gerE
spo0M,hutP: tilS: hprT: gerE,hutP: tilS: hprT: gerE; mhqR: gutR; licT: sigM: yfmP: walR: lmrA: ahrC: liaR: bkdR: zur; dnaA: sigA: sigE: mtlR; nsrR: mdxR: lexA: ccpN: birA: ywbI: licR: cymR: ccpA: codY: sacY: glcT: padR: slrR: yxdJ: arsR; yodB: desR: immR: degU: sigF: mta: ytrA: sdpR: fadR: tyrZ: phoP: sigG: acoR: nrdR: cysL: purR: frlR: splA: bltR: sigY: natR: sigV: rsoA: citT: salA: sigH: hrcA: rpmE: pyrR: comK: rocR: glcR: sigW: deoR: iolR: gltC: adaA: gabR: glnR: rex: treR: malR: rsfA: ansR: yrkP: xre: cggR: yfhP: sigD: araR: sinR: nusA: fruR: glnL: comA: sigL: ycbG: resD
thrS,licT: dnaA: mdxR: rsoA: sigM: ccpA: bltR: lexA: sigF: cysL: yrkP: arsR: hprT: glcT: sigY: gerE: sigO: citT,licT: dnaA: mdxR: rsoA: sigM: ccpA: bltR: lexA: sigF: cysL: yrkP: arsR: hprT: glcT: sigY: gerE: sigO: citT; ccpC: sigD: glnR: rok: exuR: rplT: mgsR: ctsR: nadR: abrB: rplJ: sigB: rpsB: rpsD: gabR: glnL: lmrA: manR: sdpR: deoR: ywbI: birA: tilS: zur: comA: glcR: treR: yfmP: sigL: purR: mhqR: frlR: glpP: rsfA: sinR: cymR: padR: mtrB: salA: azlB: sigE: malR: ahrC: walR: nrdR: licR: ansR: yfhP: bkdR: resD: adaA: nusA: cggR: yxdJ: araR: sacY: fruR: comK: codY: ccpN: hutP: gltC: splA: slrR: liaR: sigV
phrF,dnaA: rpsB,dnaA: rpsB; sinR: ccpA; nusA: rsfA: rpmE: rplJ: sigX: hprT: abrB: sigA: rex
rplD,rpsD: glnR,rpsD: glnR; dnaA: rplJ
yclH,fruR: citT,fruR: citT; comK: mdxR: sacY: sigF: rsfA: nusA: licR: hutP: cymR; yfmP: glcT: cysL: sigA; tilS: yxdJ; bkdR: liaR; birA: lmrA; deoR: ycbG: hprT: sigO: sigY: adaA: dnaA: sigE; sigL: mtlR: purR; ccpN: ccpA: gutR: padR: gerE: yfhP: bltR: yrkP: nrdR: splA: codY: comA: rsoA: resD: slrR: mtrB: licT: araR: zur: lexA: arsR: iolR: ansR: ywbI: xre: sigV: walR: malR: mhqR; treR: ahrC: sigM: gltC: glnL; ytrA: nadR: ctsR: xpf: fadR: phoP: gmuR: spoVT: manR: levR: abh: nhaX: rex: sigI: exuR: ywcC: yetL: bmrR: bceR: ylaC: mta: citB: fnr: azlB: rok: cggR: sdpR: glnR: mntR: natR: nsrR: hrcA: glcR: glpP: alsR: salA: frlR: sinR: gabR: rocR: sigD: sigH
yvaQ,nsrR: tnrA: rpsD: mta: glnR: degU: manR: pyrR: liaR: abh: rex: bceR: ccpC: perR: sdpR: rok: sigX: hrcA: sigW: glpP: hxlR: ycnK: pucR: ylaC: citB: gerE: sigD: licT: rsfA: sigY: fruR: salA: glnL: sacY: cymR: citT: lmrA: gabR: xre: yfhP: ycbG: glcT: sigL: rocR: mtlR: comK: iolR: frlR: splA: walR: ywbI: nusA: sigA: birA: yxdJ: cysL: bltR: treR: tilS: codY: mntR: dnaA: arsR: lexA: purR: hprT: licR: yfmP: sigO: ansR: sigM: sigE: ccpN: nrdR: ccpA,nsrR: tnrA: rpsD: mta: glnR: degU: manR: pyrR: liaR: abh: rex: bceR: ccpC: perR: sdpR: rok: sigX: hrcA: sigW: glpP: hxlR: ycnK: pucR: ylaC: citB: gerE: sigD: licT: rsfA: sigY: fruR: salA: glnL: sacY: cymR: citT: lmrA: gabR: xre: yfhP: ycbG: glcT: sigL: rocR: mtlR: comK: iolR: frlR: splA: walR: ywbI: nusA: sigA: birA: yxdJ: cysL: bltR: treR: tilS: codY: mntR: dnaA: arsR: lexA: purR: hprT: licR: yfmP: sigO: ansR: sigM: sigE: ccpN: nrdR: ccpA; sigV: gutR: padR: ahrC; abrB: acoR: adaA: alsR: araR: aseR: azlB: bkdR: bmrR: cggR: citR: comA: csoR: cssR: ctsR: czrA: deoR: desR: exuR: fadR: fnr: fur: ganR: glcR: gltC: gltR: gmuR: gntR: hutP: immR: kdgR: kipR: levR: malR: mdxR: mgsR: mhqR: mtrB: nadR: natR: nhaX: ohrR: phoP: resD: rplJ: rplL: rplT: rpmE: rpsB: rsoA: sacT: sigB: sigF: sigG: sigH: sigI: sinR: slrR: spo0A: spoVT: tyrZ: xpf: xylR: yclJ: ydfI: yetL: yfiR: yodB: yrkP: ytrA: ywcC: zur
ydgH,yrkP: zur: codY: sigY: comA: citT: tilS: ccpA: treR: glcT: arsR: sigV: liaR: lexA: rsfA: hutP: sigE: gerE,yrkP: zur: codY: sigY: comA: citT: tilS: ccpA: treR: glcT: arsR: sigV: liaR: lexA: rsfA: hutP: sigE: gerE; comK: adaA: resD: mhqR; glnL: purR: mdxR: sigA; yxdJ: nrdR: iolR: araR: gutR: yfmP: ahrC: xre: yfhP: sigO: bltR: splA: nusA: sigM: rsoA; ywbI: dnaA: sigF; ycnK: yfiR: xpf: rex: glnR: rplL: abh: sdpR: aseR: spo0A: phoP: gntR: exuR: sigW: fadR: kdgR: citB: spoVT: nsrR: rpmE: licR: mtrB: sigH: malR: manR: glcR: cggR: fur: walR: ycbG: birA: fruR: salA: sinR: mtlR: frlR: gabR: glpP: lmrA: ccpN: sigL: padR: licT: gltC: hprT: deoR: rocR: cysL: bkdR: slrR: cymR: sigD: ansR
ydzL,arsR: glnL: licR: deoR: rsfA: gltC: sacY: mdxR: walR,arsR: glnL: licR: deoR: rsfA: gltC: sacY: mdxR: walR; dnaA: slrR; citT: nusA; lexA: sigY; yxdJ: iolR; ywbI: mtlR; ahrC: sigE: gerE: comK; sigO: cysL; bkdR: nrdR: sigL: bltR: yrkP: ccpA: glcT; sigF: hutP: gutR; ansR: yfmP: cymR: araR: birA: resD: sigV; adaA: liaR: malR; ycbG: sigA: rsoA; comA: lmrA: ccpN; zur: treR: codY; splA: sigD: tilS; salA: sigH: sinR: sigM: xre: licT: purR: fruR: yfhP: padR: mhqR; abh: abrB: acoR: alsR: aseR: azlB: bceR: bmrR: ccpC: cggR: citB: citR: csoR: cssR: ctsR: czrA: degU: desR: exuR: fadR: fnr: frlR: fur: gabR: ganR: glcR: glnR: glpP: gltR: gmuR: gntR: hprT: hrcA: hxlR: immR: kdgR: kipR: levR: manR: mgsR: mntR: mta: mtrB: nadR: natR: nhaX: nsrR: ohrR: perR: phoP: pucR: pyrR: rex: rocR: rok: rplJ: rplL: rplT: rpmE: rpsB: rpsD: sacT: sdpR: sigB: sigG: sigI: sigW: sigX: spo0A: spoVT: tnrA: tyrZ: xpf: xylR: yclJ: ycnK: ydfI: yetL: yfiR: ylaC: yodB: ytrA: ywcC
