CSNK2B
ZNF713
HIP1
ELOB
TAF1L
FXR2
PAX3
LZTS1
ZNF735
ZNF492
NUAK1
ARPC2
TRAV13-2
PBX1
H3C14
POFUT1
FOXN2
CHD4
IFIH1
SOX3
SNAPC3
CPN1
HDAC9
POLDIP3
CHMP3
HAP1
PIAS3
TLX2
OLIG2
PBXIP1
PPARG
TRBJ1-5
PXN
IRF9
ZNF418
CNBP
SMARCA2
NSD2
TAF11L5
ASF1B
THBS4
RGS14
ZNF250
TRAV18
CSNK2A1
POLR2I
DUX4L9
SLC25A33
NR2C2
TIRAP
IER5
EDRF1
HOXA5
RBP1
HIF1A
EXOSC10
LARP7
SCAP
GNA12
ZNF141
ABL1
HOPX
KLF2
CX3CL1
FOXP2
ZNF558
POU2AF1
ADGRG3
AKAP13
DUSP26
ZNF302
HIF3A
RFXANK
GTF2IRD2
BHLHE23
ATF6B
ZFP28
SRC
RBBP7
TRAV19
BAHCC1
YY2
H3C13
TIAL1
TFAP4
ZBTB4
ZNF581
COLCA2
MKLN1
HMX1
FLG
SNX6
ERBB4
BICC1
XBP1
MAEA
UTP15
H3C1
STK16
PROP1
HOXD13
NR1H3
RNF31
ZNF12
CFAP20
ENO1
HOXB1
NCOR2
EPHB6
PLA2G1B
TSC22D4
ZNF45
IRF7
SOCS4
TNFAIP3
ENDOG
ZKSCAN2
SPP1
ZNF727
HMOX1
RPS6KA4
OTP
PCSK1
CNOT2
RPS6KA6
ARL2BP
ZNF618
SMAD9
FBXO38
TGIF2LX
ZIC5
ZRANB2
SON
RNPS1
PIAS2
USP7
ZNF660
MEOX2
LMO4
MAFG
TFCP2L1
PAX7
AIRE
RORA
TRAF2
ADIPOQ
HSFX4
ZNF835
NRF1
ESPL1
IRF2BPL
TJP3
CALCOCO1
E2F7
ZNF610
TRAV1-2
MYBBP1A
KDM5B
ZNF75D
MED15
PPP5C
EP400
PRPF19
PPP1R13L
TRIM29
EXOC1
ZNF490
WNT7A
ZPR1
TRNP1
EHMT1
ONECUT1
ZNF415
FCER2
ZNF776
ZNF678
IL2
PEG3
ZNF432
ZNF679
CDX4
NFKBIE
JAK1
ZNF225
IRF5
GATA5
PSMA7
ESR2
ZNF860
SSU72P2
PSMA5
ESR1
SP8
MYRFL
PPP2CB
FOXQ1
ATF3
PSMF1
ZNF76
TRIM6
SLC2A4RG
ATOH1
PTAFR
PGR
THOC5
TRAV24
SUPT3H
TFAP2D
MYBL1
GTF2A1
ARNTL2
EREG
ZNF593
MEAF6
SATB1
TCEA2
PRMT1
TBX20
ZNF34
HNRNPAB
SMAP2
BARX1
RRN3
IKZF1
DVL2
HEY1
HOXC9
NR1I2
ZNF462
WWOX
ZNF702P
WDR33
TBX1
PATZ1
FOXD4L6
ESX1
GSX1
DBX2
RAX2
ORC6
FOXN4
UBE2N
ZNF112
ZNF865
TAF1C
ZNF396
MDFIC
HRAS
ZNF575
HDAC5
MAD2L2
IL11
ZNF224
TCEAL6
TOP2B
ZNF469
ATF4
KLHL40
EPHA10
PWP1
DDRGK1
CMIP
RBL1
L3MBTL1
CNOT9
SARM1
AKT1
SOHLH1
GRHL3
TAF11L4
ZNF208
SPI1
LDB1
TFDP2
BMP10
ZNF32
ZNF519
ZNF283
TRAV30
SAMD9
ZNF254
MLLT10
RILP
ZBTB25
BRF2
LUM
NUPR1
FOXR1
SKIDA1
FASLG
BAIAP2
MAFF
ARID3B
ZNF561
SAMD12
HOXB7
LINC-PINT
RELT
CXCL12
GREM1
GTF2I
KAZN
SMC5
TCF19
TRAV36DV7
ZNF768
AGRN
VGLL2
BLZF1
GATA3
AKAP8
UHRF1
PROX1
TCEA1
STIM1
MYO6
EFNA1
ERG
TAF1A
TRBJ1-6
DDX58
MYC
ZNF143
MAP3K5
BCL11B
KCTD21
TAF2
SCYL1
ASCL2
ELOC
NFIB
KDM1A
NUFIP1
KHSRP
GLIS2
TKT
NFIX
ARID5A
CCR4
CBX7
LIF
ZNF28
MXD3
EEF1A1
RIPK1
ANKRD1
PPIA
TFAP2B
SEBOX
POLR3C
CREBRF
PRAME
RHOA
OPRD1
CSNK2A2
SPHK1
SCML2
KDM4B
SOX2
BACH1
PA2G4
TMEM119
WDFY2
SIX4
TGFBR1
REST
PIDD1
MAGEA2B
ZNF264
SYK
HOXA6
LRRC14
TIMELESS
DRGX
PLAG1
TAF7
PRDM5
LRP6
TRIP13
FAM170A
HDX
TRAJ31
RARA
PBX2
POLR3F
WDR74
OPTN
TRBV28
FBP1
FOXL1
STAT5B
ADORA3
CDC34
BIRC2
CRH
TRAV38-2DV8
ZFP36L2
ZNF547
FOXB2
FAM89B
ANKRD6
MED21
ASZ1
HSP90AB1
UTF1
SOX7
PRKAR1A
PSMB9
USP22
ZNF823
PSME3
H3C8
TNFSF13B
TCERG1
CHD1
NKX2-4
HTT
TTF2
QRICH1
ZNF592
ZBED1
IL17A
KAT5
SETD4
KLF16
ZNF861P
CDH13
CTSO
ZNF331
SAMD15
EBF4
ZDHHC16
ZNF781
ACO1
NOTCH1
SMARCA1
TLR6
SETD6
MYNN
CASP1
ZNF226
PMEPA1
PKD1
CREBL2
ZNF880
ZGLP1
PPARGC1A
HCFC1
TRAV8-2
SAMD5
CC2D1B
HMGA2
HNRNPUL1
ZNF350
ZNF429
NCOA4
ZKSCAN3
EYA3
PRKN
HBP1
DDAH2
EPHA8
SPIB
ZNF821
IGSF1
SSU72
MLLT1
CHEK1
ZNF652
PPM1K
TFCP2
DNTTIP1
MAP2K7
TARBP1
BEX1
PPP2R5B
ZNF516
IFNAR2
DHRS7B
TESC
PIAS1
PHF5A
BNC2
NLRC3
NFKB2
NDUFA13
ELAVL2
SAMD9L
WDR60
FBXO5
NKX3-2
IRF4
TRBV24-1
AJUBA
MUC6
ETV3L
ASH2L
CNOT7
TRAF3
KHDRBS1
ZNF850
EIF4A3
PASD1
NOC2L
FEZF1
KPNA2
HLTF
ZBTB20
CSRP3
ZNF284
FADD
ZNF217
CCNT1
GTF2H2
WT1
ANKZF1
SASH3
EID2
TSFM
DDX54
PSMD9
GMNN
BHLHA15
DMRT1
ZNF454
IL17F
ZNF488
CSTF1
IFFO1
PHF1
MYRF
ZNF66
PTMA
GLI1
EPHA3
GLYR1
ZBTB33
TRIM14
HOXB9
ASCC2
TFDP3
ZNF646
POU2F3
FOXF1
YAP1
H3C3
IL6
PRKCA
TAF9
NCOA3
ZNF703
ETV4
PSMD14
BHLHE22
CARM1
GLIS3
ZBTB22
DIS3
MED7
TSC22D3
MUC1
NPAS1
FOXM1
MED30
ZNF16
SKI
ZFP3
AHR
ZNF10
ZNF263
ZNF268
ZNF783
PPM1B
NFE4
ZNF653
SAFB2
ALX4
FOXP1
PHC3
MTURN
BMPR1A
ZFY
NPAS2
TRAV14DV4
ERCC8
BTAF1
TAF15
PSMC4
DDX11
ZFP57
ZNF583
PBX4
KLF14
TAF4B
SVEP1
TMF1
ZBED3
ZSCAN16
TFAP2C
LTF
ACVR1
H2BC1
ZNF367
RUNX1
ZFAT
IL15
RAB11A
MORF4L2
GATAD2B
CCNA1
GDNF
GBX2
ATXN7
FOXS1
CRADD
DLX6
ZNF563
UBE2D1
WBP11
DAZAP2
PDLIM4
GCLC
SSBP2
MECOM
KCTD1
ADRM1
CSTF2T
SEC23IP
FIZ1
H2BC11
BMPR2
MEOX1
KAT2B
CREBZF
ZNF501
SCAND1
ZNF223
FOXJ3
ZNF311
SMN1
ASCL5
RANBP10
PITX1
RUVBL1
ZNF638
ERN1
MSX2
TYRO3
DEAF1
CDK4
ZFP82
MTA3
OSR2
CSTF2
TCEAL4
TRAV1-1
CCNB1
ZNF623
MAML1
SET
SF3B1
FOXO3B
TNIP1
SRSF11
E4F1
SKP1
TRBJ1-3
ZNF793
PARN
ZBED4
ZNF816
MZF1
CCNK
CREB5
MDC1
SF3B5
RAB17
TBK1
BARHL2
POP4
FLI1
THRSP
PSMB10
DOT1L
CIC
ZNF354B
TGFB3
CEBPZ
HOXA10
GC
WNT10B
LHX5
EMX2
TRAV25
PURA
IFNGR2
MIF
ANXA2
TCF24
EIF5A
HELLS
BCL9L
SERTAD3
ZNF696
NCOA5
PBX3
ADD1
ABTB1
SNAI3
SOS1
NPAS4
ARID2
ZBTB1
NAP1L4
ZNF440
TLX1
TFAM
ZBTB49
CRK
PPP1R12A
ZBTB46
RIT1
STK3
OTULIN
DCN
FHL2
MYOCD
NLRP1
HOXB8
RING1
SIK1
AIMP2
ZNF763
ZSCAN21
FOXD3
FOXD4L1
TGFB1
YWHAB
SIX1
NAMPT
CREB3L1
NLRP2B
EIF3A
HDAC2
ZNF133
MTF2
TRBV25-1
CSRNP1
NCK2
CDC73
KLF11
HOXD4
GABARAPL2
SFSWAP
PHF19
ZNF746
TNKS2
TMEM219
ZNF496
LAMP3
ZFHX2
TPR
KLF9
WDSUB1
ZBTB5
PPFIA2
TAF11
CCNC
POLR2F
ZNF287
BACE1
OLIG1
ZNF580
ZNF280C
TRBV12-3
NTN1
AIM2
CRX
PIM1
PSMB3
ADCY8
PLCB1
H2AB1
CNOT8
HES4
ASPSCR1
DROSHA
PABPN1
TRBV13
IFI27
CUL3
CTDP1
ITCH
ZNF233
CAT
E2F1
MYCLP1
MCM5
EPC1
NANOG
ZBTB16
POLR3D
TNFSF8
TJP1
TRMT112
CD80
MED1
MNDA
ZNF791
DCP1A
SOX13
CETN2
ANKS1B
EPS8L2
ZNF85
TNFSF18
TP73
ST18
PAWR
CPSF1
ZNF577
ZBTB12
COL1A1
ZNF805
BTG1
NR6A1
ZNF691
BMP5
ELOA2
RAD51
MYT1L
SAP30
TRAV20
OLIG3
TRBV5-7
KIF24
HCK
LIFR
ZNF532
RSF1
PTTG1IP
PSMD6
TAF10
ZNF510
SFRP4
ERCC3
HDAC1
ACVRL1
TICAM1
EXOSC9
PSMB2
TRAV34
RUNX3
ZNF518A
ZNF195
SLBP
ATXN1
ZHX3
TFRC
ZNF649
DLX3
RNF19A
RCBTB1
PRNP
MAVS
MGA
MESP2
ZNF354C
OVOL3
PDLIM1
TRAV8-1
ZNF722P
DMRTA1
ZMYND11
HEATR1
RELB
SUMO1
MYCN
KMT2A
TGIF1
BARD1
COL1A2
LOXL2
SOX30
PRKCQ
EGLN3
PAX6
ETV5
RFX5
LYL1
ASCL4
CEBPE
FGFR1
SHPRH
ZNF215
ZNF605
TBX6
MFHAS1
YAF2
TRBV7-3
EIF4G1
FOXI2
HOXD12
PTX3
IGF1
SNAPC2
SIGIRR
TCF23
ZNF335
HABP4
RFX8
THG1L
TCEAL2
MED31
NOTCH2
CHMP1A
NKX6-3
TRAV13-1
SOCS3
PDGFC
DNMT3L
GLI2
ACVR2B
CDT1
POLR1E
ZNF181
BRIP1
STOX2
NXNL1
ZFP64
DGKQ
CDK5RAP3
ROR1
ZBTB17
HOXB4
RBM7
ZNF232
ISG15
FOXI1
SLC39A8
BBS7
ARNT2
GMEB1
ZNF549
DHX38
ATOH8
ISL2
TSSK4
LRPPRC
POU3F1
USH1G
GZF1
PADI2
NCOA1
ZBTB6
ID2
PITX3
TNXB
IFI16
KIAA0319
ZNHIT6
TGFBRAP1
OGT
NF2
ASH1L
TRAF5
PTPRN
ASB6
RBM14
PTGIS
COL4A2
BCLAF1
SETBP1
PSMA3
RPL10
MSX1
STAT3
TRAIP
MMS19
RORB
SEM1
ANKS4B
TRIM71
NEUROD1
TRIAP1
TRBV11-1
TRBV7-7
HTATIP2
PRKD1
SOX18
AGO3
N6AMT1
ZNF542P
SOX21
SERTAD2
GTF2F2
EPS8
ZNF470
PAX9
CHP1
KCNIP3
SOX1
RBPJL
RPS3A
MAP3K7
ZNF132
TRAJ3
ZNF852
EYA4
ERBIN
STRAP
BAZ2B
TSHZ3
DLL1
MDFI
SRSF1
OTX1
FOXO6
RBBP4
ZNF35
PRKDC
H3C11
SIRT6
YBX3
TRAV7
ZSCAN5C
JMY
TRBV17
TBX3
ZNF655
TRIB2
TRAV8-3
MXD4
ZBTB14
CDK9
ZIM2
RNF4
CUL4B
PKN2
POLR2G
DLX5
SOX5
KIDINS220
PQBP1
ZBTB7A
CYP3A4
TMEM251
APOBEC3D
ZMIZ1
HDAC10
PURB
HOXA1
ZNF256
ESRRB
MORC3
KLF18
KCTD15
TNFSF4
DDX1
NBN
NTHL1
TEFM
CREB3L4
ZNF341
ZNF528
RXRA
TFEC
NFE2L3
ZNF273
PSMD13
MTA2
ZNF799
NR4A2
JDP2
RUVBL2
SCML1
IGFBP1
ATG7
FOXC1
SYVN1
OSTN
LBX2
CDC40
NIBAN2
FOXJ2
LIMS1
CAMK2D
ZNF433
ZSCAN23
ZNF728
ZNF621
CRTC2
SUZ12
CUL4A
HDGFL2
EDA2R
MYCBP
IL5
FOXD1
NKD2
RAI14
RREB1
LRP4
FOXD4L4
ZSCAN1
PLAGL2
IL3
ZNF565
ZNF366
PITX2
ZFP37
PRKCH
TCEANC2
BRWD1
TRBV29-1
TRBV3-1
HIC2
ZNF717
NAIP
MAP3K20
HNRNPR
NRG1
APOE
ATF5
KRAS
HDAC4
PRDM4
ZNF420
PER3
USP11
KLF3
WWTR1
KCTD6
APAF1
BMP8A
FYTTD1
IRX4
NR1D2
PHTF1
SNRPD1
MDM4
TRBV11-3
ZBTB2
DMRTA2
P4HTM
ZNF500
CUX1
BBS10
EIF4G3
NCAPG2
ZNF624
CEP162
ZFP69
GTF2F1
CTCF
DDR2
NUP98
MCM3
GSK3A
LILRB1
DMAP1
TAF13
EIF5B
FMR1
PBRM1
NOTO
DACT2
TCEAL5
ZNF556
SLTM
NKX2-5
HESX1
ZNF394
UBE2H
KANK2
ABCA4
TRIM25
MACC1
SIRT1
SSBP3
MBD1
ZNF777
FZD3
SOX12
TRAC
ZEB2
IGF2
NR1H4
IGF2BP1
TAF11L11
GID8
GTF2IRD2B
ASB4
SMAD3
PFKFB4
PHC2
GSC2
CIDEA
FBXW7
RNF2
