Taf15
Prr14
Chd4
Mapk1
Zfp74
Orc2
Irf3
Xrcc5
Tle2
Arid1a
Ube2n
Nr1h3
Cenpk
Rpf2
Eed
Aebp2
Atoh8
Nr1i3
Foxq1
Etv3
Ddb2
Chaf1a
Samd4b
Med15
Junb
Sqstm1
Kat6a
Crtc1
Abcb10
Csrnp2
Mafg
Mta2
Tead3
Rxra
Scap
Lcorl
Baz1b
Ercc1
Gtf3c5
Rps6ka1
Tbl1x
Grhl1
Yeats2
Irf2bpl
Klf16
Ssbp3
Hopx
Cxxc5
Sirt1
Smad2
Zfp148
Rogdi
Sfmbt1
Zfpm1
Zbtb9
Nfe2
Smarcb1
Smarcd2
Gata2
Igf2bp2
Kdm4a
Ubp1
Edf1
Eps8l2
Phf10
Sox9
Tnrc18
Med1
Sin3a
Foxs1
Phf8
Irf5
Snip1
Chrac1
Hipk2
Med20
Nono
Zfp664
Gmcl1
Dpf2
Bfar
Uhrf2
Atf5
Il33
Prdm4
Gtf2f2
Nr5a2
Snapc4
Mtor
Etv5
Ilf3
Purg
Zfp1
Kank2
Ranbp9
Zfp39
Tgif1
Myef2
Lrp6
Atm
Tshz2
Mad2l2
Brca2
Flna
Ets2
Zkscan17
Batf
Phf1
Gid4
Bcl6b
Klf4
Ikzf5
Kcnip3
Pura
Nop58
Ppfibp1
Rbbp7
Zfp639
Irf2
Tead2
Nfix
Gabpb2
Zkscan4
Hexim1
Srebf1
Nr6a1
Cux1
Ticam1
Dnaja3
Tcf21
Thoc5
Patz1
Olig1
Ssb
Tceanc2
Fmr1
Add1
Cc2d1b
Ecd
Nacc2
Cbx4
Stat5b
Aebp1
Irf2bp2
Hcfc1
Prkaca
Traf5
Cdkn1a
Tshz1
Rbl2
Sall1
Tial1
Zswim4
Eps8
Pknox1
Tcof1
Zfp507
Map3k2
Usf2
Epha1
Creb3l3
Gtf2h2
Pdlim4
Arnt
Rad23b
Map3k1
Rbm15
Gtf2h5
Mdm2
Jdp2
Rmnd5a
Abl1
Rit1
Ogt
Fos
Snd1
Hr
Mllt10
Epas1
Crebzf
Sin3b
Onecut1
Pkd1
Glis2
