gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h
yckC,113.6342,119.4699,53.0723,67.5183,77.8216,97.0274,72.4855,60.2961,66.5276,56.2428,92.7988,80.8881,41.6588,88.464,81.0932,98.0457,87.891,55.9948,61.5073,60.481
yckD,5.9563,13.3162,16.1501,39.2244,23.6815,10.2205,11.5803,5.2703,16.5638,17.1913,5.3506,9.3504,23.1074,57.4419,17.9383,7.0975,9.0966,18.9998,14.5654,19.877
yclA,26.9797,34.8299,24.0254,33.9314,18.9696,19.4927,29.6584,24.1237,12.0619,8.1313,18.3684,35.1176,34.4303,37.0966,8.1458,24.8168,29.0933,32.0953,10.6287,6.0656
yclB,3.2251,2.5751,18.8011,55.372,43.2764,1.8447,1.7915,8.0854,43.6205,34.2552,1.8107,2.7262,26.5876,65.2849,23.126,2.562,1.1367,30.4956,36.0043,36.2343
yclD,9.9837,4.2515,21.6563,40.1787,41.4584,9.1367,10.4755,17.6678,52.1623,43.5437,7.4737,6.4299,30.1249,52.1134,34.9995,8.3717,5.7341,22.7478,39.1571,50.3462
yclE,28.1338,29.9512,33.0562,61.2061,51.9669,31.1109,28.9771,24.2021,40.3042,45.4729,25.5361,35.389,37.803,66.9349,43.7098,22.8151,24.7886,40.0641,39.1353,41.9884
yclG,5.7921,3.429,12.4107,41.8645,27.4098,4.2664,3.9237,6.8333,13.4286,5.6105,4.4416,5.8684,22.8815,61.6184,9.5627,5.1624,5.0453,27.6819,16.2217,8.5488
yclH,5.461,2.3255,7.5023,31.1678,22.8703,3.665,4.4492,4.7247,5.5224,4.3713,3.2704,3.8688,19.4205,37.5438,3.7593,4.6274,3.4216,24.8856,9.29,5.8318
yclI,3.0546,3.4687,8.0983,30.4927,19.5664,3.106,2.0738,2.4025,4.6334,4.8588,4.1159,2.1312,14.319,34.8701,7.009,3.2354,1.2759,16.5488,8.3718,4.5305
yclJ,44.9462,56.4935,51.4998,65.4723,74.6511,60.0409,62.0154,53.8816,71.476,86.7076,60.2378,77.0363,46.7563,85.2798,86.0836,52.1183,83.1217,47.5708,77.3851,90.6409
yclK,62.2007,61.829,61.0188,75.9402,77.2476,63.9591,63.4746,63.2822,66.4335,93.1123,67.0191,64.8153,57.1074,80.3463,89.2039,61.6266,70.2817,56.5301,84.5609,104.1756
yclM,204.3372,308.3808,249.3969,210.3476,228.0563,212.101,381.7888,314.5714,358.7164,273.4442,227.9382,370.7624,196.4207,193.4113,235.2704,212.3941,406.9624,198.6473,241.0081,204.9559
yclN,140.5192,256.4515,550.523,479.734,548.532,141.4813,368.1288,640.9779,786.156,763.2951,146.6045,339.4988,431.6165,459.6286,641.8821,149.1143,348.6623,395.8482,728.8848,729.1849
yclO,118.9955,167.388,434.8344,299.6754,333.1554,100.2837,240.5784,475.7753,477.3649,457.0109,111.5934,245.8291,320.1076,285.2802,374.766,111.5664,263.7376,297.7065,418.4275,432.6581
yclP,154.8332,221.5888,587.3985,383.8246,381.0491,167.406,332.421,608.1225,597.2254,549.3914,149.6518,336.3909,413.758,355.3203,444.8515,141.4237,368.4004,439.7166,482.8894,511.6167
yclQ,225.839,428.2884,943.4033,478.4699,664.1866,217.3815,572.2555,1189.316,892.2222,707.8482,202.1729,633.9308,756.6714,414.3104,726.3317,214.0907,671.9282,698.9643,725.2664,701.4518
ycnB,92.9516,79.0161,115.4051,47.5037,42.6529,68.5961,84.2446,126.3583,43.8178,41.957,69.2165,87.9395,93.0326,56.3225,47.709,76.478,87.1952,84.0786,43.8409,47.1123
ycnC,128.0544,108.1004,121.4484,63.95,56.9689,105.0583,115.3171,110.4778,55.6195,47.9339,102.1103,125.6148,79.8802,67.6539,62.1324,115.8428,112.1327,88.1738,48.4621,59.9905
ycnD,157.6829,293.507,222.6488,63.7536,56.5158,139.4647,294.9097,220.35,90.2577,59.8423,136.0059,322.544,197.4988,59.3415,56.5108,141.2825,318.1408,184.6857,71.9811,53.8349
ycnE,198.8598,403.6162,267.9659,80.9878,65.716,200.1087,382.5623,308.75,111.4292,62.0177,211.1172,459.898,247.1407,70.3628,80.9893,185.3293,434.4726,231.4535,87.8675,72.0127
