gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
aadK,141.2181,139.289,135.5505,116.7589,119.9029,112.6481,165.6445,146.4865,158.5016,137.5263,152.4821,131.501,127.5371,110.105,137.0166,148.7501,111.6527,116.0692,167.3432,155.4912,108.7935,137.9838,160.5202,110.2057,153.9069,165.1534,116.2597,119.0786
aapA,81.9586,52.2426,44.9094,41.0472,38.7765,76.6742,22.7212,70.934,34.787,33.913,35.4705,36.9795,26.8075,44.7855,65.3242,48.9274,36.5089,54.1108,31.0166,27.2769,65.1062,70.9528,38.9159,34.9312,33.3278,29.2352,50.7149,40.3951
abfA,2.3094,4.2147,8.5876,27.0024,13.117,61.5995,21.1496,5.1327,4.3983,7.7844,4.8375,4.5706,8.5629,34.426,3.8527,5.8962,17.5986,31.3756,6.8132,10.8498,57.1054,4.3244,4.3409,15.9361,8.6991,4.9911,32.4439,36.5336
abh,358.1198,489.2919,372.0259,248.293,307.3815,234.4385,265.5088,334.243,530.1574,526.2903,502.3301,412.0152,462.9686,231.3549,356.8262,542.5524,393.8737,209.0732,403.7356,353.664,176.6913,328.9645,444.312,312.6204,365.8313,395.4027,366.6685,226.8781
abnA,1.316,2.3537,6.8509,31.9412,20.7194,88.244,46.3994,0.7226,1.7544,2.4841,6.6538,7.5357,10.6815,53.6421,1.655,3.0511,15.5713,42.8233,8.153,12.0298,85.6627,0.8363,2.2262,20.1494,7.3876,8.1977,49.0507,61.934
abnB,17.5836,20.891,52.4449,78.2446,58.5851,128.963,156.4028,22.6895,32.4283,39.8298,42.4972,55.3795,53.6044,108.8626,19.7444,27.8582,60.3711,99.1263,56.0831,63.7076,137.0398,18.4384,35.0346,64.423,56.3848,71.0412,84.6458,126.836
abrB,4328.7554,4163.1102,1200.1411,450.9402,708.3497,215.013,401.3311,3897.8156,3414.5502,1782.7105,798.7716,473.243,343.2006,303.5983,4025.317,2896.0046,1053.8107,394.7238,810.4333,331.6715,190.4745,4156.7904,2778.9897,938.7306,708.8598,613.9063,333.8228,236.8193
accA,670.017,477.6922,693.4199,396.6117,486.4196,230.1969,398.7406,564.2213,537.0894,815.2914,677.8041,640.8401,462.0192,265.7695,566.3571,572.3329,538.7019,388.0705,533.1258,440.3069,220.6753,596.907,589.9191,512.9184,570.5461,540.9836,316.0716,276.047
accB,763.4151,526.5706,547.3226,310.9932,350.7594,174.8441,399.7128,742.1354,745.4227,570.375,506.1324,384.0328,279.338,241.5504,763.2698,676.6238,377.2235,302.2312,396.4523,294.8191,194.3998,751.7122,716.5158,356.3599,454.7145,387.4897,203.5354,238.7217
accC,845.671,883.4848,835.5164,368.3994,399.8333,230.3932,668.1196,903.7226,1015.4613,908.1984,567.3996,568.1556,541.6772,367.4616,915.8888,969.558,721.5613,375.276,527.6938,463.3105,323.1457,882.8773,1000.7687,674.3769,550.195,546.1238,342.0099,419.3665
accD,928.9532,677.3686,829.4919,530.0778,599.5742,290.2338,603.7265,798.6805,743.0386,946.8557,873.9153,862.7071,653.4857,373.4571,803.363,739.9384,633.242,508.071,694.6708,637.3183,306.5424,843.32,694.7692,601.0106,763.3304,722.8124,412.6785,382.6295
acdA,13.4839,7.7794,15.0961,30.8947,22.6547,74.2028,151.3705,9.9515,14.9803,14.8816,10.5565,20.0867,33.458,103.9824,8.5961,11.9756,23.8352,38.0437,11.7273,82.433,112.7403,12.0937,17.987,29.1371,16.4636,17.4185,48.7573,112.5561
ackA,1430.6011,580.1462,607.9665,255.627,284.6035,110.9,91.9786,1087.3002,522.8352,816.9318,408.9959,295.1022,124.4851,95.5568,1128.2079,602.2095,467.1586,230.6768,277.7459,118.1882,75.8284,1267.6087,562.7231,419.2077,321.2934,215.4345,140.7924,83.9352
acoA,0.9897,0.0,8.856,51.677,34.6288,111.8098,1337.805,1.1322,1.9243,4.3787,23.0198,71.7589,74.7307,247.4871,0.2223,0.4781,14.3989,50.0876,52.5182,219.0179,513.5089,0.7862,0.9302,20.9725,26.0972,72.0035,86.1012,660.4585
acoB,1.4457,1.8468,7.317,35.3607,23.5658,92.823,1334.4216,1.9845,3.7475,5.1166,16.3245,55.1887,51.8485,218.458,2.5973,1.6293,13.32,40.307,38.7007,199.8409,508.4473,2.1054,2.038,19.7634,18.6494,48.887,68.9294,632.3821
acoC,3.9354,3.1753,11.4569,53.5859,35.7403,117.1887,2096.7568,5.3075,5.2926,6.8421,27.6479,81.1121,82.1054,362.8722,5.2098,5.0024,21.8966,59.8066,61.31,300.8688,821.0995,2.6327,4.6719,23.2191,32.0639,73.9135,104.1238,980.2164
acoL,5.9417,4.6004,10.3498,41.8384,32.6433,102.9341,2143.5912,4.6137,5.0008,11.4706,32.9554,84.3117,87.8564,344.0912,4.6905,6.4357,22.1776,50.0633,56.8074,301.8845,754.0415,4.8631,5.9226,21.6608,27.7194,77.2302,101.1614,972.6823
acoR,16.365,28.5723,36.6816,40.4137,30.6892,85.8787,150.8085,16.9734,29.2414,34.9134,22.0652,26.8287,23.5545,70.8196,14.8233,23.4507,47.7483,47.2948,19.0885,47.5858,114.678,17.2255,24.9932,44.4962,20.9954,21.9664,52.3319,109.0682
acpK,100.5656,120.8424,195.4651,129.2683,129.8486,132.6796,88.9074,82.9214,219.0285,177.3795,161.1025,167.3731,161.6388,83.3981,93.9168,256.827,158.3761,115.6102,171.3555,156.5116,88.3836,94.9181,288.2252,204.1819,122.8028,156.8367,120.5147,74.273
acpP,2526.9699,2980.5502,1771.979,606.0381,840.8283,306.8489,781.1107,2207.8619,3113.469,2488.75,1087.5063,762.3165,535.0009,542.8181,2074.885,2829.1177,1306.0948,457.2822,955.4606,532.7059,383.721,2048.6703,3291.0633,1126.9098,903.008,857.0809,472.8849,451.3906
acpS,54.1922,36.3466,58.0412,74.5619,51.1723,130.3028,51.1806,43.3952,52.6807,49.5492,58.9114,56.9343,54.9837,79.4332,48.6813,49.0805,49.9318,92.1066,54.403,52.1069,116.6519,53.2748,51.5685,60.5033,60.499,59.6799,81.0578,90.6414
acsA,94.9025,118.1074,137.1873,87.382,78.7904,140.8091,374.4637,102.0301,140.5266,123.534,83.2802,118.2908,177.2359,181.2052,101.447,156.1919,121.9792,88.1385,90.0179,228.4784,240.9434,112.3985,166.4574,116.5955,79.1268,127.7088,105.2364,308.0056
acuA,96.3516,108.5803,146.5566,134.4935,120.2199,164.3611,545.6692,107.1747,124.4506,136.3152,115.654,158.0853,159.697,222.8066,111.1826,137.7294,137.8948,153.1856,130.7662,179.4589,333.0681,103.6115,147.6119,128.8658,151.5819,182.2937,132.2526,351.8016
acuB,74.5709,104.1049,101.7232,109.2092,88.3346,117.3114,495.4744,85.4813,117.0107,105.6628,104.1734,138.1032,118.27,209.0027,93.2304,109.916,113.7065,131.2501,110.693,159.8365,279.3307,79.6981,126.8026,111.0539,123.5867,138.196,97.8067,333.4326
acuC,84.347,79.1836,94.7155,99.7903,77.4027,141.3402,424.5104,74.8519,81.403,90.2126,87.2336,111.5434,117.2012,192.824,75.0044,91.5663,95.6474,117.6351,99.4598,139.3837,256.7545,82.0646,103.0944,86.1914,109.608,126.8081,117.0362,286.1532
adaA,8.1863,12.9483,12.6839,40.7078,22.9386,70.7964,10.2639,8.9188,16.8905,6.4387,9.461,14.4018,15.8208,37.0046,9.1048,10.5446,24.1974,48.538,12.523,17.3832,55.3648,11.1484,9.5257,28.0675,15.9156,16.9986,44.2337,41.3695
adaB,15.1512,24.0483,12.4491,38.0103,28.842,75.9816,13.6654,16.807,12.242,10.8333,25.0716,14.4178,15.6,37.8148,16.91,17.2982,26.2726,54.0106,19.4901,15.3552,61.9471,18.9661,12.9452,26.7806,25.384,17.9776,44.5197,37.0727
adcA,303.9714,328.2818,2071.6469,2000.0751,3165.6648,872.8328,2475.1445,263.529,250.4827,2676.0703,3766.2206,2911.0166,2038.4849,1468.4099,265.6364,269.7015,1343.8274,1710.8022,3602.7383,2159.8952,900.7803,264.8637,292.7229,1243.9643,3385.7561,3139.4477,1664.8699,1302.8405
adcB,84.4077,42.4567,180.8613,155.4966,187.7935,123.417,148.8118,68.6337,34.3081,214.4306,219.1904,223.8275,141.2885,127.8894,63.1428,43.1862,128.6453,150.297,216.9649,146.8849,112.7788,73.3617,42.0143,142.0635,221.3887,186.0869,139.7581,118.0597
adcC,115.7715,71.4472,219.8331,208.781,233.122,140.105,216.5349,80.5216,55.0098,238.7069,296.4642,308.6081,193.3193,175.5374,92.1588,64.696,145.7969,202.1768,274.2328,190.6158,149.2464,92.535,59.5925,137.6546,309.6573,258.6751,187.159,166.5532
addA,108.448,86.9114,84.2537,72.3885,62.5182,106.7445,113.7888,110.4111,81.9856,82.0012,75.6417,82.2105,87.3627,107.4142,106.0299,79.7729,78.6586,83.4043,68.5941,88.6938,111.3763,115.4363,79.8129,76.3589,76.0521,77.8395,77.5297,114.9937
addB,123.3626,110.373,78.2658,67.7549,69.7142,97.7135,109.2799,112.1189,88.6679,80.3727,67.1726,79.9923,95.0439,101.2306,112.6626,92.4256,70.7441,67.1323,69.6297,100.4993,100.7866,117.183,85.2585,65.0583,74.1491,75.4355,74.3171,107.6647
adeC,339.008,185.2183,175.0793,121.0614,126.0884,92.19,49.2674,310.901,161.7087,191.9637,174.2286,134.6991,71.2527,61.7754,309.8001,194.6215,129.1058,106.8173,124.1803,63.5991,72.5969,316.4458,191.7589,139.5644,130.7372,104.0826,95.5749,56.2963
adhA,163.6332,147.5077,62.4871,49.9811,47.3155,86.7798,33.2475,138.73,114.3752,66.8571,54.9187,50.3775,32.0915,51.4209,152.5081,96.4895,63.894,56.8163,47.6793,29.7451,66.7911,160.0026,96.5341,67.1428,51.2142,46.2282,59.7565,48.8452
adhB,4.7972,11.1428,10.879,27.0786,15.6054,69.1263,11.233,8.5809,8.7212,6.4314,7.4972,9.0629,15.4354,52.2045,9.4023,7.1622,17.7649,32.9804,8.0056,19.4472,53.1639,9.8737,7.9925,18.4823,10.7574,8.1501,40.3384,37.5618
adk,1636.9387,2339.1839,2837.0135,788.8956,738.5518,391.9034,1278.9247,1837.0161,2666.0033,2802.4541,1215.6263,1225.4738,1056.2221,857.0523,1733.0381,2366.5628,2289.1612,744.8091,899.8888,1279.268,663.8152,1827.4066,2717.7755,2236.81,941.8756,999.9407,562.34,954.7556
ahpC,2258.6167,2619.2348,3880.926,7697.4955,9900.7504,3553.569,9714.7869,2029.9852,2546.4001,3820.1329,9092.002,10129.4942,6274.4473,4427.5283,2053.4193,2701.739,3115.7632,8017.4123,13947.1331,4675.1562,4165.3016,2160.2209,2804.0089,2945.5103,11580.5681,12130.2132,6290.0914,5502.4221
ahpF,1863.5195,2076.3688,3147.0034,5637.6666,8115.1576,2701.7304,7855.3138,1532.5045,1756.5463,3400.0735,7059.8605,8409.2669,5623.81,3657.9363,1522.1908,2010.9688,2609.0826,5809.4984,11490.1108,4357.7945,3219.5237,1691.8834,2123.3143,2373.6279,9488.0406,10415.3991,4943.4108,4604.4913
ahrC,139.3913,74.6085,96.2063,102.1094,92.0025,123.7415,119.2043,148.7422,92.4271,113.1,121.4579,130.269,124.8002,103.0615,146.0034,107.5147,84.963,103.5319,112.5158,122.2271,109.8746,161.9409,100.4546,85.3632,110.5959,121.1039,121.2451,112.2773
alaS,147.1403,103.6563,189.9734,81.021,75.9585,87.7994,58.2277,138.7871,160.2323,204.872,103.7281,87.2709,60.0752,65.0336,134.7113,155.8605,156.3864,83.0232,62.8875,55.1318,74.4434,151.7683,174.6937,143.443,81.4899,69.9471,65.1744,65.5776
alaT,607.7573,513.977,482.4442,251.9286,295.1278,189.6672,322.6891,566.7487,494.662,500.3488,373.1583,326.2248,293.4579,234.9082,585.0878,564.2271,365.1448,231.8001,358.1964,268.5368,209.5233,607.1512,559.7536,334.7575,348.3823,334.2777,223.2225,239.5972
albA,429.0444,289.2228,993.7505,1409.6858,1984.6536,2079.314,8821.3783,628.13,314.0931,383.4855,1742.3535,3610.4368,3632.3049,3707.2998,616.3987,291.6118,449.6821,1651.0614,3380.247,3984.2024,3999.9128,561.9144,294.0776,462.3233,2901.4684,4388.9431,2899.7805,5367.9095
albB,232.6249,193.5598,439.8665,591.751,724.0934,783.6634,3645.8571,358.55,163.2266,176.9444,727.3852,1482.7714,1412.6692,1504.0482,357.4471,116.7995,192.9627,740.0149,1415.227,1631.0592,1457.2062,311.2378,142.397,206.4338,1132.515,1733.7528,1059.8418,1972.5029
albC,169.0739,84.0226,362.6409,506.6598,700.1496,847.5776,3751.1507,253.0508,109.4128,110.5,556.1015,1350.3962,1503.7777,1628.8426,257.9805,91.4806,141.6049,638.3943,1238.9382,1716.7069,1764.4738,247.0146,104.5323,160.056,1029.8076,1654.7601,1148.5128,2342.7296
albD,156.0195,73.4456,298.0252,373.263,465.2756,597.2808,2467.3481,214.4339,81.9401,94.3764,371.197,905.9981,1093.6083,1083.5818,218.6398,72.1644,124.1741,489.1432,827.3137,1260.5287,1152.4714,200.8612,71.9835,128.7514,673.182,1038.2116,805.5548,1539.0926
albE,108.7959,48.9134,240.5346,281.2717,308.1167,452.1425,1788.9026,170.0276,56.4836,58.5,246.0611,592.4716,726.2899,784.936,178.1736,45.8814,90.5027,338.6604,564.8195,861.3662,888.8441,158.0627,43.2598,92.1007,430.8401,711.4305,613.3715,1105.182
albF,97.7394,35.3575,176.9573,208.8461,213.3078,351.911,1280.8445,130.0085,41.4995,34.2506,170.6668,433.1297,500.3334,529.6901,127.9623,26.3632,77.5257,258.7264,391.9238,596.8015,654.6709,124.9996,28.0125,69.323,310.6437,531.6934,464.2522,821.5776
albG,85.4684,30.2296,115.6804,136.5579,146.0356,223.1628,670.3321,105.3671,26.2889,35.0,133.5722,252.1483,274.0005,304.1951,95.1782,17.4005,58.2313,148.6505,275.9409,324.8207,359.2682,103.5277,22.903,50.2136,197.9648,313.6658,281.0107,431.021
ald,532.2735,430.948,287.11,302.9927,603.0617,329.3457,254.8636,511.661,297.7324,320.5409,509.1492,908.9052,752.2177,156.6134,496.559,337.888,251.8815,284.6645,672.9734,580.7411,154.8463,549.465,316.4226,219.8006,398.7656,671.2184,582.5821,188.1443
aldX,17.418,24.1457,63.7079,75.3078,76.4723,104.5406,108.3945,17.4665,22.8508,63.6155,62.96,77.0141,100.5607,83.4214,17.6442,23.2711,58.5877,76.4345,72.707,120.4313,101.8684,17.2225,23.6845,59.6146,62.8864,79.6462,89.2008,97.6097
aldY,54.5852,82.9852,20.1029,28.7957,17.4431,57.2877,9.1492,56.3347,42.1291,25.0772,7.2223,5.1829,14.1235,32.996,59.5745,45.5042,34.4694,28.8368,4.6823,9.4785,42.9685,58.0869,43.6301,31.461,9.2568,5.5991,29.5862,32.1689
alkA,35.3408,43.412,28.8949,66.4953,46.2606,88.3715,44.5024,38.3134,43.4913,30.4687,45.0848,43.1864,45.4146,70.3968,40.5384,40.1814,37.1766,77.0426,48.344,53.339,82.2065,37.1451,44.4565,40.8812,46.7085,49.1106,66.1813,71.0792
alrA,275.9006,184.3556,158.8116,113.8315,103.7976,109.7597,88.7846,251.9115,181.0403,171.0,141.858,113.5157,97.8002,95.9915,247.8441,206.3495,136.0558,109.5859,105.7571,100.1629,94.9271,263.7852,202.3431,136.3493,113.5519,111.0716,107.8382,90.2781
alrB,3.3476,5.8803,7.9422,33.2645,15.9715,73.1837,17.2447,2.2977,4.6489,7.4051,9.7324,9.0822,16.3899,54.4709,2.8192,6.2657,16.2337,41.8731,9.6017,22.3913,60.6677,2.6593,6.8822,20.9753,9.6098,7.82,35.6829,39.58
alsD,130.7439,244.5617,1134.0698,2012.6484,3066.3206,1611.2369,1263.8847,155.6948,174.305,1714.6289,3553.7651,4647.7515,4634.3051,1056.7828,165.8778,204.5839,992.5287,1752.8225,3163.0259,4021.0126,705.5017,160.2825,199.3356,968.2797,3295.582,3027.1193,2749.5485,1157.3633
alsR,90.0073,102.7905,63.6011,66.2015,61.5952,81.0425,78.3705,103.5879,102.7237,76.9059,68.6779,60.7109,64.3565,84.5266,104.3756,106.1867,69.5724,80.6304,74.1636,62.3328,85.3831,95.1192,115.8658,68.1116,78.4138,70.3895,65.6494,85.1571
alsS,107.8267,165.4858,917.2096,1906.6716,2583.7567,1458.5943,1239.3296,130.7328,128.7982,1125.2627,3170.6102,4423.6359,4199.9864,934.9603,127.4155,159.3956,812.9077,1630.9674,2682.5986,3582.7811,642.368,114.2869,157.9267,807.947,2964.1677,2579.4809,2441.3574,1044.4539
alsT,208.3811,120.5312,52.1257,39.7084,41.3193,66.7026,37.1524,171.0638,91.815,62.9775,30.4876,33.7422,33.4765,45.5528,182.252,89.4318,47.473,44.2988,53.5124,34.2031,56.4618,192.5878,94.5054,40.5696,34.8453,38.8241,47.6866,43.6417
amhX,433.77,545.216,171.2224,104.0631,140.0257,163.8425,443.6806,511.968,375.0288,192.5,154.7152,182.0165,366.6007,225.8537,540.2315,385.8818,178.1879,103.7586,187.6884,396.6356,231.4866,534.9773,402.4956,172.0783,124.5466,195.9311,199.0634,295.2779
ampS,154.83,171.8534,149.1705,119.3654,130.7925,112.0385,103.3537,162.6724,153.9185,150.6387,159.8237,132.0445,97.5476,92.6307,153.5357,180.8487,124.8136,115.8137,129.652,91.9068,99.9531,159.2573,178.7758,123.3349,151.5341,140.1111,104.2641,85.2015
amtB,305.2691,189.5192,242.3416,71.0293,39.7541,188.3643,154.4073,349.3995,110.8581,101.5926,125.0483,43.3476,1721.5882,502.0616,350.2981,186.8792,242.0445,48.0094,70.4687,1600.5764,208.0602,338.7953,172.0271,240.6535,90.6012,608.1527,103.4232,470.4506
amyC,25.6581,27.4427,19.0915,37.0497,23.2497,59.7943,120.2221,26.7578,27.1799,17.2473,27.7567,29.7602,41.3936,59.9744,21.4409,24.4989,24.3065,38.7436,22.934,80.4899,85.9821,27.4931,20.4693,25.56,22.5854,31.8606,44.5231,87.4143
amyD,20.1171,28.8256,20.9341,33.2476,26.1567,65.2927,101.4531,20.1518,35.6387,11.5461,14.845,22.5976,29.5066,48.1962,18.5598,25.2119,24.2571,37.1715,19.3376,61.8247,79.7934,22.0279,27.5937,31.7139,19.4234,22.4989,42.6252,67.7343
amyX,61.2639,52.7156,87.6386,63.6909,52.189,89.8596,68.2904,61.1154,66.403,104.8227,62.4174,54.5666,47.5161,71.0015,71.0382,60.9609,74.8027,67.3437,44.1775,53.8178,82.0308,64.9212,55.5256,76.6823,54.7492,53.1896,56.6755,64.9675
ansA,45.5789,44.7907,63.8297,54.1882,46.5986,85.8494,54.7571,53.6297,57.593,55.25,57.7406,56.9002,53.1819,56.9845,50.1676,53.7089,57.8078,64.277,54.8788,48.8573,76.6188,53.3172,53.4283,57.2892,51.1229,51.9272,58.9003,54.1165
ansR,96.7701,122.7232,126.4058,104.3289,115.7052,121.4492,149.5916,98.9029,112.2183,127.5,132.8579,118.7348,136.0002,130.158,95.1782,106.4502,92.4851,118.7045,128.0431,123.6287,123.727,98.197,117.5024,97.8522,131.576,108.1173,120.9536,129.2791
ansZ,52.9707,43.5229,47.4388,35.9793,23.9444,81.8419,51.3291,49.0801,23.1979,23.8564,34.8957,11.7742,328.1814,215.5467,54.2971,42.2545,53.7201,34.7547,18.6607,367.2987,83.2436,57.4453,32.2252,55.6891,20.7517,112.6645,45.6483,149.4176
appC,321.3292,372.9962,909.0102,330.1745,392.5669,257.665,491.0828,346.5621,442.7656,903.4786,591.3263,491.8734,641.9617,351.2252,344.8206,503.975,822.1031,302.3558,492.4854,662.1913,278.6333,349.8546,535.7772,823.0741,449.7431,521.5881,344.5538,368.7758
appD,174.8315,335.3468,344.6382,319.028,333.3741,271.288,904.0823,225.2857,314.7942,373.7006,468.6632,520.3863,1030.8347,582.9732,227.907,370.5533,249.2318,284.7531,430.2776,1057.6858,482.8129,227.0871,411.2554,260.7598,396.3387,588.3592,340.3107,743.7076
appF,192.0825,283.4611,423.7205,293.0875,283.3755,229.5596,645.6182,266.7734,321.3524,407.4318,433.3077,445.7181,759.2013,449.583,243.414,326.1246,353.8909,276.2382,373.233,776.6919,376.2768,249.2776,368.1139,364.2771,345.9319,495.648,301.9071,556.3793
aprE,78.7489,537.5638,309.2579,101.7648,126.9593,105.8974,269.703,87.9069,577.8094,380.5563,198.4286,150.6609,439.006,261.9926,91.3412,664.6168,295.0161,85.7698,144.459,499.9672,167.5849,85.0723,818.7996,270.1283,144.4524,239.5022,128.2476,248.0571
aprX,8.3949,7.1498,23.8752,63.006,37.9759,92.6187,40.7897,7.6827,4.9742,35.4345,77.5351,22.0546,37.8556,130.0812,8.3791,5.4066,29.4922,56.8591,35.7435,84.2281,75.18,11.1149,6.6625,31.4544,58.8693,33.3691,50.2907,60.1101
apt,464.9275,261.1668,251.6019,120.0325,145.6513,100.7549,127.8019,368.8701,237.8598,327.2807,188.159,144.6243,105.3686,117.054,350.7902,237.1784,186.0879,111.8606,170.781,124.9964,92.0913,376.6335,218.4783,154.6051,158.6754,150.1004,115.9938,92.914
araB,3.5355,3.1993,10.3853,29.2422,18.5083,76.541,22.7663,4.3141,2.9459,3.4759,5.6608,5.3063,7.7861,42.98,3.3083,3.9848,19.5741,37.9226,7.2676,10.182,65.1203,2.6916,5.8149,19.7364,9.0217,5.6371,42.144,44.9744
araD,1.078,2.2952,4.6765,29.7472,14.8575,68.3449,16.4533,0.3288,1.996,3.8152,3.2702,2.9868,5.087,27.8386,0.3228,3.1241,13.9398,24.4283,8.6572,6.8097,59.112,0.8563,2.0262,13.4267,4.2788,4.1569,28.4168,30.395
araE,4.7986,16.5746,12.7221,38.9578,26.2864,110.7734,14.2419,7.8071,24.0891,7.129,5.9309,5.2528,13.0839,58.6761,6.2265,17.3411,26.3732,52.8113,11.2149,5.1514,83.5077,5.6475,14.1979,28.0224,12.0936,6.4846,59.5225,58.3596
araL,1.2243,1.5641,7.3034,28.7957,16.5507,86.1783,19.2717,1.6807,3.0605,1.8056,3.7143,3.6751,6.9333,38.8831,0.5499,3.844,21.0775,38.3452,5.2676,3.7535,67.5622,3.161,3.1644,16.7379,6.7691,4.3582,40.2045,50.6072
araM,0.6277,1.6037,5.2191,19.2895,12.8105,60.4805,21.7954,1.7233,2.7893,2.4684,3.5968,1.7392,5.9241,35.1943,0.9397,4.0424,11.9723,31.1651,5.0409,6.9973,57.201,1.8283,4.1293,16.7803,8.1861,4.2824,31.6542,33.1442
araN,5.5222,9.2442,6.1958,22.0347,12.4164,61.6961,22.4527,5.7508,9.52,7.4136,3.4661,5.2762,8.9862,38.0127,6.6712,10.3016,14.4055,30.8373,4.151,7.8545,53.1877,5.8996,7.5166,20.8259,8.4223,4.7448,35.3573,37.4876
araP,3.1583,2.6899,7.4219,37.6361,20.3008,90.931,17.7764,3.613,5.2633,5.5892,5.0569,3.8894,8.9427,51.0703,3.5464,5.3395,22.974,41.8181,7.8511,7.6287,73.3584,3.1362,4.6998,21.3488,9.4024,7.0266,44.1637,48.7781
araQ,2.6375,2.6207,5.0856,26.1918,14.6812,63.3005,26.1678,2.4138,2.6047,3.4574,5.038,4.3308,9.4043,40.5013,2.8958,3.3973,15.6328,35.818,5.0434,7.1875,64.6872,3.9577,4.4069,14.9573,10.7186,6.2591,35.4706,47.7776
araR,73.764,72.4213,58.7678,67.2534,57.2074,124.5293,54.7311,69.1727,63.4864,62.0455,61.9307,45.8398,48.7769,87.0817,68.9216,67.741,70.4381,75.8246,53.2854,42.6391,99.8321,78.6735,72.5358,65.3607,57.7069,61.7939,79.2226,76.8591
arfM,18.7116,4.6481,9.5834,23.4712,16.9456,53.3417,8.3301,32.3456,8.6618,3.6792,4.7305,4.3205,6.8679,25.0325,29.4155,3.5149,9.5781,25.4105,4.7707,1.1589,39.9857,25.6,2.931,14.2114,9.7262,5.088,33.9572,22.7832
argB,80.4094,65.222,79.251,142.8888,118.9993,179.5053,157.7994,104.249,73.3811,65.5019,159.077,259.0488,375.8462,206.6813,89.7174,66.891,68.0843,148.439,151.9264,278.5272,147.4721,99.8717,82.4693,71.2491,135.9742,211.5481,227.1151,211.7622
argC,228.3996,69.9797,61.9941,234.3652,221.5786,228.2947,250.8301,170.0077,67.7367,54.7911,287.5645,422.7819,613.4362,303.712,170.3004,49.4671,47.5841,233.9602,323.2512,469.4165,195.0587,199.9823,57.0782,49.9242,258.285,350.9808,414.5415,279.6707
argD,102.1262,122.5362,106.5845,215.1171,162.7579,225.9356,281.3688,138.7233,115.1255,99.7733,217.3736,387.5799,664.0115,311.1332,129.0528,99.6936,86.591,226.3494,218.1275,510.3005,219.5685,120.7583,123.3481,92.2968,207.9684,311.3274,292.7079,323.3639
argF,308.3618,430.8905,248.1719,253.6538,249.5156,252.2751,282.3415,376.2674,325.0824,274.2187,303.9928,463.2247,659.8324,278.8645,369.5711,305.6284,211.9064,257.4489,301.3393,507.584,204.6394,360.0586,345.8791,220.3123,284.9105,375.7684,369.5962,294.7279
argG,779.9948,308.6329,278.2178,740.5333,799.4909,531.6492,706.505,611.2309,296.3532,278.7438,1034.7196,1496.3607,1779.9091,659.3643,610.4504,243.2676,250.3812,686.7648,1037.1163,1478.8844,374.9027,700.5558,291.0743,252.9947,905.1227,1141.4022,1094.4693,601.7103
argH,614.0986,532.9179,437.3013,663.2166,717.329,500.0832,675.5565,645.4882,469.6077,455.211,915.4923,1365.34,1743.6914,671.9773,631.3529,450.3395,374.3977,627.7396,862.3805,1456.1478,373.8845,649.412,517.471,384.4277,828.7697,1078.4993,896.4212,618.1993
argI,304.694,205.8239,229.0626,150.5228,155.1076,155.6412,326.8227,258.7264,187.6488,217.9798,174.4599,199.6903,210.8893,173.6337,260.7114,198.1156,179.1989,154.5285,173.3517,253.1275,203.0324,280.7329,210.7842,180.5662,164.4928,200.0817,149.6427,252.7149
argJ,131.173,71.0771,100.4244,221.0191,179.0641,226.0611,225.7076,121.3451,80.9867,81.6892,224.022,402.6522,560.3745,285.8672,114.1858,66.4987,87.2435,223.0463,248.3405,433.2645,197.1846,144.5306,81.6787,81.6126,207.7733,305.0216,329.5512,282.6321
argS,487.2527,459.0846,363.8431,253.2054,310.175,183.1999,350.2312,418.0786,362.3147,385.2738,376.4487,388.6364,311.1603,230.0097,428.9069,384.8546,292.8417,238.0097,367.3509,314.2708,203.6124,453.433,396.0249,257.3336,382.137,375.2506,256.0064,247.0245
aroA,2074.1331,3462.6079,2798.3529,1295.5163,1598.6021,425.0002,542.0772,2079.7646,3160.8388,2807.9456,2421.2576,1558.4827,936.4362,424.5132,2114.4675,3654.517,2346.7852,1028.18,1747.9023,775.0293,270.6837,2149.8652,4077.4075,2209.6795,1745.2109,1355.7663,739.1537,384.3287
aroB,400.6935,519.1649,683.2369,367.3232,319.1663,156.7014,179.0488,453.9982,747.9252,640.8678,537.8071,378.4934,231.8517,147.7846,468.9533,746.2508,640.5674,343.4717,376.1324,190.607,122.4661,430.6246,776.7109,650.9098,426.4117,341.1835,197.2737,119.403
aroD,172.3882,139.8085,102.588,142.741,140.16,126.9701,180.7133,181.3977,126.9629,95.2148,191.6278,163.9892,158.4378,141.7306,165.8778,116.3259,78.5882,144.2602,181.1147,143.2349,131.2428,171.0535,128.9461,76.2031,186.7185,161.454,141.196,133.561
aroE,528.7999,934.206,974.4735,391.2788,450.5148,173.5826,215.8971,535.7682,843.4563,1069.0909,666.2376,410.8271,269.0914,148.4447,544.2463,936.8358,799.4821,326.0941,498.8375,233.4414,121.751,550.7705,1027.4672,724.2351,521.2245,468.6987,235.2832,144.7354
