gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
yrpC,155.6547,200.0427,86.6005,71.9026,88.1978,83.8016,79.6687,144.155,197.7819,98.9662,105.2503,90.1033,93.2483,64.8399,157.1299,189.9895,65.6899,69.0624,91.9651,83.8184,72.8069,134.2652,164.9781,68.5246,90.6423,86.5397,80.5499,62.8364
yrpD,405.161,375.339,767.5791,544.2381,699.2075,380.4517,1611.5188,371.4282,345.8623,823.3792,793.9332,892.3437,630.9418,755.5094,410.8311,371.4479,683.0049,536.0635,833.262,621.1032,701.2568,391.6848,397.8998,627.4576,887.3132,986.0002,505.7229,905.0944
yrpE,7.8708,15.0826,666.2022,364.0595,426.3719,171.6283,259.7927,7.8033,11.2947,734.7321,625.7945,461.3089,252.8814,184.4962,11.1948,36.4338,539.4474,329.9254,536.9184,262.8657,144.9702,7.5552,36.3698,573.2723,464.7217,414.7115,249.662,161.4049
yrpG,6.8237,12.5919,13.7054,34.7133,24.5179,93.5625,9.8368,9.9454,16.566,8.0505,12.2674,6.7693,10.9725,50.9804,10.4434,16.8465,26.963,51.3528,11.5984,7.6071,70.8907,12.247,18.052,30.4046,13.7579,8.3216,52.6623,47.2276
yrrB,121.8699,55.465,79.3068,55.1762,57.8422,85.7402,87.195,102.1201,66.4283,78.629,56.6132,63.3148,63.6222,74.9622,112.898,83.8847,68.3338,66.3293,51.1224,64.1096,82.486,101.3517,84.1138,61.7836,65.1111,59.3104,69.9289,80.5398
yrrC,119.0515,64.4832,82.117,62.8603,57.08,93.3113,90.344,92.1968,66.7641,86.2735,62.6528,64.4836,68.0427,76.5987,86.225,70.445,66.1093,71.7414,67.6415,69.8765,90.405,100.8193,69.797,65.4223,69.4143,70.1392,77.675,82.0067
yrrD,18.1282,32.014,75.1762,55.6778,36.4618,91.961,162.9675,24.8852,31.9871,110.7097,64.7008,89.1332,207.3294,484.1707,17.7216,42.2367,57.9175,55.3908,61.1721,368.5238,121.7908,22.4487,52.1148,54.4251,62.1309,84.458,65.6337,214.4408
yrrI,7.4706,4.7719,8.6088,35.7994,20.049,98.7193,9.621,5.7685,7.0028,7.4364,9.9153,8.6248,16.3051,54.4247,4.1943,6.0893,15.3968,46.5444,9.9102,13.5334,79.5752,5.9346,5.4852,23.4047,11.12,8.5179,46.3981,47.0365
yrrK,755.6784,658.5337,438.4933,318.2646,404.6973,228.7329,399.5256,683.4053,600.4302,489.6043,518.8674,556.821,431.5259,260.199,719.9581,624.916,336.1844,321.5503,500.0046,412.2695,216.0291,685.3284,611.8694,311.0355,533.0209,471.9572,321.7846,265.186
yrrL,209.6981,168.1645,99.3165,80.9788,88.2889,89.0557,115.572,155.8724,116.4855,126.1288,103.481,89.0159,78.4323,99.2287,158.7604,117.2131,92.3655,90.7592,96.6553,67.3756,98.7595,187.8621,102.8443,85.9613,93.6605,89.8429,79.3467,101.0513
yrrM,386.2993,220.3579,157.4748,77.7483,73.5537,88.1986,114.1355,308.7714,181.1029,186.055,96.9894,96.6374,91.2387,88.3777,329.989,190.8046,94.4932,74.7126,72.6348,95.5119,88.1647,360.181,153.917,91.5593,77.7104,91.0877,67.0011,99.7027
yrrN,300.4474,112.049,138.7869,55.427,64.4441,82.7936,90.9444,237.1418,137.7224,155.371,70.3622,85.4398,67.4324,82.4318,231.3383,138.8144,102.1314,60.8892,61.4779,73.7048,87.7146,261.9715,126.0276,94.272,73.0151,64.0552,66.1837,84.8743
yrrO,341.7085,156.2456,199.8205,95.7609,96.6321,97.5227,148.5077,246.5627,154.9784,223.3511,105.107,117.1108,102.7094,122.8676,241.4962,177.4169,151.4015,93.4253,95.9375,98.6651,116.6567,273.7816,168.93,147.97,101.2035,99.9724,88.0048,123.5005
yrrS,386.3739,375.8399,202.2492,196.6966,254.7199,203.2376,460.9038,380.4207,333.1235,187.9167,276.4302,366.9688,420.3341,323.6695,350.2558,324.8095,133.9321,196.9416,337.9364,360.6494,280.4758,355.7538,313.3398,140.3407,282.9785,377.4676,279.0677,340.0368
yrrT,696.2869,667.51,371.517,320.8026,331.9581,200.0293,531.3883,803.6745,632.8368,436.472,558.8384,563.1976,339.3371,259.0374,717.4124,623.0319,309.3784,305.9113,390.7866,381.0089,245.4422,720.0214,636.6126,282.6277,487.788,414.4633,369.153,293.1168
yrvC,164.2904,87.7697,118.251,102.1032,115.5969,118.2346,75.2293,123.0153,96.2398,130.9789,125.8613,102.539,70.0122,89.3054,137.7447,121.1993,84.0166,100.3983,112.5234,74.3708,100.4627,136.4448,121.6535,90.2938,102.0534,93.4818,88.6741,92.267
yrvD,253.2856,431.1105,239.0218,79.1881,90.0553,73.5969,76.2109,306.028,361.3089,315.0694,108.334,99.6524,78.0001,80.6503,301.7678,421.3652,218.9384,73.0662,98.3284,61.4206,77.8867,280.2356,478.2525,201.5519,102.1867,66.0542,72.0945,67.6724
