gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h
yvrL,9.2477,16.3564,32.9153,22.5449,51.5356,3.3509,14.2336,18.3004,14.4859,12.5256,5.2448,17.5519,39.1678,17.9944,10.7598,7.3702,23.0909,17.9583,7.5155,29.4539
yvrN,116.1359,309.781,175.0285,196.9878,140.7959,123.3904,336.4939,243.3777,205.7173,171.9808,149.7442,225.7989,140.1161,239.8169,186.7337,172.3919,231.2889,206.0815,214.8946,134.5987
yvrO,63.3468,143.8028,97.3544,103.7171,96.5323,66.2665,116.1522,118.4541,109.8481,92.2436,80.5319,112.5637,93.5959,110.4821,84.1196,76.3203,116.2555,104.8298,113.8347,80.3084
yvrP,87.8049,169.3572,139.6735,157.8506,135.7807,101.504,179.5666,179.3227,168.3852,139.146,119.5558,120.0292,134.5065,177.2453,126.3907,117.6776,127.742,165.3146,175.3621,128.5182
yvsG,32.7882,26.1662,32.8378,32.2458,58.1952,43.9115,28.4627,28.5494,27.0235,26.1615,36.6956,24.8925,36.8581,33.5686,26.8954,48.2429,32.2802,28.3796,26.9512,42.0075
yvyC,495.2571,330.0131,118.0361,138.6011,86.3876,547.5511,468.8864,234.7611,115.1882,41.1273,432.5747,233.9032,74.0334,136.1913,38.5275,418.7178,187.6164,158.4811,117.6718,70.267
yvyD,12506.0007,4936.9012,2558.7376,4651.312,1537.8101,8915.233,5763.2762,3923.0416,4201.3368,3724.7119,7074.4535,4221.9925,2423.1657,5706.4682,3422.4228,7182.1227,3540.061,5415.9703,5439.6126,2706.776
yvyE,300.7522,158.2971,120.1889,138.3654,125.6779,272.0755,160.5619,151.0428,179.9696,155.2847,240.2453,112.5094,131.7606,189.6334,146.6488,225.5312,98.1239,162.8371,145.0656,142.0841
yvyF,696.0612,463.5316,212.1418,232.8225,113.2324,715.5009,600.3214,368.3134,234.9858,139.8431,548.5985,318.8974,159.6268,242.4598,144.7772,552.0195,265.7736,276.1551,198.5712,142.0841
yvyG,922.6606,448.1659,258.8391,329.8047,126.0436,885.6437,603.1677,486.3782,332.3415,171.9879,631.7586,315.6364,168.2139,321.5523,156.2221,578.9149,261.9842,338.8085,269.5123,145.7906
yvyI,75.9363,73.7989,64.7494,53.8996,91.7513,74.4367,78.123,53.7813,50.5653,54.8708,70.0153,71.304,73.8831,56.5311,50.2797,82.3265,74.1324,51.4455,56.3767,66.6943
yvzA,122.2946,162.8336,136.7074,198.2434,130.6243,141.5481,183.625,174.8046,184.463,228.8004,148.3649,137.5972,125.7324,225.1897,233.3984,165.0511,144.3642,167.5341,235.3437,152.5036
yvzB,76.7244,19.4855,36.7011,35.103,54.0581,47.3332,27.2516,28.0303,30.8163,30.0373,62.9775,26.8839,43.1318,44.1693,22.8897,60.7861,24.7949,32.7457,31.5192,38.4774
yvzC,3.4057,13.0113,35.1121,24.3785,133.2145,2.9618,4.7177,16.1752,3.6934,18.871,3.8631,31.0273,72.2932,16.8223,1.486,2.5055,40.0899,10.204,8.3035,83.4171
yvzF,291.1911,296.3678,141.7026,149.451,131.0659,322.8333,297.2177,222.4091,194.5171,139.6454,346.3923,204.2627,147.6409,185.0455,126.3086,296.904,188.3011,163.2636,181.4898,122.834
yvzG,509.4561,389.8332,140.0704,165.8548,79.6468,531.9438,616.7262,279.2363,162.9574,53.2382,477.7585,297.0777,101.2072,149.7502,62.883,395.1362,249.8726,185.2192,119.6564,70.8165
yvzJ,64.8551,71.7065,104.4049,97.6353,149.0734,34.1027,100.2857,93.123,33.8031,32.3143,58.1674,73.2834,86.5772,75.8534,21.0585,53.2602,77.4725,56.2352,59.8866,94.9933
ywaA,2318.0768,652.5493,726.8612,1039.5411,408.0611,1536.135,866.25,1247.3797,1286.9071,897.4302,1510.3348,479.6012,642.392,1199.0145,792.7312,1666.0875,456.2681,1032.5885,979.319,742.5844
ywaC,139.6032,80.7123,103.1731,100.9099,170.4641,157.5214,88.2583,125.5559,153.3825,175.5927,120.7024,84.7122,107.4094,95.2661,156.317,110.8009,97.8095,113.27,105.2633,150.8381
ywaD,84.9718,48.9444,60.3572,48.2782,129.222,95.8419,43.1908,44.535,35.9887,54.0527,103.6488,59.4122,74.0661,44.7052,45.4594,102.3691,61.6108,44.5504,44.3527,76.1521
ywaE,105.5781,43.7743,90.857,102.7768,111.0121,68.3274,54.9855,118.5555,117.6007,284.7912,78.9093,44.271,91.0235,134.5074,290.8553,94.831,43.791,97.676,173.1726,113.6672
ywaF,7.0977,7.9088,37.5675,24.0222,95.5264,3.472,4.0966,6.3206,5.7728,14.0925,5.3672,21.8907,44.8271,7.9678,12.7745,5.5479,24.6849,10.3374,7.7253,42.267
ywbA,6.1686,10.8768,34.9431,22.4468,92.0029,4.1265,6.1348,8.4511,10.9777,15.9506,5.2029,19.8133,48.801,12.3581,15.5277,4.5381,24.8811,12.7951,7.7677,54.1516
ywbB,32.7012,30.5387,60.2033,51.4679,87.8273,35.3447,32.7876,41.786,53.0254,45.2125,25.7883,34.7569,58.1012,49.9256,35.4663,22.6827,28.6618,39.8125,41.9792,64.6294
ywbC,773.9621,367.002,349.5613,516.9317,255.5901,545.1062,477.5197,554.0752,532.5035,406.5834,582.1231,274.5423,317.6345,467.3642,403.345,557.764,239.009,484.8628,473.6986,330.2615
ywbD,93.6108,73.3773,84.9944,78.6275,98.6526,84.8768,85.2204,86.9401,97.2865,89.985,82.8542,61.3772,86.9816,93.1449,93.5234,89.9967,58.6247,97.2076,95.0341,96.4883
ywbE,71.9851,107.2882,102.4864,101.5612,83.4273,69.5568,103.4091,94.9681,100.6162,72.091,89.5149,82.5826,89.9113,116.366,72.588,109.4456,74.1792,112.8965,118.1176,82.6671
ywbF,101.8828,118.5399,113.7069,130.4463,124.5556,88.1424,134.55,152.9366,143.6903,117.1952,101.9926,106.6045,122.9442,128.2396,127.6014,94.7587,117.3116,139.1822,134.771,108.9785
ywbH,95.7569,36.826,37.9701,38.7164,113.5938,71.8861,44.593,32.3922,93.4889,244.2795,63.7463,32.31,43.0649,74.2363,156.4084,49.9744,37.9522,24.5212,106.0415,135.6958
ywbI,52.0898,48.675,59.9846,49.1782,85.2808,48.6437,47.7815,52.8551,45.4944,53.9802,55.2519,56.7977,62.9202,50.234,55.2176,50.6662,53.3728,49.811,53.3322,65.8668
ywbO,67.2338,88.7413,76.9747,76.1783,100.5184,91.815,130.9701,64.8618,70.6333,45.7911,73.4824,88.9268,82.916,73.5891,46.753,91.1959,86.5623,70.6438,59.275,80.3022
ywcA,6.7784,19.531,32.2187,21.3513,68.5943,6.252,15.7442,9.9181,15.5926,16.5409,7.9216,28.6932,40.162,14.2041,28.8581,9.3689,27.6957,13.2656,11.7328,43.7862
ywcB,19.4756,34.809,52.8387,31.263,91.8275,24.068,30.2913,25.9641,27.4193,43.1651,20.1532,42.0223,63.1292,21.1727,59.9298,27.1472,41.6822,25.2513,39.9856,66.2139
ywcC,68.8143,34.4127,57.27,52.8075,89.4044,53.2855,38.3036,42.159,45.3206,49.4465,54.8884,41.866,63.1292,49.5248,28.3796,63.4545,37.6602,60.8797,46.9505,68.5048
ywcD,61.0373,57.4213,57.0964,52.8809,69.7295,79.6208,54.8437,51.5795,63.8067,53.0157,79.8376,56.9843,67.568,68.1495,45.3457,87.38,53.5481,65.3515,67.2246,55.5016
ywcE,172.3228,94.7845,151.0283,166.1785,144.4434,205.7922,159.1379,292.0214,286.8937,448.2767,138.5687,102.2651,105.2154,222.3288,751.8734,103.5614,103.8903,153.5157,267.9739,219.4954
ywcH,68.278,39.4493,53.3065,42.3022,113.0064,64.6003,34.4461,42.5366,43.421,45.3055,58.3245,42.4767,67.4765,40.0274,40.2728,41.8587,42.847,40.1981,38.7542,67.8941
ywcI,165.0146,223.751,104.2403,53.5464,110.5187,247.5603,416.0,214.1917,140.7855,721.6457,225.9109,250.5546,73.417,87.0909,679.0393,245.6708,240.4675,116.1153,228.2616,108.6154
ywcJ,30.8107,24.4137,40.2355,27.6161,86.3908,33.2249,23.5214,12.6821,15.7411,23.3697,47.2191,33.0595,49.6191,21.0294,23.3016,51.0755,35.1691,21.0609,24.3242,49.9782
ywdA,328.1824,141.4692,131.1417,251.7795,129.4696,220.1347,172.6807,191.3092,165.5339,151.3015,255.8651,130.3705,111.8072,205.6266,170.9418,265.7661,123.4166,204.9537,204.6852,143.1112
ywdD,61.2552,38.8974,89.4839,104.7737,149.3427,56.7347,35.8726,99.3402,138.6173,196.1041,66.2803,32.8933,105.4139,118.5209,219.0283,67.779,36.5944,107.4305,145.0083,128.4118
