gene_name,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
yvcB,135.0803,148.4506,150.3703,185.4905,162.5622,315.7513,143.1276,167.7551,214.8992,221.08,249.1841,182.7404,152.5312,129.2274,157.3771,243.219,301.8482,172.5132,156.1957,142.0092,199.6262,245.9193,150.6046,199.0402
yvcD,265.7955,152.284,97.6262,105.6876,108.4943,150.7853,234.7434,150.3711,139.5737,122.5994,110.0043,115.2484,221.2407,106.1004,105.5625,115.9305,126.3239,112.6342,190.8947,102.6532,115.5141,120.553,103.3552,115.182
yvcI,272.0666,186.7358,174.9337,191.2505,178.758,319.6004,238.9543,191.875,228.7513,245.6244,252.0004,228.1463,250.772,159.2799,176.0334,264.3927,292.9292,226.3452,247.4521,151.6065,236.1159,291.3509,223.327,261.5458
yvcJ,265.7286,236.8012,176.247,194.928,173.719,375.8694,238.843,219.0456,236.8812,276.1787,317.7979,250.0275,258.6631,196.3225,183.416,241.5263,313.1208,221.5623,261.0903,174.5602,233.6802,289.4588,211.9741,267.5246
yvcK,284.8616,290.3213,208.5513,209.754,199.6822,459.9427,269.6704,282.0755,255.4462,336.2819,365.4723,278.8044,290.7294,241.7215,209.8352,276.996,387.6454,274.6712,286.2595,228.0931,277.4183,331.4146,231.8025,345.7454
yvcN,216.1837,225.8614,161.3586,184.37,168.1041,317.6078,206.5837,244.1369,213.241,257.4606,290.0243,214.2536,214.8012,181.6182,181.1208,244.9431,273.8337,192.7114,218.527,176.9433,229.5714,276.377,203.4283,235.5503
yvcP,63.4356,71.5559,78.7283,75.3802,104.6686,73.9362,65.5821,77.8361,83.2208,71.5188,58.9917,78.285,75.1413,68.0296,77.4527,76.0924,59.227,97.4003,70.4914,62.6615,74.1336,81.2702,79.5193,76.9047
yvcQ,55.0071,78.3349,86.024,77.1289,96.6458,71.5512,66.868,86.3025,82.8696,91.7237,67.2942,69.8021,63.9595,72.7446,83.8186,74.366,74.5822,83.4272,73.3198,75.3204,79.7453,74.3689,78.0069,77.4388
yvcR,60.0983,82.7383,75.057,70.2656,98.7154,58.9472,54.7358,85.5,83.2505,92.1826,72.6001,69.886,61.4136,80.462,78.1831,76.9474,63.783,82.011,69.0078,76.4792,75.9716,62.2303,79.1299,75.0417
yvcS,37.6948,55.5532,50.4703,47.3318,72.8871,38.3105,44.2755,60.1275,51.5382,47.7797,40.8687,48.144,40.3507,54.1378,56.0065,41.1801,38.4472,62.5115,42.377,52.3867,44.0017,44.2179,58.2391,47.2474
