Feature.ID	gene name	HS_0.norm	HS_15.norm	HS_30.norm	HS_60.norm	HS_90.norm	HS_120.norm	R_0.norm	R_15.norm	R_30.norm	R_60.norm	R_90.norm	R_120.norm
YPL163C	SVS1	480.61	94.56	45.04	113.5	284.66	320.45	348.37	422.94	425.82	867.83	1334.72	1693.57
YDR320C	SWA2	211.07	341.64	412.51	336.29	342.21	339.16	172.29	178.13	181.2	217.44	278.39	345.45
YAL011W	SWC3	209.64	109.81	149.36	137.88	150.04	150.47	230.04	187.26	191.39	177.38	192.06	214.18
YGR002C	SWC4	229.61	251.15	233.52	205.13	209.64	209.84	231.93	241.16	231.03	231.74	199.82	215.04
YBR231C	SWC5	119.8	115.91	86.53	97.52	101.74	110.61	88.99	83.13	98.53	134.47	129.98	119.18
YLR385C	SWC7	29.95	4.07	2.37	3.36	7.19	12.2	14.2	14.62	20.38	15.26	11.64	24.18
YAR003W	SWD1	514.84	311.14	394.73	392.61	452.17	449.77	536.76	567.26	628.53	580.78	597.52	648.58
YKL018W	SWD2	338	246.06	270.26	285	288.77	313.95	301.99	333.42	354.47	307.08	277.42	253.04
YBR175W	SWD3	544.79	432.13	337.83	305.18	349.4	285.48	657.93	730.78	951.29	977.5	883.67	852.4
YJL187C	SWE1	322.31	236.91	238.26	374.12	370.98	364.37	342.69	281.35	311.44	337.6	396.73	377.41
YDR126W	SWF1	71.31	40.67	82.98	79.87	108.93	100.04	101.29	133.37	113.25	115.39	117.37	86.36
YAR042W	SWH1	255.28	495.18	471.77	373.28	411.06	392.84	257.49	254.86	250.28	226.97	258.99	245.27
YPL016W	SWI1	236.74	105.75	266.71	268.19	250.75	239.12	202.59	210.1	158.55	189.78	254.14	217.63
YJL176C	SWI3	397.9	289.78	258.41	276.59	241.5	241.56	383.4	337.98	338.62	328.06	350.17	297.09
YER111C	SWI4	263.84	268.43	375.76	385.89	328.85	322.08	347.43	348.95	309.17	269.89	258.02	246.13
YDR146C	SWI5	312.33	151.5	116.17	85.75	113.04	146.4	316.19	360.82	236.69	147.82	124.16	118.32
YLR182W	SWI6	338	335.54	363.91	291.73	235.33	220.41	407.07	337.07	332.95	270.84	292.94	246.13
YDR260C	SWM1	156.88	150.48	137.5	143.76	139.76	159.41	153.36	171.73	164.21	191.69	203.7	197.77
YNR004W	SWM2	111.24	99.65	137.5	204.29	151.07	131.76	138.21	139.76	150.62	125.88	104.76	95
YMR149W	SWP1	855.69	845.97	819.08	847.44	769.71	763.72	691.07	496.93	492.63	585.55	666.39	721.13
YFL049W	SWP82	235.31	261.31	285.67	313.59	251.78	226.11	260.33	238.42	220.84	232.69	183.33	176.18
YDR334W	SWR1	549.07	691.42	623.5	450.62	430.59	352.99	617.23	590.1	742.92	717.15	672.21	609.72
YNL081C	SWS2	280.95	471.79	436.21	274.07	285.69	232.61	270.75	211.01	229.9	245.09	244.44	322.13
YOR166C	SWT1	243.87	158.62	253.67	232.88	238.42	234.24	248.97	257.6	249.15	192.64	194.97	172.73
YNL187W	SWT21	89.85	99.65	97.2	142.08	143.87	148.03	71.95	76.73	97.39	106.81	118.34	97.59
YDR395W	SXM1	1166.59	259.28	349.68	610.36	561.1	549	1192.8	1309.92	1228.76	994.67	858.45	878.31
YOR179C	SYC1	188.25	214.54	195.58	163.1	175.73	186.25	237.61	181.78	207.25	173.57	188.18	170.13
YDR416W	SYF1	279.52	190.14	180.17	208.5	174.7	169.17	266.01	263.99	219.7	268.93	210.49	212.45
YGR129W	SYF2	88.42	75.24	77.05	74.82	62.69	70.76	146.73	105.96	118.91	84.88	77.6	76
YIL047C	SYG1	1235.04	490.09	646.02	728.9	607.34	636.84	982.64	983.81	950.16	841.13	705.19	595.04
