Model_A,Model_B,Mean Difference,95% Confidence Interval of Difference,p-value
RF with Efron TFs(half shrink),RF with all TFs,0.00273,"(-0.15, 0.155)",0.972
RF with Efron TFs(half shrink),RF with GS network,-0.0421,"(-0.195, 0.11)",0.587
RF with Efron TFs(half shrink),RF with top TFs,-0.0538,"(-0.212, 0.104)",0.504
RF with Efron TFs(half shrink),RF with Complementary Efron TFs(half shrink),-0.017,"(-0.0345, 0.000476)",0.0565
RF with Efron TFs(half shrink),RF with Efron TFs(90%% shrink),-0.00794,"(-0.0218, 0.00595)",0.262
RF with Efron TFs(90%% shrink),RF with Complementary Efron TFs(90%% shrink),-0.0177,"(-0.038, 0.00262)",0.0875
