,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T6A,4140@T8A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4140@T6B,4140@T8B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T5A,4146@T7A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,4146@T5B,4146@T7B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T6A,425@T8A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,425@T6B,425@T8B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T7A,HR3@T9A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B,HR3@T7B,HR3@T9B
yczK,0.0,0.0,12.5,0.0,0.0,0.0,25.6,0.0,0.0,17.7,0.0,10.1,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,71.0,39.7,79.8,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0
ccdA,6.5,12.2,4.1,13.4,39.0,21.6,53.7,380.9,6.0,310.4,1.3,8.9,13.1,0.0,282.8,863.4,1712.8,1623.3,1336.2,1183.3,632.0,254.7,779.8,1438.3,1560.6,1963.3,1006.4,948.6,0.0,116.2,0.0,0.0,0.0,15.1,62.2,1.6,0.0,0.0,0.0,72.2,20.8,205.3,460.1,3450.8,1804.0,2537.5,1492.0,1118.5,2077.5,257.1,5165.2,2280.8,2206.0,1880.1,881.9,202.8
yotH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,18.9,15.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,9.8,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0
yubD,187.6,143.1,116.3,73.8,34.5,0.0,47.4,438.8,0.0,183.9,225.1,147.7,32.8,45.3,339.3,249.6,106.5,97.3,96.6,155.2,73.2,473.6,180.3,190.9,158.5,102.2,87.0,163.8,52.0,0.0,0.0,13.2,0.0,116.2,33.3,23.8,0.0,0.0,0.0,0.0,5.3,0.0,552.5,964.2,196.2,82.6,216.3,29.5,345.3,869.3,845.1,341.8,215.0,258.8,50.8,37.0
salA,56126.5,32646.6,59042.8,61121.2,54622.1,65755.3,50627.0,33134.3,45034.9,18257.2,24136.8,62855.0,56516.0,56113.0,10112.9,12610.5,9814.5,8050.2,7464.9,10155.4,5824.4,10724.9,10892.8,11312.0,8052.4,6518.4,10692.2,5325.3,46171.8,44749.6,44055.8,32210.8,44887.4,41105.0,54476.7,61348.0,42700.4,50204.1,42873.4,41014.8,53878.5,49761.7,23463.1,12759.0,15377.8,11462.7,11201.8,10638.7,9540.6,19026.5,18579.9,12365.7,12266.2,14282.9,10335.4,6890.7
yneJ,4609.6,4700.0,5028.6,3337.2,3915.2,5255.8,2052.1,4617.6,12766.0,2372.7,3309.8,5706.7,3328.4,2368.8,781.3,1381.8,1465.2,1212.8,1081.9,743.0,704.4,1025.2,1415.3,1306.4,1366.0,1465.1,1060.1,757.0,2469.1,1865.5,3380.8,2706.9,6126.0,6475.8,6504.8,4821.1,10213.7,4012.4,4900.6,9011.0,6112.8,3234.9,1219.1,1767.9,318.6,621.4,204.5,538.1,170.4,1537.9,787.5,311.3,566.8,243.9,558.2,409.9
yloN,35919.8,34060.2,33364.8,27882.1,17750.8,36558.1,10976.2,25531.1,43832.3,12859.1,19230.8,35189.2,18767.7,14287.2,5015.4,3937.5,4773.5,3865.0,5212.5,3576.4,2620.1,4580.7,4847.3,4018.9,3654.1,4514.6,3764.2,2428.9,13884.9,19326.1,16662.0,13365.8,9837.8,10771.2,6372.8,17368.9,22793.8,20979.5,15811.9,9298.4,5966.6,5275.9,2344.3,4439.4,2170.5,2850.9,4307.0,2513.0,2209.3,2954.0,4045.2,3916.1,3336.2,3356.4,2093.6,1567.3
mdxF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,26.7,0.0,0.0,0.0,25.6,213.4,833.4,550.3,419.5,220.3,1718.1,71.5,153.7,196.1,350.4,310.5,253.8,887.3,12.4,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.0,555.7,0.0,16.0,0.0,50.1,138.5,111.7,129.9,407.1,124.0,40.1,226.6,275.0,161.5,197.1,421.5,89.5,10.5
yvsH,457.5,296.3,674.7,3680.8,11391.5,1064.9,12566.0,330.2,241.2,358.0,1251.1,1042.0,6996.4,12759.7,452.9,400.0,279.5,337.4,391.4,2686.6,1057.7,184.4,358.1,266.6,122.0,423.1,1518.5,1590.4,514.3,0.0,347.7,111.7,1275.0,1833.0,17393.4,363.7,270.2,491.7,1056.8,3381.5,2848.9,16127.7,90.6,164.0,488.3,2988.2,3249.0,4058.5,5158.2,50.8,671.6,521.3,1608.7,2740.2,2687.9,897.0
spsL,5904.5,706.5,835.1,6845.3,21855.4,4999.2,110729.7,1367.7,5544.4,1010.7,3730.0,4523.3,13682.0,70039.3,326.2,431.2,540.1,2495.9,5548.2,8335.8,67743.6,305.7,378.5,552.7,573.4,3753.0,9118.1,51608.7,3611.7,2218.6,3233.8,884.9,2915.5,4115.4,18791.6,113.8,1358.0,1035.6,1446.8,5643.1,7813.2,36465.7,455.2,1150.7,1303.4,4045.3,11334.6,15908.2,181947.0,854.4,1106.6,1272.8,3922.1,13496.2,19912.7,174279.1
yxaB,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,22.4,17.6,0.0,0.0,8.0,331.8,658.3,332.2,175.3,233.6,222.3,471.1,322.0,567.3,436.1,144.8,239.2,424.5,360.5,96.3,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,18.2,0.0,7.6,0.0,0.0,2100.3,653.1,269.6,124.0,202.0,287.9,884.6,2052.8,339.4,767.2,607.5,84.8,326.1,1042.4
yuiC,269.2,1059.7,412.0,3410.5,3759.4,2057.7,1184.1,943.1,820.8,827.3,1498.2,2469.5,2773.7,2048.9,153.6,630.7,515.1,6592.3,6597.0,8014.5,2998.7,188.8,839.9,484.9,2353.4,6779.0,8630.5,2701.0,356.6,282.9,897.9,909.8,1286.3,2754.0,4131.3,169.8,0.0,127.0,630.2,1652.4,2856.4,2709.0,210.9,3624.1,3304.7,6597.2,7736.0,7046.2,526.3,246.2,3305.6,4759.7,7419.7,8108.8,10626.1,3013.2
yfmN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,52.8,110.8,160.2,0.0,0.0,148.7,37.0,0.0,61.2,25.5,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yxlD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,60.6,51.7,76.8,34.0,3.7,0.0,22.7,74.6,31.5,46.0,65.1,32.1,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.3,0.0,0.0,54.8,0.0,447.0,496.6,306.5,154.4,166.5,288.4,2980.2,23.4,626.9,246.6,99.4,187.2,138.5,1877.5
pdxT,16535.0,6689.0,9256.6,2541.9,1920.1,3843.7,2259.0,10451.0,8933.4,8898.5,4911.8,3710.8,1861.5,1766.2,18042.0,6344.9,8444.7,6751.7,3497.4,4324.6,3007.5,17572.7,6257.0,7857.4,7968.0,3983.1,3391.0,4679.1,10798.5,5887.3,8095.4,10967.8,2652.6,2673.9,1614.9,22235.1,8113.3,7897.3,6522.3,3473.2,1917.6,1403.4,29771.7,16032.5,8440.8,8518.3,12586.5,6904.0,3794.1,21497.9,21513.8,12684.3,11971.3,9107.6,3463.0,1847.4
ykvZ,833.0,461.8,830.0,487.6,240.4,743.7,320.0,377.5,692.4,406.3,410.2,533.1,421.5,144.5,292.2,825.8,742.6,589.5,419.9,260.8,422.9,218.1,440.4,628.2,790.8,450.8,492.5,236.7,0.0,35.3,311.5,0.0,35.4,21.4,0.0,133.9,90.0,43.4,77.4,10.7,77.3,0.0,98.2,192.4,349.4,136.4,225.0,157.3,569.5,184.7,288.9,268.7,192.7,87.5,51.6,495.7
pksF,1236.1,1098.7,1795.9,492.5,218.5,843.4,154.1,1482.2,724.5,1056.5,679.2,1070.8,373.5,158.0,1398.2,3244.7,3448.2,2225.3,1553.2,699.2,1094.9,680.3,3391.4,2925.1,2593.7,2645.2,805.0,1467.1,729.6,867.8,575.2,1873.1,144.1,206.4,50.1,743.2,1622.3,719.3,555.7,150.0,46.5,0.0,1052.6,9902.9,10231.5,5003.2,4530.1,1379.7,2529.3,540.7,16202.7,10604.8,4107.8,2553.2,830.7,505.9
fecD,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,156.9,199.1,0.0,0.0,0.0,752.2,577.7,1147.9,955.5,536.5,621.1,442.8,853.8,777.1,1499.6,1101.1,504.7,524.8,520.4,0.0,0.0,0.0,65.2,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,751.7,504.6,347.0,435.1,140.6,68.0,853.9,1388.4,841.1,420.5,469.0,174.9,717.8
serC,39771.0,21985.9,30424.7,7350.7,6120.4,7741.9,6506.4,14874.7,15080.4,8298.0,5891.5,8229.7,6296.5,7446.8,9343.7,11622.7,7897.8,4420.4,2589.8,1231.2,1225.8,11384.2,16524.3,10838.2,7527.9,3866.7,1583.9,1259.0,15313.5,13097.0,10413.2,14507.4,4036.9,5757.1,4604.3,23728.0,9506.0,13976.3,12101.2,9982.7,7372.0,6341.3,15700.4,20193.6,11933.6,8892.8,4427.8,3054.8,151.6,17310.8,18447.9,9647.5,4948.7,3040.5,2672.1,823.9
dhaS,50080.8,181500.1,358561.9,155814.4,107058.9,226893.1,83429.6,30383.9,250010.4,126134.0,138123.6,213724.0,157866.0,100201.6,13266.5,116536.0,220531.6,221166.6,137971.0,51586.0,43940.0,12837.4,76505.3,192057.4,201474.1,158227.9,63434.3,38681.6,67051.6,394613.3,951772.0,497449.3,450103.8,276037.5,169850.9,137344.8,716365.0,871810.4,668708.1,282788.3,224310.3,187241.1,19108.3,92800.4,176842.9,116948.7,116009.8,60396.0,21848.6,12010.2,122863.1,169044.2,95875.9,78779.8,43981.6,17150.6
rrnA-5S,199.2,916.7,1194.0,3317.9,2979.0,2095.9,2046.0,171.2,0.0,574.5,688.3,3887.5,1685.4,3605.4,226.6,233.4,315.5,382.9,2510.7,311.6,525.1,94.2,338.7,342.4,377.5,261.3,450.7,340.7,575.7,1766.9,0.0,485.9,451.9,1015.3,2878.6,1228.0,1432.4,580.0,1015.5,0.0,120.7,4985.5,79.4,398.3,130.7,490.0,25.8,203.0,2421.4,204.2,69.6,470.6,281.3,128.5,138.7,2878.8
pdxK,60312.8,11408.7,9583.2,4014.2,5175.2,5777.0,8250.9,22736.0,8728.8,6544.0,5937.9,6036.0,5328.8,4725.3,9192.3,9946.7,4986.7,3642.2,2719.9,2029.2,2495.8,9884.9,14289.0,7854.7,4196.5,3773.7,2375.1,2442.9,73756.6,30822.2,12965.3,12556.2,9179.7,8987.6,9608.5,72061.2,29769.4,20569.3,12395.4,5232.1,9177.1,10654.4,11908.7,5076.4,2709.3,2260.9,1211.3,848.5,2717.4,11633.4,4781.4,2245.0,2053.6,1660.3,1018.0,2336.8
yorK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.7,0.0,2.8,14.3,17.0,4.0,14.5,7.9,11.4,0.0,30.6,61.0,0.0,3.0,12.8,10.7,15.4,0.0,0.0,0.0,20.8,8.8,29.1,49.9,0.0,0.0,0.0,70.4,4.5,29.6,1.5,30.1,0.0,0.0,3.5,3.2,0.0,0.8,0.0,0.0,3.9,4.0,12.5,0.0
ynaI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,30.4,29.9,94.8,89.7,108.7,159.2,83.1,60.5,46.0,61.1,21.5,124.2,33.5,53.2,14.3,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,12.5,202.8,0.0,33.9,0.0,0.0,0.0,58.9,116.6,0.0,0.0,0.0,56.6,0.0
ldh,19945.3,14679.0,5421.5,5677.6,2349.9,9040.8,1467.8,26179.3,13853.3,21620.1,19815.7,9520.0,2367.9,1969.8,44275.6,5893.1,2608.5,1641.6,1273.8,30.2,370.1,39159.5,6388.7,2843.2,1214.7,1459.8,55.5,426.0,38557.2,16649.5,68918.0,27415.9,11330.4,13714.6,8973.6,30260.7,25639.6,33704.3,22085.1,10423.4,11570.6,6034.5,232276.9,483498.7,422851.5,118202.1,88791.3,87225.1,6215.2,161358.2,332853.8,190654.2,212730.8,128636.0,89295.8,1950.5
gmuG,120.6,0.0,149.5,3085.3,2960.0,1624.3,3443.4,54.2,804.2,278.9,875.8,1663.2,2719.8,2733.7,352.8,664.8,456.8,268.3,566.0,468.0,446.1,394.9,872.6,454.9,427.2,516.3,395.9,591.8,98.3,0.0,203.3,0.0,61.5,17.3,44.8,37.8,16.0,0.0,254.9,0.0,7.8,0.0,659.4,474.1,309.0,334.7,582.5,559.4,0.0,500.9,621.7,335.8,525.9,809.5,561.1,362.4
abrB,69673.9,22032.7,23123.2,24252.7,17194.6,38474.9,9665.4,153268.0,34511.2,19985.9,23379.4,44952.8,19157.0,14612.2,26211.3,8783.3,14296.7,7618.3,4158.5,2503.8,2587.7,28218.9,12423.5,18022.5,10372.0,5317.6,2831.8,1994.6,264043.9,134215.7,37700.0,25852.9,19385.6,8009.3,5405.3,353572.9,123268.1,29333.4,41027.1,4547.1,2244.1,5018.8,36843.3,9237.6,15460.0,5755.7,1279.7,2318.9,1615.8,33191.0,7791.6,12916.0,4327.3,2271.1,3109.3,3475.5
yhdA,893.3,885.2,1788.5,592.3,507.4,1242.8,1151.7,391.0,750.4,7778.9,2474.2,849.3,578.9,1005.1,22826.4,13989.8,10331.5,5864.1,2166.6,2361.7,2173.0,24314.2,21009.8,8972.3,5768.1,2505.2,2145.1,2536.4,470.1,1476.6,89.1,1120.7,611.2,515.2,1702.0,1957.4,907.8,1308.9,325.6,1162.8,1472.5,2367.3,1269.3,4062.3,2258.7,1364.5,1702.7,1237.6,661.1,2244.8,3426.7,2013.1,1080.1,1824.2,1171.7,1612.9
yqcG,26.2,531.2,191.3,24.4,41.9,17.1,18.4,69.4,59.0,23.7,4.2,49.1,7.1,0.0,23.2,38.2,34.6,5.9,25.3,12.9,21.3,17.9,12.9,20.0,27.1,22.9,8.8,10.3,244.9,38.9,12.7,474.0,71.0,14.1,60.9,92.9,151.5,119.9,121.2,72.8,4.7,30.5,1613.2,2448.0,1303.9,994.6,380.6,299.1,104.2,1477.4,2038.9,1170.2,867.1,327.8,284.3,141.6
malS,3859.9,3356.6,4337.8,13256.8,20152.5,5243.2,23044.0,2524.4,5187.5,1757.1,4554.9,5462.2,16463.9,21847.9,1516.5,2128.4,2165.2,2123.2,2704.0,11446.5,5029.4,1908.1,2880.8,2187.1,2077.9,2223.3,9172.5,6873.4,2426.4,8161.1,6686.7,3801.2,5555.6,5368.5,19540.6,2996.8,8066.4,5958.2,3139.3,7257.1,20840.5,15207.4,6285.7,7629.4,8276.2,8547.1,23135.1,15948.2,9793.5,5501.5,8483.8,7465.3,10999.6,21955.3,16627.5,7584.9
ykoV,38.6,369.5,199.4,2709.7,9660.7,51.7,9731.4,3.4,13.6,113.1,113.4,99.1,5356.3,11809.5,192.3,108.8,169.4,114.8,313.0,10008.4,6097.6,159.1,82.6,159.5,212.2,168.3,4553.6,5695.6,28.1,33.2,784.4,74.8,275.1,103.0,7519.3,10.2,29.7,48.5,0.0,128.6,2122.7,6833.0,81.4,148.7,99.9,1596.1,3464.3,6683.1,8090.8,176.8,111.4,141.6,2617.7,3033.9,10071.3,6652.9
cheV,1668.2,3988.9,2498.0,1453.4,1088.1,3366.4,1328.9,3097.2,4358.0,1814.6,2235.0,3697.8,1257.1,1152.1,1631.3,604.2,789.2,500.8,347.0,333.8,1205.1,1912.7,659.0,830.4,1003.1,386.2,331.2,1406.2,961.8,1384.0,4127.2,2496.8,1698.3,1311.4,507.2,979.7,3165.4,2647.0,2549.4,1419.0,717.5,1592.2,1117.1,634.0,290.1,138.2,89.8,91.0,1217.8,886.1,585.0,195.0,89.9,60.0,102.5,881.2
ybxA,10048.2,9291.3,12046.5,4888.3,5074.8,6893.4,3611.4,7163.7,9715.0,4004.4,4897.7,6312.5,4718.4,5405.9,3707.6,1472.1,1216.4,1504.3,1498.9,846.1,781.1,3234.9,1330.6,875.7,1243.4,1744.2,1000.0,680.7,4148.7,3553.7,2842.6,1996.3,2997.3,2531.8,2062.7,4423.7,3628.9,3167.4,3058.0,3448.4,2814.4,2046.2,272.1,834.2,1088.5,849.3,986.9,593.1,695.1,295.9,573.1,774.8,740.6,1110.6,696.2,841.0
yoqK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,5.3,0.0,49.3,0.0
floT,384909.8,10535.7,10056.3,8684.5,7262.5,11588.0,8664.8,206061.0,7774.5,7688.0,11061.1,10151.2,7889.0,10095.1,10514.6,7126.6,2693.6,2859.0,4268.3,8005.7,9812.0,18912.2,8266.1,5344.1,2039.1,2745.1,7240.2,7191.7,183953.4,3909.7,6366.1,3484.7,12438.3,12416.6,12111.4,166056.4,2497.7,3481.1,4771.7,6657.8,11962.6,8788.3,44615.4,3453.9,7290.3,11997.7,6986.8,9889.6,21420.9,32478.3,3839.0,7996.3,10874.7,10981.3,10842.7,21577.6
cwlO,12439.2,83232.8,71473.2,28586.4,12597.1,38356.4,6094.9,12665.6,59868.9,27488.9,27594.7,36804.6,15818.4,7530.9,4931.5,13955.6,12446.8,8865.0,5963.2,3297.6,4605.9,4205.7,7436.9,11617.2,9410.9,6369.1,1992.5,4422.6,14559.8,133745.7,156399.9,131080.3,103149.4,59827.0,10122.5,15164.1,259922.1,180417.1,192100.3,42593.7,21820.4,8179.9,3929.8,14652.1,4693.2,9389.5,7872.3,2013.7,3584.8,4521.0,21317.4,10055.6,4355.5,2604.6,1256.4,2561.3
yjbI,8771.8,5795.5,8455.7,3669.6,4577.1,5292.7,5564.5,4870.6,3251.7,2408.7,1877.2,5335.9,3149.6,4052.8,1005.5,1701.6,1646.9,1127.8,933.1,622.0,446.0,1003.4,2198.3,1623.8,2048.8,1059.5,946.8,576.4,8171.0,5665.3,3476.8,2831.4,2151.1,1436.3,2500.6,13248.0,5777.6,4545.9,4568.5,4090.7,2374.7,2116.6,2448.9,2755.7,1201.3,1148.2,1122.7,737.4,594.2,2997.6,2150.9,982.4,592.0,825.8,405.3,915.5
yabS,1970.8,39485.7,25270.3,29351.3,22370.5,42258.3,11523.0,1807.5,58882.6,20002.6,31658.3,42740.8,26291.1,11717.0,253.8,6947.9,30089.4,32613.8,21721.8,7774.0,4908.1,227.5,1571.1,18457.4,32169.8,22331.3,11638.7,5176.0,190.2,1311.4,14665.4,36157.7,84869.1,65910.6,24709.9,333.3,3775.0,26400.9,79455.4,70295.7,60685.3,13660.4,662.3,8118.3,21063.1,21003.6,29773.1,14401.6,6247.1,860.0,8797.1,23101.4,20564.2,25853.0,10412.9,6894.6
bacE,6223.7,59705.2,81015.9,23666.9,10317.2,46164.1,3776.3,720.7,61176.9,19983.8,20111.3,47153.0,14719.0,4633.3,1433.1,7087.4,11433.0,5807.8,2431.2,829.8,782.4,578.2,8068.7,8675.1,9749.1,4951.2,817.6,883.3,17830.3,259237.5,109325.5,82894.0,37998.7,20776.3,5456.2,36939.0,164897.9,114499.2,83313.1,19978.0,7132.4,3720.1,322.9,11683.1,7814.1,3525.6,1814.0,677.0,0.0,411.8,16287.2,7153.9,1688.7,632.3,198.3,259.5
ywzG,1014.4,718.1,2056.6,1096.5,419.3,686.3,357.8,839.6,1082.7,4818.8,2805.7,727.3,458.3,299.1,9693.6,10572.9,10443.7,6295.2,6478.3,4267.7,3664.7,13629.4,12925.7,11780.1,7627.3,6411.1,4713.0,2300.6,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.5,0.0,0.0,1840.3,2431.2,337.6,843.0,297.9,376.8,3.9,1023.6,2653.8,446.1,145.5,713.4,881.2,1793.6
cotE,4228.1,10819.4,3163.1,691922.3,1347304.3,394080.7,1411976.8,3260.5,234127.5,35079.0,121697.4,388234.7,776352.2,1629600.4,0.0,62.2,1077.3,23223.3,52000.5,67571.9,63057.7,24.4,65.3,209.7,6116.8,35052.8,69686.7,66090.2,2508.3,1100.6,7427.2,12009.2,172615.5,160425.6,879824.6,298.0,1123.5,6136.7,24326.0,54026.4,131877.8,1170303.1,254.3,427.1,15956.9,42165.7,71431.6,103822.7,421290.5,237.0,193.1,18518.8,51103.2,97628.2,133944.3,337900.7
tuaE,98.4,353.9,3.3,472.5,431.2,347.2,222.1,41.7,239.1,327.4,161.8,374.1,475.0,228.4,700.0,337.5,315.8,663.2,946.4,579.8,1019.1,571.8,325.2,430.2,328.6,960.9,718.4,1104.0,0.0,33.7,0.0,39.4,290.6,424.4,250.5,15.4,0.0,0.0,411.4,516.4,702.3,279.0,37.9,70.2,293.1,645.7,1330.9,867.7,0.0,19.6,188.3,545.0,896.3,1152.4,623.0,364.8
yonB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7,7.1,6.1,3.2,0.0,0.0,82.0,40.5,0.0,8.3,0.0,6.2,0.0
pelC,0.0,2.4,0.0,0.0,2.9,0.0,0.0,0.0,7.4,883.7,630.6,0.0,0.0,0.0,2619.8,9944.4,9307.9,6920.3,5493.0,6926.9,14878.2,3191.2,11924.0,11438.4,7988.7,6062.6,6476.9,8981.8,438.6,652.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3,0.0,0.0,876.6,1271.1,1365.6,538.8,552.6,314.1,4112.2,759.8,1516.1,1285.1,486.1,529.2,328.6,924.5
yxzI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.0,0.0,84.6,132.1,272.4,178.4,48.6,32.2,111.9,101.4,202.5,167.5,115.0,174.7,6.5,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.7,117.8,217.2,0.0,52.6,157.3,478.2,447.4,178.8,67.5,21.4,56.2,36.4,0.0
wprA,6.7,441.1,106.7,3.2,5.9,2.6,0.0,380.6,141.2,3375.3,1653.8,16.0,1.0,6.5,9856.6,59437.3,53288.3,21783.2,6864.2,3531.2,8929.2,10733.0,43140.5,32869.1,20157.2,7294.9,3389.2,4604.9,11286.0,21152.4,11123.3,11290.5,3413.6,4601.6,3924.5,8176.7,21147.2,16785.2,15552.2,2999.5,2147.7,2507.5,18549.5,7338.3,6570.3,5039.2,3660.1,2462.1,1000.0,15405.0,9253.7,8298.0,5896.6,3362.9,1695.4,1685.5
ywpE,75.2,0.0,0.0,179.0,175.7,126.1,1034.0,0.0,0.0,116.6,123.0,86.2,93.2,0.0,0.0,0.0,82.9,8.1,16.5,24.6,60.2,0.0,0.0,0.0,0.0,14.6,33.5,71.4,462.2,0.0,0.0,0.0,665.0,1181.4,2876.5,113.2,0.0,427.0,25.8,2097.4,2058.3,2436.7,0.0,28.3,0.0,0.0,27.7,42.6,0.0,0.0,0.0,35.6,86.8,0.0,59.6,100.5
tcyA,9536.5,2064.1,2137.9,12341.5,20930.3,5124.5,17632.4,10793.5,3696.6,2162.2,3781.5,5239.7,13182.3,18669.9,2996.8,1717.4,950.9,646.0,1080.8,4977.5,4053.6,2879.8,1653.8,1334.3,513.1,670.5,3737.9,4442.8,1602.7,550.5,726.9,611.5,388.8,1869.4,8600.5,1590.6,694.0,199.7,684.0,815.4,2833.0,11667.7,8765.4,535.5,1207.9,1851.8,3835.7,5251.9,4310.7,8032.2,533.6,486.3,2891.1,4807.4,8064.5,5166.9
albA,0.0,0.0,7.9,0.0,2.3,0.0,0.0,0.0,22.1,799.2,306.1,0.0,0.0,0.0,2468.3,1257.9,883.9,831.3,842.7,841.9,2066.4,2839.2,1033.6,771.3,916.1,794.5,714.0,1766.2,60.6,16.3,0.0,133.6,0.0,6.0,5.5,3.1,0.0,0.0,5.9,0.0,64.8,0.0,23751.5,3647.7,4847.6,1016.5,797.9,1132.7,4450.4,17837.6,1859.1,1672.7,1657.7,750.7,1120.6,3412.6
ykjA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1.9,16.4,581.8,3069.3,687.7,54.3,29.8,0.0,31.0,93.6,2264.7,1394.7,0.0,261.4,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1,0.0,13.0,310.2,480.8,1297.3,395.4,16.5,0.0,42.9,390.0,823.5,1693.1,1638.0
rapB,8178.8,3463.6,3136.4,1082.9,1082.2,1279.8,877.2,7066.7,3258.6,1084.2,814.8,1632.6,750.7,1549.5,1545.7,2170.2,1082.8,506.7,319.3,151.7,282.2,2164.8,2318.0,1718.1,964.9,411.6,284.3,235.4,10548.5,2520.6,2096.4,1192.1,1367.1,679.0,541.0,11772.6,3945.6,2199.7,2577.1,984.6,648.0,754.4,3785.9,2418.9,925.2,1142.8,504.9,602.8,115.5,3436.4,2132.0,997.1,482.7,451.5,786.7,542.9
ylaM,301.4,853.3,429.2,8327.7,8703.5,9203.6,6000.5,317.2,9341.1,1066.6,4825.0,12000.2,7775.8,4433.0,96.1,297.5,547.2,9357.4,9844.9,4973.6,2227.9,196.8,196.4,341.5,3027.7,9808.9,6527.8,2650.4,155.2,119.9,308.4,1697.7,10341.0,7469.2,5798.8,24.1,190.1,373.9,3579.0,7852.5,7250.0,5172.1,42.9,203.2,3296.7,4408.5,4619.5,3356.5,1705.5,56.3,105.3,3771.1,4825.6,3136.9,2339.3,945.7
atpA,304659.8,177128.2,109342.4,165918.3,79799.8,350098.3,34362.6,198700.6,297630.0,103283.7,115372.5,339531.8,114113.5,46102.7,34323.5,17723.4,46285.3,40656.9,36319.9,24818.9,14615.9,23971.9,11366.8,31601.9,38016.2,41721.0,23717.6,16139.9,102898.8,89018.5,112728.6,67716.1,79588.9,71252.9,48885.3,141693.9,134606.8,95177.4,102113.6,58956.5,41587.7,25326.7,39829.3,20838.2,36739.4,54134.2,35596.3,17270.9,19361.6,28810.8,23546.9,49207.7,47818.8,23249.4,14931.6,16113.6
