,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T6A,4140@T8A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4140@T6B,4140@T8B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T5A,4146@T7A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,4146@T5B,4146@T7B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T6A,425@T8A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,425@T6B,425@T8B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T7A,HR3@T9A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B,HR3@T7B,HR3@T9B
yeeF,393.4,521.9,354.3,125.2,208.7,455.9,108.1,253.2,269.3,225.4,189.4,293.9,134.9,153.2,905.7,1859.2,1985.7,1045.2,519.2,265.1,501.3,1010.1,2028.8,1967.2,1738.2,982.4,292.9,238.6,9496.2,9508.4,6577.7,4516.6,6298.1,3859.4,2678.0,8426.5,12613.7,8000.8,7617.7,3207.8,3165.1,1686.9,2995.9,3090.4,2461.0,3533.7,1185.8,756.1,425.5,2408.6,3722.8,3134.0,1429.7,681.0,638.1,1305.8
ywdE,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,0.0,0.0,0.0,0.0,292.6,288.7,146.9,146.6,175.3,208.3,222.2,420.7,114.4,112.5,40.0,225.4,98.4,346.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.1,0.0,0.0,6.8,0.0,220.7,48.1,142.3,154.5,223.9,0.0,12.5,296.4
pxpB,8866.7,3360.9,6901.0,1367.4,2073.3,1897.6,1061.6,6055.6,2258.1,2579.6,1411.7,1793.3,1877.1,1355.7,4147.5,2889.4,3314.2,3161.2,1433.0,462.8,162.6,4223.4,3480.7,2988.2,2867.9,1972.5,439.1,411.7,12428.6,8753.2,7689.0,2855.9,10950.6,7556.3,1340.5,9848.1,5003.3,11081.9,8687.4,3511.5,5564.4,936.8,3176.7,3650.4,594.1,1165.6,1075.9,683.2,0.0,2415.8,5230.8,505.3,461.8,293.3,119.6,0.0
ecsC,1192.4,3170.0,2468.8,4909.2,3715.6,5047.8,3724.2,2055.6,4665.1,1745.5,2992.9,4080.3,3521.5,3179.2,2000.1,3308.1,3242.7,2893.9,3337.3,2384.7,1506.5,1265.4,2407.6,2954.5,2585.0,3059.9,2549.1,1071.9,2227.3,6652.5,4015.6,5761.6,2553.1,4206.7,4874.7,5240.6,3337.7,3816.7,3905.6,6827.4,3443.4,4543.2,979.6,3108.6,1987.1,2637.2,2724.1,1480.3,1315.3,1240.7,3696.0,3292.5,2037.3,1098.2,1126.3,1922.6
map,114834.3,49527.4,43050.9,95951.9,94130.1,137595.3,59969.0,107611.4,139115.9,44386.8,39291.1,136601.5,79270.0,79751.5,56795.6,23061.9,25294.2,17117.5,16499.5,12838.6,12484.6,60740.1,24866.1,14869.5,19108.9,14070.9,11767.7,12664.3,99732.1,24968.8,40913.6,16869.7,47131.2,42366.2,83144.7,70595.4,49508.8,22420.8,26733.8,30746.4,38721.2,83209.0,27968.6,17605.9,17562.3,14699.5,7353.9,12954.9,21324.3,25275.1,17113.9,20414.5,17267.2,16740.5,14082.1,25224.8
yrzH,0.0,415.4,0.0,68.7,0.0,0.0,0.0,0.0,0.0,220.4,0.0,0.0,0.0,0.0,866.5,4892.5,3479.3,1948.7,1547.2,1257.1,2407.0,869.4,3175.5,2226.9,1786.6,1773.2,1064.1,2813.4,118.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.8,0.0,582.7,326.8,274.8,736.8,985.7,1462.2,3254.5,366.6,539.2,1096.2,854.1,626.5,1080.7,860.0
mpfA,30260.0,16491.6,29580.8,12990.7,11336.4,14906.4,16139.9,14082.6,18249.6,8236.5,8146.3,14641.8,10138.7,16581.5,5770.5,6987.4,6851.4,5071.1,4240.0,2373.2,3954.4,4831.4,9517.7,6501.9,6417.6,5536.4,3052.2,3510.9,42574.8,50389.6,27168.0,31351.4,13388.6,14592.9,12980.7,84999.0,68323.8,47923.1,45461.7,18151.7,15855.5,16997.2,5692.1,5428.7,3266.0,2302.5,1999.7,1768.7,4542.4,4686.6,4150.9,3430.5,1768.5,1288.2,1763.9,3290.9
yonK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,19.8,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7
yfiV,1985.7,2339.7,1028.7,1722.2,2525.9,801.3,7901.5,822.3,1688.6,258.0,101.5,879.1,2890.2,5463.3,512.7,692.4,330.9,434.7,682.9,390.7,440.7,491.3,374.8,338.3,313.6,708.2,316.4,561.4,571.8,1205.0,299.8,154.9,711.5,248.6,3104.2,573.2,57.6,194.5,1662.0,1073.5,1294.1,3423.9,149.1,470.9,33.5,407.7,197.5,504.4,474.5,262.2,187.7,144.7,140.9,257.3,549.1,611.1
yopX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.2,4.7,0.0,6.6,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,330.8,176.1,500.9,20.0,616.4,136.8,1079.9,769.5,883.3,145.6,86.0,0.0,14.9,610.0,0.0,81.5,0.0,15.8,6.6,14.4,0.0,94.2,54.9,0.0,126.0,0.0,0.0,0.0
rplT,189563.7,69587.0,95581.1,92907.9,88178.1,129389.5,111368.1,155368.5,113905.0,62735.5,50533.2,131090.5,82767.3,122229.6,105057.6,32742.4,39397.0,36528.5,22039.8,17923.5,46244.2,115171.4,34593.1,31570.3,32579.8,28641.4,17844.0,45243.2,129959.4,45597.2,38220.3,28060.0,44091.7,49050.2,131217.5,162336.2,62347.8,34581.4,41291.4,29804.2,43556.0,153954.5,80943.5,60132.2,49926.8,46495.6,29349.8,30219.6,40202.2,65437.7,53488.6,48409.5,30045.5,36273.6,31888.0,120597.6
ugtP,4907.6,6573.1,7409.3,5006.5,3274.2,6956.6,2189.9,3897.7,9271.4,4049.0,3357.7,7114.7,3812.4,3493.4,2621.3,4634.5,3946.2,4215.6,4307.6,2778.4,1783.7,3224.6,4518.0,3669.3,3376.6,4092.2,3135.5,1650.5,17510.3,14455.0,13772.3,12397.0,13984.8,14035.0,4614.8,18630.7,20439.3,14896.9,20448.8,8312.0,6712.2,3183.6,2871.3,2919.5,1529.3,2683.8,2243.4,1400.5,3114.2,3232.5,2669.1,2335.4,1152.5,1628.0,1357.9,1665.7
spsF,89.6,0.0,277.7,0.0,0.0,169.7,249.1,219.8,0.0,72.8,495.9,17.8,0.0,126.8,651.5,744.9,685.6,602.0,986.2,1785.5,214761.6,679.2,530.0,561.4,232.1,471.7,851.2,120935.9,3488.2,1050.3,521.4,206.4,216.7,176.3,1905.4,9.1,2846.1,59.8,0.0,67.8,467.4,5410.4,1460.1,998.8,1779.2,812.9,5003.7,19399.0,283300.4,1179.9,785.6,499.3,743.3,6511.3,30091.6,306891.4
gerPA,1022.7,4689.8,2111.8,2266.5,51681.0,1135.0,155251.7,775.9,1091.6,133.5,258.6,1163.2,25893.6,105471.7,30.2,118.9,396.1,92.5,39.5,877.2,18865.6,6.2,74.8,315.0,292.5,287.4,219.7,31099.9,8.3,365.1,761.4,0.0,673.8,1634.4,149282.3,89.8,1449.5,0.0,1253.8,1017.4,7436.9,295673.2,0.0,32.7,0.0,111.5,7879.8,11871.9,78266.8,63.0,211.8,0.0,384.8,8262.5,10112.5,76879.7
dnaN,4137.6,3100.7,4653.7,2835.1,1550.1,2547.8,1210.8,4778.3,3435.7,2643.4,2544.8,2272.8,1321.2,1548.7,3107.0,957.5,853.1,617.2,576.2,714.9,460.5,2594.3,1260.1,807.6,486.4,649.7,665.9,756.0,4587.0,11366.3,4202.0,4377.8,2200.7,1300.2,1040.1,5156.7,16883.0,7615.5,5610.4,1934.9,962.3,1095.3,1235.1,2074.8,798.8,429.6,404.0,538.5,1245.2,1769.4,1208.8,675.0,325.9,293.9,595.7,387.9
ykgA,148.6,243.8,88.4,152.2,61.5,38.5,0.0,77.1,0.0,66.9,22.7,10.4,52.0,70.7,126.2,44.1,45.2,134.0,418.7,1305.9,254.3,165.2,27.5,37.5,61.4,216.5,2009.1,345.0,24.9,0.0,0.0,0.0,67.0,192.3,33.2,0.0,16.8,0.0,8.0,150.5,70.5,0.0,4459.1,383.0,3582.6,501.9,1543.1,1064.2,530.9,4576.5,228.5,3242.1,1387.6,1015.1,2014.1,132.6
