,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B
yopV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.2,0.0,32.8,0.0,0.0,41.7,21.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.9,0.0,0.0,8.6,0.0,4.0,0.0,66.2,0.0
yqeD,22.6,103.1,0.0,0.0,13.9,24.6,0.0,23.6,45.5,0.0,34.9,129.1,58.5,51.8,34.4,47.7,108.9,219.1,115.6,90.9,0.0,143.9,39.5,22.8,109.6,59.4,101.7,81.5,55.6,17.6,65.5,88.7,0.0,0.0,21.4,8.0,81.6,67.7,74.8,0.0
yqbB,4.9,0.0,5.3,23.7,681.1,5.4,27.0,0.0,0.0,20.9,15.5,10.9,58.8,35.5,27.7,9.4,20.8,0.0,58.6,9.5,185.6,0.0,0.0,0.0,273.1,498.7,185.1,14.3,88.2,0.0,37.5,28.2,24.2,45.7,85.5,27.8,50.0,0.0,0.0,0.0
ypzA,1010.8,2756.4,1013.2,104.1,270.2,499.4,0.0,946.9,4618.4,0.0,531.5,1159.1,2732.6,4764.0,23308.5,329.5,856.8,1872.1,3742.4,7380.2,137.1,0.0,6064.6,4357.6,19256.4,83.6,17.2,4263.3,2592.7,29325.7,121.1,3034.9,8806.1,63591.7,24847.9,448.9,1604.1,7393.4,66010.6,67298.4
ptb,17994.1,1687.8,4811.6,5847.2,3731.2,10217.4,2693.4,4605.3,3001.0,4672.4,6560.0,1879.0,4840.9,2871.4,1853.0,3805.3,947.0,1697.1,2309.6,2789.4,2896.3,33020.8,2792.9,800.7,2466.8,4050.9,33524.0,2663.8,1727.8,1911.4,5051.7,1400.9,3117.7,1423.7,1654.5,3228.0,1443.7,1438.6,2350.2,2142.2
ytqA,5655.3,8069.9,7985.6,9964.8,16129.5,2775.1,4649.3,1952.5,3421.4,7323.3,1803.1,1400.4,1264.0,996.7,1229.3,1615.9,1607.9,1209.8,808.2,1012.8,3501.8,5478.2,3766.9,2855.1,3340.9,4700.0,6021.2,3557.0,3585.5,2918.4,494.1,796.4,225.5,540.8,956.6,327.7,762.8,449.0,328.3,921.5
pyrC,10809.2,46.1,210.0,1605.1,14.8,5503.8,24.8,662.7,378.0,9.8,1789.1,351.5,133.5,59.7,48.7,1236.6,197.7,62.1,40.7,42.5,6385.8,38.8,505.7,6.0,193.1,3582.7,8.6,89.6,0.0,0.0,913.7,0.0,24.6,365.1,16.5,1424.6,3.5,6238.2,69.7,17.3
yhzG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,121.6,328.4,660.5,243.2,431.6,458.7,854.1,354.2,588.1,335.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.4,0.0,0.0,77.8,24.9,153.6,0.0,195.0,0.0
yopI,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,533.7,223.2,106.2,13.6,92.8,137.1,124.6,54.1,25.5
yteT,0.0,105.6,0.0,0.0,0.0,4.0,0.0,20.6,300.1,0.0,36.4,240.1,273.3,321.2,345.0,97.6,117.7,331.1,408.0,426.7,0.0,0.0,292.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,53.7,73.3,15.9,287.1,481.3,134.0,26.8,80.1,164.2,509.2
