,4140@T0A,4140@T2A,4140@T3A,4140@T4A,4140@T5A,4140@T0B,4140@T2B,4140@T3B,4140@T4B,4140@T5B,4146@T0A,4146@T1A,4146@T2A,4146@T3A,4146@T4A,4146@T0B,4146@T1B,4146@T2B,4146@T3B,4146@T4B,425@T0A,425@T2A,425@T3A,425@T4A,425@T5A,425@T0B,425@T2B,425@T3B,425@T4B,425@T5B,HR3@T0A,HR3@T2A,HR3@T4A,HR3@T5A,HR3@T6A,HR3@T0B,HR3@T2B,HR3@T4B,HR3@T5B,HR3@T6B
yczK,0.0,0.0,12.5,0.0,0.0,0.0,0.0,17.7,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,71.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccdA,6.5,12.2,4.1,13.4,39.0,380.9,6.0,310.4,1.3,8.9,282.8,863.4,1712.8,1623.3,1336.2,254.7,779.8,1438.3,1560.6,1963.3,0.0,116.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,72.2,460.1,3450.8,1804.0,2537.5,1492.0,257.1,5165.2,2280.8,2206.0,1880.1
yotH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,18.9,15.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,9.8,11.3,0.0,0.0,0.0,0.0
yubD,187.6,143.1,116.3,73.8,34.5,438.8,0.0,183.9,225.1,147.7,339.3,249.6,106.5,97.3,96.6,473.6,180.3,190.9,158.5,102.2,52.0,0.0,0.0,13.2,0.0,23.8,0.0,0.0,0.0,0.0,552.5,964.2,196.2,82.6,216.3,869.3,845.1,341.8,215.0,258.8
salA,56126.5,32646.6,59042.8,61121.2,54622.1,33134.3,45034.9,18257.2,24136.8,62855.0,10112.9,12610.5,9814.5,8050.2,7464.9,10724.9,10892.8,11312.0,8052.4,6518.4,46171.8,44749.6,44055.8,32210.8,44887.4,61348.0,42700.4,50204.1,42873.4,41014.8,23463.1,12759.0,15377.8,11462.7,11201.8,19026.5,18579.9,12365.7,12266.2,14282.9
yneJ,4609.6,4700.0,5028.6,3337.2,3915.2,4617.6,12766.0,2372.7,3309.8,5706.7,781.3,1381.8,1465.2,1212.8,1081.9,1025.2,1415.3,1306.4,1366.0,1465.1,2469.1,1865.5,3380.8,2706.9,6126.0,4821.1,10213.7,4012.4,4900.6,9011.0,1219.1,1767.9,318.6,621.4,204.5,1537.9,787.5,311.3,566.8,243.9
yloN,35919.8,34060.2,33364.8,27882.1,17750.8,25531.1,43832.3,12859.1,19230.8,35189.2,5015.4,3937.5,4773.5,3865.0,5212.5,4580.7,4847.3,4018.9,3654.1,4514.6,13884.9,19326.1,16662.0,13365.8,9837.8,17368.9,22793.8,20979.5,15811.9,9298.4,2344.3,4439.4,2170.5,2850.9,4307.0,2954.0,4045.2,3916.1,3336.2,3356.4
mdxF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,26.7,0.0,25.6,213.4,833.4,550.3,419.5,71.5,153.7,196.1,350.4,310.5,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.7,0.0,50.1,138.5,111.7,129.9,407.1,226.6,275.0,161.5,197.1,421.5
yvsH,457.5,296.3,674.7,3680.8,11391.5,330.2,241.2,358.0,1251.1,1042.0,452.9,400.0,279.5,337.4,391.4,184.4,358.1,266.6,122.0,423.1,514.3,0.0,347.7,111.7,1275.0,363.7,270.2,491.7,1056.8,3381.5,90.6,164.0,488.3,2988.2,3249.0,50.8,671.6,521.3,1608.7,2740.2
spsL,5904.5,706.5,835.1,6845.3,21855.4,1367.7,5544.4,1010.7,3730.0,4523.3,326.2,431.2,540.1,2495.9,5548.2,305.7,378.5,552.7,573.4,3753.0,3611.7,2218.6,3233.8,884.9,2915.5,113.8,1358.0,1035.6,1446.8,5643.1,455.2,1150.7,1303.4,4045.3,11334.6,854.4,1106.6,1272.8,3922.1,13496.2
yxaB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,17.6,0.0,331.8,658.3,332.2,175.3,233.6,322.0,567.3,436.1,144.8,239.2,96.3,0.0,0.0,3.8,0.0,0.0,0.0,18.2,0.0,7.6,2100.3,653.1,269.6,124.0,202.0,2052.8,339.4,767.2,607.5,84.8
yuiC,269.2,1059.7,412.0,3410.5,3759.4,943.1,820.8,827.3,1498.2,2469.5,153.6,630.7,515.1,6592.3,6597.0,188.8,839.9,484.9,2353.4,6779.0,356.6,282.9,897.9,909.8,1286.3,169.8,0.0,127.0,630.2,1652.4,210.9,3624.1,3304.7,6597.2,7736.0,246.2,3305.6,4759.7,7419.7,8108.8
yfmN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,52.8,110.8,0.0,148.7,37.0,0.0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yxlD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,60.6,51.7,76.8,34.0,22.7,74.6,31.5,46.0,65.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.3,0.0,0.0,447.0,496.6,306.5,154.4,166.5,23.4,626.9,246.6,99.4,187.2
pdxT,16535.0,6689.0,9256.6,2541.9,1920.1,10451.0,8933.4,8898.5,4911.8,3710.8,18042.0,6344.9,8444.7,6751.7,3497.4,17572.7,6257.0,7857.4,7968.0,3983.1,10798.5,5887.3,8095.4,10967.8,2652.6,22235.1,8113.3,7897.3,6522.3,3473.2,29771.7,16032.5,8440.8,8518.3,12586.5,21497.9,21513.8,12684.3,11971.3,9107.6
ykvZ,833.0,461.8,830.0,487.6,240.4,377.5,692.4,406.3,410.2,533.1,292.2,825.8,742.6,589.5,419.9,218.1,440.4,628.2,790.8,450.8,0.0,35.3,311.5,0.0,35.4,133.9,90.0,43.4,77.4,10.7,98.2,192.4,349.4,136.4,225.0,184.7,288.9,268.7,192.7,87.5
pksF,1236.1,1098.7,1795.9,492.5,218.5,1482.2,724.5,1056.5,679.2,1070.8,1398.2,3244.7,3448.2,2225.3,1553.2,680.3,3391.4,2925.1,2593.7,2645.2,729.6,867.8,575.2,1873.1,144.1,743.2,1622.3,719.3,555.7,150.0,1052.6,9902.9,10231.5,5003.2,4530.1,540.7,16202.7,10604.8,4107.8,2553.2
fecD,0.0,0.0,43.8,0.0,0.0,0.0,0.0,156.9,199.1,0.0,752.2,577.7,1147.9,955.5,536.5,853.8,777.1,1499.6,1101.1,504.7,0.0,0.0,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,496.0,751.7,504.6,347.0,435.1,853.9,1388.4,841.1,420.5,469.0
serC,39771.0,21985.9,30424.7,7350.7,6120.4,14874.7,15080.4,8298.0,5891.5,8229.7,9343.7,11622.7,7897.8,4420.4,2589.8,11384.2,16524.3,10838.2,7527.9,3866.7,15313.5,13097.0,10413.2,14507.4,4036.9,23728.0,9506.0,13976.3,12101.2,9982.7,15700.4,20193.6,11933.6,8892.8,4427.8,17310.8,18447.9,9647.5,4948.7,3040.5
dhaS,50080.8,181500.1,358561.9,155814.4,107058.9,30383.9,250010.4,126134.0,138123.6,213724.0,13266.5,116536.0,220531.6,221166.6,137971.0,12837.4,76505.3,192057.4,201474.1,158227.9,67051.6,394613.3,951772.0,497449.3,450103.8,137344.8,716365.0,871810.4,668708.1,282788.3,19108.3,92800.4,176842.9,116948.7,116009.8,12010.2,122863.1,169044.2,95875.9,78779.8
rrnA-5S,199.2,916.7,1194.0,3317.9,2979.0,171.2,0.0,574.5,688.3,3887.5,226.6,233.4,315.5,382.9,2510.7,94.2,338.7,342.4,377.5,261.3,575.7,1766.9,0.0,485.9,451.9,1228.0,1432.4,580.0,1015.5,0.0,79.4,398.3,130.7,490.0,25.8,204.2,69.6,470.6,281.3,128.5
pdxK,60312.8,11408.7,9583.2,4014.2,5175.2,22736.0,8728.8,6544.0,5937.9,6036.0,9192.3,9946.7,4986.7,3642.2,2719.9,9884.9,14289.0,7854.7,4196.5,3773.7,73756.6,30822.2,12965.3,12556.2,9179.7,72061.2,29769.4,20569.3,12395.4,5232.1,11908.7,5076.4,2709.3,2260.9,1211.3,11633.4,4781.4,2245.0,2053.6,1660.3
yorK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,2.8,14.3,17.0,4.0,14.5,0.0,30.6,61.0,0.0,3.0,15.4,0.0,0.0,0.0,20.8,49.9,0.0,0.0,0.0,70.4,1.5,30.1,0.0,0.0,3.5,0.8,0.0,0.0,3.9,4.0
ynaI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,30.4,29.9,94.8,89.7,108.7,60.5,46.0,61.1,21.5,124.2,14.3,0.0,0.0,0.0,15.1,0.0,0.0,19.5,0.0,0.0,12.5,202.8,0.0,33.9,0.0,58.9,116.6,0.0,0.0,0.0
ldh,19945.3,14679.0,5421.5,5677.6,2349.9,26179.3,13853.3,21620.1,19815.7,9520.0,44275.6,5893.1,2608.5,1641.6,1273.8,39159.5,6388.7,2843.2,1214.7,1459.8,38557.2,16649.5,68918.0,27415.9,11330.4,30260.7,25639.6,33704.3,22085.1,10423.4,232276.9,483498.7,422851.5,118202.1,88791.3,161358.2,332853.8,190654.2,212730.8,128636.0
gmuG,120.6,0.0,149.5,3085.3,2960.0,54.2,804.2,278.9,875.8,1663.2,352.8,664.8,456.8,268.3,566.0,394.9,872.6,454.9,427.2,516.3,98.3,0.0,203.3,0.0,61.5,37.8,16.0,0.0,254.9,0.0,659.4,474.1,309.0,334.7,582.5,500.9,621.7,335.8,525.9,809.5
abrB,69673.9,22032.7,23123.2,24252.7,17194.6,153268.0,34511.2,19985.9,23379.4,44952.8,26211.3,8783.3,14296.7,7618.3,4158.5,28218.9,12423.5,18022.5,10372.0,5317.6,264043.9,134215.7,37700.0,25852.9,19385.6,353572.9,123268.1,29333.4,41027.1,4547.1,36843.3,9237.6,15460.0,5755.7,1279.7,33191.0,7791.6,12916.0,4327.3,2271.1
yhdA,893.3,885.2,1788.5,592.3,507.4,391.0,750.4,7778.9,2474.2,849.3,22826.4,13989.8,10331.5,5864.1,2166.6,24314.2,21009.8,8972.3,5768.1,2505.2,470.1,1476.6,89.1,1120.7,611.2,1957.4,907.8,1308.9,325.6,1162.8,1269.3,4062.3,2258.7,1364.5,1702.7,2244.8,3426.7,2013.1,1080.1,1824.2
yqcG,26.2,531.2,191.3,24.4,41.9,69.4,59.0,23.7,4.2,49.1,23.2,38.2,34.6,5.9,25.3,17.9,12.9,20.0,27.1,22.9,244.9,38.9,12.7,474.0,71.0,92.9,151.5,119.9,121.2,72.8,1613.2,2448.0,1303.9,994.6,380.6,1477.4,2038.9,1170.2,867.1,327.8
malS,3859.9,3356.6,4337.8,13256.8,20152.5,2524.4,5187.5,1757.1,4554.9,5462.2,1516.5,2128.4,2165.2,2123.2,2704.0,1908.1,2880.8,2187.1,2077.9,2223.3,2426.4,8161.1,6686.7,3801.2,5555.6,2996.8,8066.4,5958.2,3139.3,7257.1,6285.7,7629.4,8276.2,8547.1,23135.1,5501.5,8483.8,7465.3,10999.6,21955.3
ykoV,38.6,369.5,199.4,2709.7,9660.7,3.4,13.6,113.1,113.4,99.1,192.3,108.8,169.4,114.8,313.0,159.1,82.6,159.5,212.2,168.3,28.1,33.2,784.4,74.8,275.1,10.2,29.7,48.5,0.0,128.6,81.4,148.7,99.9,1596.1,3464.3,176.8,111.4,141.6,2617.7,3033.9
cheV,1668.2,3988.9,2498.0,1453.4,1088.1,3097.2,4358.0,1814.6,2235.0,3697.8,1631.3,604.2,789.2,500.8,347.0,1912.7,659.0,830.4,1003.1,386.2,961.8,1384.0,4127.2,2496.8,1698.3,979.7,3165.4,2647.0,2549.4,1419.0,1117.1,634.0,290.1,138.2,89.8,886.1,585.0,195.0,89.9,60.0
ybxA,10048.2,9291.3,12046.5,4888.3,5074.8,7163.7,9715.0,4004.4,4897.7,6312.5,3707.6,1472.1,1216.4,1504.3,1498.9,3234.9,1330.6,875.7,1243.4,1744.2,4148.7,3553.7,2842.6,1996.3,2997.3,4423.7,3628.9,3167.4,3058.0,3448.4,272.1,834.2,1088.5,849.3,986.9,295.9,573.1,774.8,740.6,1110.6
yoqK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,5.3,0.0
floT,384909.8,10535.7,10056.3,8684.5,7262.5,206061.0,7774.5,7688.0,11061.1,10151.2,10514.6,7126.6,2693.6,2859.0,4268.3,18912.2,8266.1,5344.1,2039.1,2745.1,183953.4,3909.7,6366.1,3484.7,12438.3,166056.4,2497.7,3481.1,4771.7,6657.8,44615.4,3453.9,7290.3,11997.7,6986.8,32478.3,3839.0,7996.3,10874.7,10981.3
cwlO,12439.2,83232.8,71473.2,28586.4,12597.1,12665.6,59868.9,27488.9,27594.7,36804.6,4931.5,13955.6,12446.8,8865.0,5963.2,4205.7,7436.9,11617.2,9410.9,6369.1,14559.8,133745.7,156399.9,131080.3,103149.4,15164.1,259922.1,180417.1,192100.3,42593.7,3929.8,14652.1,4693.2,9389.5,7872.3,4521.0,21317.4,10055.6,4355.5,2604.6
yjbI,8771.8,5795.5,8455.7,3669.6,4577.1,4870.6,3251.7,2408.7,1877.2,5335.9,1005.5,1701.6,1646.9,1127.8,933.1,1003.4,2198.3,1623.8,2048.8,1059.5,8171.0,5665.3,3476.8,2831.4,2151.1,13248.0,5777.6,4545.9,4568.5,4090.7,2448.9,2755.7,1201.3,1148.2,1122.7,2997.6,2150.9,982.4,592.0,825.8
yabS,1970.8,39485.7,25270.3,29351.3,22370.5,1807.5,58882.6,20002.6,31658.3,42740.8,253.8,6947.9,30089.4,32613.8,21721.8,227.5,1571.1,18457.4,32169.8,22331.3,190.2,1311.4,14665.4,36157.7,84869.1,333.3,3775.0,26400.9,79455.4,70295.7,662.3,8118.3,21063.1,21003.6,29773.1,860.0,8797.1,23101.4,20564.2,25853.0
bacE,6223.7,59705.2,81015.9,23666.9,10317.2,720.7,61176.9,19983.8,20111.3,47153.0,1433.1,7087.4,11433.0,5807.8,2431.2,578.2,8068.7,8675.1,9749.1,4951.2,17830.3,259237.5,109325.5,82894.0,37998.7,36939.0,164897.9,114499.2,83313.1,19978.0,322.9,11683.1,7814.1,3525.6,1814.0,411.8,16287.2,7153.9,1688.7,632.3
ywzG,1014.4,718.1,2056.6,1096.5,419.3,839.6,1082.7,4818.8,2805.7,727.3,9693.6,10572.9,10443.7,6295.2,6478.3,13629.4,12925.7,11780.1,7627.3,6411.1,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.5,1840.3,2431.2,337.6,843.0,297.9,1023.6,2653.8,446.1,145.5,713.4
cotE,4228.1,10819.4,3163.1,691922.3,1347304.3,3260.5,234127.5,35079.0,121697.4,388234.7,0.0,62.2,1077.3,23223.3,52000.5,24.4,65.3,209.7,6116.8,35052.8,2508.3,1100.6,7427.2,12009.2,172615.5,298.0,1123.5,6136.7,24326.0,54026.4,254.3,427.1,15956.9,42165.7,71431.6,237.0,193.1,18518.8,51103.2,97628.2
tuaE,98.4,353.9,3.3,472.5,431.2,41.7,239.1,327.4,161.8,374.1,700.0,337.5,315.8,663.2,946.4,571.8,325.2,430.2,328.6,960.9,0.0,33.7,0.0,39.4,290.6,15.4,0.0,0.0,411.4,516.4,37.9,70.2,293.1,645.7,1330.9,19.6,188.3,545.0,896.3,1152.4
yonB,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.7,7.1,6.1,3.2,82.0,40.5,0.0,8.3,0.0
pelC,0.0,2.4,0.0,0.0,2.9,0.0,7.4,883.7,630.6,0.0,2619.8,9944.4,9307.9,6920.3,5493.0,3191.2,11924.0,11438.4,7988.7,6062.6,438.6,652.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3,876.6,1271.1,1365.6,538.8,552.6,759.8,1516.1,1285.1,486.1,529.2
yxzI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.0,84.6,132.1,272.4,178.4,48.6,101.4,202.5,167.5,115.0,174.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.7,117.8,217.2,0.0,52.6,447.4,178.8,67.5,21.4,56.2
wprA,6.7,441.1,106.7,3.2,5.9,380.6,141.2,3375.3,1653.8,16.0,9856.6,59437.3,53288.3,21783.2,6864.2,10733.0,43140.5,32869.1,20157.2,7294.9,11286.0,21152.4,11123.3,11290.5,3413.6,8176.7,21147.2,16785.2,15552.2,2999.5,18549.5,7338.3,6570.3,5039.2,3660.1,15405.0,9253.7,8298.0,5896.6,3362.9
ywpE,75.2,0.0,0.0,179.0,175.7,0.0,0.0,116.6,123.0,86.2,0.0,0.0,82.9,8.1,16.5,0.0,0.0,0.0,0.0,14.6,462.2,0.0,0.0,0.0,665.0,113.2,0.0,427.0,25.8,2097.4,0.0,28.3,0.0,0.0,27.7,0.0,0.0,35.6,86.8,0.0
tcyA,9536.5,2064.1,2137.9,12341.5,20930.3,10793.5,3696.6,2162.2,3781.5,5239.7,2996.8,1717.4,950.9,646.0,1080.8,2879.8,1653.8,1334.3,513.1,670.5,1602.7,550.5,726.9,611.5,388.8,1590.6,694.0,199.7,684.0,815.4,8765.4,535.5,1207.9,1851.8,3835.7,8032.2,533.6,486.3,2891.1,4807.4
albA,0.0,0.0,7.9,0.0,2.3,0.0,22.1,799.2,306.1,0.0,2468.3,1257.9,883.9,831.3,842.7,2839.2,1033.6,771.3,916.1,794.5,60.6,16.3,0.0,133.6,0.0,3.1,0.0,0.0,5.9,0.0,23751.5,3647.7,4847.6,1016.5,797.9,17837.6,1859.1,1672.7,1657.7,750.7
ykjA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1.9,16.4,581.8,54.3,29.8,0.0,31.0,93.6,0.0,261.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1,0.0,13.0,310.2,480.8,16.5,0.0,42.9,390.0,823.5
rapB,8178.8,3463.6,3136.4,1082.9,1082.2,7066.7,3258.6,1084.2,814.8,1632.6,1545.7,2170.2,1082.8,506.7,319.3,2164.8,2318.0,1718.1,964.9,411.6,10548.5,2520.6,2096.4,1192.1,1367.1,11772.6,3945.6,2199.7,2577.1,984.6,3785.9,2418.9,925.2,1142.8,504.9,3436.4,2132.0,997.1,482.7,451.5
ylaM,301.4,853.3,429.2,8327.7,8703.5,317.2,9341.1,1066.6,4825.0,12000.2,96.1,297.5,547.2,9357.4,9844.9,196.8,196.4,341.5,3027.7,9808.9,155.2,119.9,308.4,1697.7,10341.0,24.1,190.1,373.9,3579.0,7852.5,42.9,203.2,3296.7,4408.5,4619.5,56.3,105.3,3771.1,4825.6,3136.9
atpA,304659.8,177128.2,109342.4,165918.3,79799.8,198700.6,297630.0,103283.7,115372.5,339531.8,34323.5,17723.4,46285.3,40656.9,36319.9,23971.9,11366.8,31601.9,38016.2,41721.0,102898.8,89018.5,112728.6,67716.1,79588.9,141693.9,134606.8,95177.4,102113.6,58956.5,39829.3,20838.2,36739.4,54134.2,35596.3,28810.8,23546.9,49207.7,47818.8,23249.4
yyaS,0.0,7.1,0.0,0.0,0.0,2.0,31.6,0.0,0.0,0.0,16.5,59.4,9.5,13.4,72.5,24.0,35.3,0.0,16.1,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,72.6,0.0,0.0,101.1,48.4,0.0,0.0,0.0,67.6
purB,41706.2,1992.0,2125.7,4772.0,4969.4,20169.5,2143.8,1467.0,1661.0,2371.0,3051.8,693.0,548.6,645.2,625.4,2906.9,560.7,306.0,382.7,431.6,17393.4,3992.5,1278.2,1295.0,2139.3,11500.1,2580.9,899.3,3285.1,3802.3,2816.4,563.8,418.5,866.3,2183.6,2670.4,745.6,657.1,3405.0,1425.5
cggR,5803.7,3411.8,9401.1,6387.1,9051.9,10748.0,5680.5,3364.4,3104.4,6253.5,4311.3,2364.4,1304.9,2403.0,3043.6,4581.1,2385.6,1648.4,1494.6,2288.5,9476.2,11101.2,5092.7,5501.4,4194.6,9065.7,3983.8,4727.6,4078.0,7590.3,1897.4,7489.6,5756.5,3661.0,2470.9,2729.6,4890.7,5147.1,5129.3,5882.6
acoA,804.0,7801.9,7629.6,50749.6,64183.8,1935.5,14318.8,3403.4,10084.7,40562.2,0.0,618.5,1590.2,4730.8,5547.3,0.0,97.7,1028.2,3695.2,10877.4,23.8,196.5,273.3,2137.2,218.9,365.8,1349.4,269.4,186.2,63.8,263.1,807.6,25658.1,8529.3,7243.2,19.5,883.2,20442.0,13842.9,9270.4
rtp,71.3,104.0,351.6,362.4,169.6,385.0,779.6,829.5,804.3,83.5,411.6,1696.9,2712.7,1938.2,1004.9,770.5,1546.4,2444.9,2416.8,1044.2,842.1,2285.9,4886.4,622.9,755.7,1454.6,1796.0,987.3,1930.5,268.5,649.7,3031.3,818.0,227.8,34.3,1150.3,2242.2,314.7,196.0,0.0
bglS,16158.5,38549.6,39562.8,54701.0,59358.8,8356.5,79749.3,18229.1,24711.9,74216.3,1805.0,5613.4,13625.9,11789.3,6053.6,937.8,4467.4,7073.2,10755.5,7758.8,61542.4,189877.5,179378.2,221712.3,158349.5,63420.4,138716.8,210352.4,264399.4,69311.5,713.0,2471.8,3283.7,3068.4,2023.0,1093.6,2555.1,3028.3,2035.2,1192.5
mraZ,10483.3,29921.5,39200.9,19499.6,18967.3,8259.4,49965.1,12929.7,13346.9,42979.4,6764.5,11942.4,28364.8,20324.4,12121.4,6563.0,10048.4,15811.0,22195.2,14936.0,19214.7,33143.2,50393.8,24500.2,31272.4,17591.7,33985.4,30098.0,28966.9,25725.5,5545.3,12377.1,9159.6,4396.7,7144.6,5097.9,11509.4,7334.0,5994.6,3136.2
yhfR,98.1,304.9,567.5,657.4,143.4,1106.9,723.2,2057.7,835.4,340.4,4498.7,7758.4,4692.0,5435.9,5072.0,3536.2,3583.3,6651.1,7208.9,4687.3,1310.6,225.1,240.1,0.0,1078.8,352.9,41.8,656.0,668.4,1797.6,12204.7,4517.8,6541.0,4824.5,2918.8,11704.6,9148.0,8575.5,3581.7,2874.4
xpf,0.0,0.0,45.0,39.1,0.0,0.0,421.0,60.8,8.2,11.1,23.4,96.7,86.3,53.7,54.8,38.8,43.9,136.9,102.0,102.6,181.1,1000.2,188.9,0.0,494.4,317.5,123.9,272.4,47.7,174.8,0.0,128.7,352.4,0.0,14.7,0.0,132.5,22.5,20.9,161.6
yfmA,0.0,270.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.6,139.2,0.0,0.0,0.0,0.0,168.7,0.0,0.0,1321.5,0.0,0.0,0.0,0.0,0.0,43.2,0.0,16.8,117.6,85.1,556.3,409.7,3.8,301.7,54.1,243.6,613.3
tagG,351.5,239.1,470.8,168.1,213.2,630.7,293.5,64.7,89.7,203.5,95.9,90.8,91.1,69.0,38.8,43.6,83.4,41.2,52.9,73.9,307.3,378.3,622.0,491.6,507.1,1691.1,990.1,348.7,1360.4,717.5,152.4,260.5,19.0,169.8,399.1,216.1,446.5,35.5,168.2,183.1
ygaK,12192.3,3500.3,5803.5,487.1,2712.1,4750.2,2313.4,1037.8,606.4,1138.2,230.3,193.0,122.1,106.3,84.8,293.8,167.9,225.0,142.4,113.2,5705.2,14182.8,3549.9,1868.9,1157.7,359.6,1361.8,677.2,382.4,676.2,68.1,254.9,365.7,73.5,99.9,86.2,75.9,74.5,88.3,74.1
yhcY,1406.0,812.4,1514.2,673.6,719.5,594.5,1444.5,12198.2,2345.5,725.5,34915.2,27966.2,14244.4,8266.9,2652.9,45434.2,39758.2,25809.0,12311.5,4137.7,5518.0,6899.1,3330.9,3257.7,4227.1,4101.1,6327.4,5977.5,5598.5,2782.2,2518.1,1937.5,871.6,1388.8,808.0,2385.5,2414.9,884.1,678.2,1176.9
yozW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,33.0,0.0,0.0,57.1,0.0,14.7,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,18.7,0.0,60.8,114.0,0.0,0.0,0.0,71.2,0.0
cssS,2035.5,662.1,1860.0,1061.1,843.5,1714.4,651.6,690.4,822.9,1239.5,1309.5,1455.7,719.0,639.4,476.8,1354.4,2001.3,1196.9,1041.4,456.5,1273.4,2773.1,371.1,316.5,788.7,2639.7,1938.2,688.5,1139.5,1071.7,1424.9,721.2,310.4,178.5,261.8,1493.1,522.8,435.8,470.6,182.3
yisX,11.8,0.0,0.0,0.0,0.0,0.0,0.0,348.2,397.7,9.4,1193.9,1950.1,1303.8,569.5,456.9,1508.8,2500.4,1191.3,904.3,558.0,0.0,0.0,210.7,982.4,0.0,0.0,0.0,168.9,13.6,0.0,666.1,455.4,79.2,316.9,715.5,1150.0,593.2,438.6,251.3,317.2
ywcE,5226.4,7164.8,24736.0,21253.9,58063.5,1192.5,10223.5,2770.9,3163.2,21409.9,575.6,4168.3,9946.3,8957.4,5876.1,557.8,3691.0,7250.7,8340.5,7701.8,4681.4,50771.6,36858.0,80260.2,78019.6,9410.7,46825.4,63799.7,127986.6,134659.7,748.8,2702.3,1834.4,2136.2,3289.0,418.4,2781.6,1870.3,1947.7,1232.8
ssrA,74862354.3,51598608.5,58187839.0,33996410.3,39367819.4,27082451.4,50878026.7,34244385.6,36690869.3,41165434.3,9586133.7,16103594.2,16687912.3,18895302.4,9789398.1,11962287.9,26384978.5,63230516.6,20229136.8,12692340.2,69883004.7,119897530.8,145058753.7,94575270.7,93169881.4,39809173.4,125313453.6,142003373.5,122525617.9,50419470.6,15350964.5,40156522.6,104628241.8,100479728.4,37959364.2,7188408.3,39340962.0,98548027.2,40271092.5,73146353.2
yetK,6.4,1147.1,4.4,0.0,0.0,415.2,87.1,3.8,174.7,0.0,7.2,16.5,9.7,2.9,13.4,8.0,7.4,19.4,26.6,3.2,0.0,0.0,480.1,0.0,0.0,0.0,0.0,216.4,0.0,58.7,1457.4,2760.0,2175.6,1885.0,1701.9,1074.5,3569.1,2244.4,1785.8,2220.9
ribC,4496.8,2836.0,2880.0,4165.6,3088.0,3258.6,3896.1,2096.5,1924.7,4924.6,1313.7,2371.4,2733.5,1872.3,1149.3,1156.1,1931.9,2498.9,2030.2,1327.7,2856.7,4714.1,3346.4,1717.1,2127.1,2981.1,7994.6,3216.4,3649.2,3859.0,1369.7,1064.5,669.0,746.3,675.2,1988.4,1154.1,1056.2,712.5,886.6
arsR,0.0,6.2,0.0,0.0,10.0,0.0,0.0,32.1,13.2,0.0,126.1,13.8,58.4,19.8,103.7,124.7,72.0,40.0,12.7,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,16.3,14.9,0.0,0.0,9.8,5.3,22.6,0.0,92.3,20.4
