,top_1_combination,top_1_score,top_2_combination,top_2_score,top_3_combination,top_3_score,top_4_combination,top_4_score,top_5_combination,top_5_score
AT5G03555,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT3G20810,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT2G36390,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT4G30650,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT5G18670,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT1G15670,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT2G37180,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT5G64570,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT1G78600,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT2G16365,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT2G02100,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
AT3G15356,AT2G47070; AT5G24930; AT5G62000,0.5548341023552307,AT5G24930; AT5G62000,0.5493673798805142,AT2G47070; AT1G06040; AT5G24930; AT5G62000,0.4573505896942021,AT1G06040; AT5G24930; AT5G62000,0.45628018249635544,AT2G47070; AT5G62000,0.4308580115474991
