,Rep3@0min,Rep3@30min,Rep3@60min,Rep3@90min,Rep3@120min,Rep3@150min,Rep3@180min,Rep3@195min,Rep1@0min,Rep1@30min,Rep1@60min,Rep1@90min,Rep1@120min,Rep1@150min,Rep1@180min,Rep1@195min,Rep2@0min,Rep2@30min,Rep2@60min,Rep2@90min,Rep2@120min,Rep2@150min,Rep2@180min,Rep2@195min,Rep3@210min,Rep3@225min,Rep1@210min,Rep1@225min,Rep2@210min,Rep2@225min
xkzB,2.32901990621603,2.59546603532058,3.50949521785613,4.40625634321972,4.96397811139661,3.93457283920652,4.06044214978613,3.50523907083818,1.84530730369239,2.00575150436005,1.23379343054253,3.4229038188317,3.38345580491796,3.6110787975155,4.46720033538381,3.89974519146566,1.30783941015668,1.58633883023846,3.03879812130124,4.16398281107875,4.39995208335199,4.65551754988807,3.85014637726459,5.32372097003936,3.6195603673396,2.71393475758627,4.16984325133005,2.65054349271605,4.02309826822074,3.93550900227922
aroK,4.6046552399102,4.81549710334835,4.86284313715275,4.84212265097519,4.91161474856368,4.94356912811622,4.87245827194762,4.89310977979869,4.84018605265818,5.2566581738355,5.35657136983152,5.01680095376235,4.95689814793715,4.949973564168,4.76770849739869,5.23481137659305,5.35979256817153,5.52330386824022,5.26498741162073,5.10243501308133,4.86414771269924,4.72828105384334,5.04792502747772,4.9105743909505,4.60745740459165,5.06115340784391,5.039227786102,4.87738145128513,4.90425868022092,4.87415930288488
yopF,2.56816507912835,1.97398959702235,2.64202463858661,1.80054911611882,2.57796332757781,1.58010574625214,0.647294241232624,0.147260367195303,2.05690262427574,2.39823078057742,2.41895748365257,2.29579520289604,2.40322582750794,1.98765414775415,1.25064103523992,2.00757586665678,1.61953081061766,2.42045847259378,2.27694837632582,2.13534485244139,2.53788234230869,1.51260351980428,0.7047043222135,1.52481646281752,-0.0894743993557809,-0.87219491101947,2.05564785029288,0.482895696442734,0.354785261875379,0.161126422510513
iolH,1.91651903825562,1.09337059703872,2.01696169556575,3.23768709130337,3.7675942357713,3.42369412883863,4.24153923097114,4.48904336078676,1.08234067743316,1.72181074327295,1.44696843452689,2.84350726704256,3.66638852925455,3.51159217751024,4.70459415412302,4.16188255272191,1.41372718967686,1.15013552374375,1.50127103626029,2.92703122818982,3.55697982469148,4.06825929284955,4.21626562032362,4.28534553849955,4.80302602695011,4.42123522486238,4.71387389823376,4.90029265158254,4.48333141510817,4.72060036135677
ycbO,3.31165364780577,3.63107858887489,3.17668786619513,3.47120120959815,3.48359979618689,3.57897811543368,3.66944319562417,4.01991404893899,3.2531483151805,3.44912470910027,3.07681012229677,3.2170334889149,3.37263663408034,3.39968312424388,3.45393380445753,3.55328857711746,3.2309512291387,3.45873974918978,3.52100851839189,3.56931774479297,3.29201179177819,3.57685950867512,3.36653999080984,3.71729301599833,3.57983072833893,3.85224972036512,3.63748885854571,3.44181063257307,3.55274936619772,3.44079190330731
yogA,0.973277289795975,2.2319651899033,1.57906598923304,1.65240348102223,2.12820659170148,1.47396192717995,1.92513233435278,0.769966054687153,0.947299802337016,2.15846676803463,2.15652841422842,2.124885672908,1.78977505266349,1.75435378870184,1.11852627719653,1.25846848607446,1.82542049744117,1.79617116600311,2.12766740057356,2.15253303358819,1.75571531217424,1.07605036205571,1.48715567873771,0.839583227545481,1.58967936664621,1.35119799773311,1.49169247369766,1.60611729567825,1.60458454225414,1.72249302360357
mhqD,2.99295500360831,2.99980229484656,1.83000183051385,1.9976414566107,2.10507641292513,2.05532109800198,1.72055508409828,2.42685943968843,2.8607521075396,2.61437223837539,1.67557674962189,1.98528461464309,2.09635250153709,2.37497133249312,2.07444130572278,2.44288296934343,3.15154916455261,1.83892826571455,2.16351322853983,1.93138249187046,2.52841732401686,2.20870205667532,2.26254949444875,2.17295244961493,2.41869606722075,2.51890342383785,2.40203030114134,2.44775204829394,2.67568628592671,2.28052971616671
yuiE,6.60948750697474,7.339850456119,6.97085963264149,6.89050221575434,6.69090705032762,6.58954504256905,6.63703906314051,6.70292440286614,6.96478865499026,7.37725780800129,7.17700679229007,7.02985983746214,6.92296483040122,6.69896378102961,6.69626690217677,6.86729758446714,6.76320149027475,7.47690651952806,7.17794021809912,6.83916752143718,6.78051704017331,6.65961894700374,6.87312623893465,6.57340320328416,7.08201302975133,7.05163184306848,6.8571362814511,7.33842291985523,6.83371395200336,7.16321099453445
yonV,0.926621196861098,0.577939576379284,1.20578633862998,0.834900468280506,-1.06500147734553,0.112622104779691,-0.831209019065148,-0.97228198695623,1.50409199242726,1.03063047814108,0.45289446000717,0.28286173066473,-0.0549178347221219,0.675597804132547,0.50757281562144,-0.143382523083803,1.41372718967686,0.573438384129224,0.664405129329192,0.858599490988202,-0.331675086179167,0.447069314922587,-0.533298387471833,-0.0841566897782687,-1.56102954154762,-1.56102954154762,0.163426878393476,-1.56102954154762,-0.801177332507106,-1.56102954154762
ywrF,5.09069099396003,4.73791183322599,4.03416277859639,3.85271787576747,3.74532702397491,4.08637977969019,4.07484161944984,4.06477555625344,4.91447668815485,4.67470278374762,4.73085171456895,4.38989575050485,4.31815334998198,4.10564409316927,4.02947525178606,4.34896230362982,5.58615626053085,5.21786633374924,4.81339652347914,4.04016001024737,4.38167084978165,4.26626094268638,4.26551283632979,3.73049208397453,4.16190199745886,4.56721942712276,4.22778914700625,4.82745241132973,4.293265547915,4.34253531548083
ykfC,2.05310066657385,1.61502779650767,1.6503632514306,1.98220733863933,1.85075554031479,1.67897255248528,2.08542961485475,2.20434757673447,1.5790969568722,1.06195528644356,1.08255500038252,1.0151842320191,1.63540891406801,1.70607556044568,1.90832388256866,1.63251126229552,1.8381556482341,1.21649596973688,1.06899797312755,1.49248966074702,1.23364432193387,2.17934178146437,2.11402320471472,1.61297948566323,2.72586333449212,1.9243562336445,1.27600189490274,2.15569418513685,0.988200977417517,2.30348507971717
rsbRC,4.88033826465303,4.76707293105214,5.10415249304418,5.11581342362167,5.1758295031334,5.44636766669086,5.69417612436613,6.05200867006512,5.20531373351932,5.1550126993479,5.23810201813312,5.08211640939974,5.21791095078041,5.05328658621427,5.06376128257196,4.99960521025299,5.19259535506772,4.96391044833624,5.21604215041299,5.42062733959705,4.98497993581064,5.45376788195615,5.60378534521849,5.21288248704521,6.12479768764099,6.5030108026361,5.19772510399188,5.85298164822175,5.81710176783217,6.17675505266273
