,Rep2@30min,Rep2@0min,Rep1@180min,Rep1@150min,Rep3@240min,Rep3@0min,Rep2@240min,Rep3@195min,Rep3@225min,Rep1@225min,Rep2@225min,Rep2@180min,Rep1@30min,Rep1@195min,Rep3@180min,Rep1@0min,Rep3@150min,Rep2@150min,Rep1@60min,Rep3@210min,Rep2@120min,Rep3@120min,Rep2@60min,Rep2@90min,Rep2@210min,Rep1@210min,Rep3@90min,Rep2@195min,Rep1@90min,Rep3@60min,Rep1@120min,Rep3@30min,Rep1@240min
ydaG,4.80045659898955,4.95895793112488,4.56689205310676,4.68526503258065,5.2904560145862,4.79200002928905,4.99980136366341,3.9578426395711,4.86974640073114,5.1453330183082,5.24407997139961,4.59816187644753,4.80074908354961,4.89876565037577,4.02132576878094,4.6136441979006,4.45753772503802,4.23806028667027,6.99202459588211,4.59953213376753,4.89761704774582,4.77173435505548,7.02720427337928,5.50501587018218,4.97333082514317,5.08789554882363,5.10516585592622,4.44198884572638,5.77783552695596,6.24183822566194,5.02411987165178,4.4492037546968,5.80754407271951
yjcP,3.08533541865023,3.61081581535047,3.2854734500425,2.917606039002,1.40449656935395,3.84760595110096,2.221774210648,1.20351120841516,1.69714748250781,2.44775204829394,1.97212734083583,2.4289892930578,3.04109494104763,3.84747703908739,1.86011069482501,2.89784982486601,2.39774409066478,2.88161305079538,3.01131102335805,1.30780236930009,3.21149762717814,2.93351940151303,3.2701256867507,3.24006966219858,2.11550773353771,2.97982687328995,3.12975928319611,3.01356413708092,3.4617317005497,3.01049839040013,2.76769990859406,2.82812348996948,4.26881109550345
yozF,-0.0503203009984466,1.15336256688072,0.50757281562144,-0.22254368977744,-0.198255136473906,0.351690608175745,-0.734379939695402,-1.56102954154762,-1.56102954154762,-1.56102954154762,-0.0554268348089879,-0.306987530492294,1.03063047814108,-0.260872047300345,-0.34885523141686,-0.203081924074464,-0.605968493456207,-0.155774423520144,0.637873205665783,-1.08175144721789,0.231883129137394,0.0485490785386901,0.596095689173918,0.582402995395425,-0.532477555831179,-0.543644140633246,0.529846118305122,0.0897979402192023,0.662034712145012,0.403561531880546,0.161673984179919,0.638598661871631,0.736201379929631
yraI,3.45873974918978,3.43334996439884,1.30027576047332,1.26992155596881,1.19668505205651,2.32002266888668,0.539153446304053,0.695846533264094,0.386042123437949,0.758398446411681,0.982097772027059,0.7047043222135,3.38244985091889,1.21512300559502,1.3303350931005,2.96930054277474,1.65488374858124,2.07160347581531,3.15471164249194,0.743615628168067,1.87999580819387,1.23592494343083,2.93200558450009,3.03292133336277,0.705980117759992,1.44647074513524,2.11550768760411,0.630184054013064,2.71279974596063,2.40491701625197,1.70606235072488,2.61068653957497,1.58142787511173
yjaV,1.15013552374375,1.57457650574007,1.25064103523992,2.14079153580208,-0.198255136473906,1.01847169315399,0.832548630009197,0.447472907545263,0.386042123437949,0.356053209696092,0.515874003901462,0.596893101338419,1.76051310796079,1.21512300559502,0.883749127734793,0.829357218593882,1.4178101942378,1.7103053346297,1.97946567202225,0.854324925711785,1.38815101999486,0.392152901054943,1.83344249091898,1.51923856116247,1.65927035343807,0.552938614878524,1.25015019122958,1.18464491682765,2.3065003396216,1.05629559205248,1.65339929935091,1.78566657052101,1.63843716073602
hypO,7.29212550684728,6.74302822402686,8.50670643946824,8.31606106249862,7.63429552968859,6.65804553974206,7.9011209991576,8.79125002464297,8.94462583316011,8.73838671699628,8.7798000950623,8.61798276978855,7.48374052615159,8.50394802233101,8.54302231711226,6.75638356223717,8.21605660251338,8.29751638803419,7.30295610289877,8.84046604382926,8.22828222992496,8.11340499805412,7.40328982872807,7.92717951880723,8.6971887566814,8.58496511393353,7.74720545298827,8.52337061697899,7.83537933058322,7.28344792525881,8.21472357067846,6.86721926686105,8.05830710423487
natK,5.025362479706,5.08851762628563,5.28020377966856,5.19994788543599,6.03158210981537,5.0572426527871,5.88421581197183,5.84039766309114,6.15525807633985,5.90488469682835,5.75150205464848,5.56497127789459,5.04173654342646,5.3469904748592,5.52446000027549,5.15103417473511,5.15584402708597,4.99583677833664,5.05925605104409,5.96588732568359,5.12500950233533,5.02686783375569,5.05201666180841,5.12437969252512,5.71270152620852,5.31872728463106,5.08904569623194,5.10806501227277,5.13262070840209,4.9180581283879,4.99619677985081,5.06241109524066,5.85942216046716
ydcQ,1.24856556267824,0.933634997132523,1.39469852524968,1.45658381772271,1.13969308138115,-0.0533842554435776,0.722243019697989,0.840462986492003,1.04774201410998,1.3965004884018,0.435025828980294,0.943506775495603,0.500929014959251,1.21512300559502,1.00900725043664,0.859759049470829,1.29849171752774,0.495521082838684,1.39655442490815,0.854324925711785,1.11218362111332,1.39695357201573,1.46342663344536,0.772278577476169,0.988200977417517,1.16871006015285,1.25015019122958,0.790013325774437,1.14013367540537,1.22926203580794,1.16935632316166,0.306045638030665,0.884966338383367
cssS,5.84638232114117,5.75599892565241,5.12530116854414,5.33967392336058,5.2131473994422,5.74247949651955,5.275990328068,5.10123539475,5.34008228402215,5.55209813885091,5.45355371387049,5.31148145341498,5.73963755826627,5.08485241957609,5.14686172831721,5.4634180702781,5.28897321695313,5.38951761991415,5.73815841714967,5.35061311055596,5.19846641812013,5.04217105387347,5.62564717949023,5.41351551585684,5.32792379084975,5.36503031721448,4.97086047196902,5.09536754459072,5.2688566295345,5.27883895413816,5.3547695322368,5.50364835797255,4.8782119228984
yvcB,7.6197651711859,7.90067802464949,5.69286679893488,5.86992200017495,3.32426345797187,7.93900656566041,3.86408488097909,2.73511954001519,2.42915701161772,4.13030081734077,3.27648436817953,3.32490708308654,7.60400417336878,6.14630605351234,3.79071121585098,8.13797428141531,5.20644109117628,5.54147605111349,7.46615360192634,3.27606675450821,6.16608306528469,6.14231682290162,7.13683129895684,6.61261531327459,3.58841389968578,5.72597570791887,6.0516637462706,4.85742033874379,6.89494875176696,6.52754202942456,6.53800006270287,7.67812969115537,5.75373068497285
