GSM1636313	Dapt1_T5
GSM1636314	Dapt1_T15
GSM1636315	Dapt1_T30
GSM1636316	Dapt2_T0
GSM1636317	Dapt2_T5
GSM1636318	Dapt2_T15
GSM1636319	Dapt2_T30
GSM1636320	PhoPT3_1
GSM1636321	PhoPT3_2
GSM1636322	PhoPT4_2
GSM1636323	Spec1_T0
GSM1636324	Spec1_T5
GSM1636325	Spec1_T15
GSM1636326	Spec1_T30
GSM1636327	Spec2_T0
GSM1636328	Spec2_T5
GSM1636329	Spec2_T15
GSM1636330	Spec2_T30
GSM1636331	Rifamp1_T0
GSM1636332	Rifamp1_T5
GSM1636333	Rifamp1_T15
GSM1636334	Rifamp1_T30
GSM1636335	Gin1_T2
GSM1636336	PsigFGin1_T2
GSM1636337	PsigKGin1_T2
GSM1636338	Gin1_T4.5
GSM1636339	PsigFGin1_T4.5
GSM1636340	PsigKGin1_T4.5
GSM1636341	Gin(6825vs6827)1_T3
GSM1636342	Gin(6825vs6827)2_T3
GSM1636343	YfmP1
GSM1636344	YfmP2
GSM1636345	YfmP3
GSM1636346	SigD1_T0
GSM1636347	SigD1_T5
GSM1636348	SigD1_T15
GSM1636349	SigD1_T30
GSM1636350	SigD2_T0
GSM1636351	SigD2_T15
GSM1636352	SigD2_T30
GSM1636353	RemA1_T5
GSM1636354	RemA1_T15
GSM1636355	RemA1_T30
GSM1636356	SigF2
GSM1636357	SigG2
GSM1636358	SigF&E1
GSM1636359	AlaR_OD 0.4
GSM1636360	AlaR_OD 0.7
GSM1636361	AlaR_OD 1.0
GSM1636362	AlaR_OD 1.7
GSM1636363	AseR_0.9_1
GSM1636364	AseR_1.4_1
GSM1636365	LmrA_0.9_1
GSM1636366	LmrA_1.4_1
GSM1636367	NtdR_T-0.5
GSM1636368	NtdR_T0
GSM1636369	YcnC_0.9_1
GSM1636370	YcnC_1.4_1
GSM1636371	YoaUT3.5
GSM1636372	YoaUT5.5
GSM1636373	YdtP_T0.5
GSM1636374	YdtP_T0
GSM1636375	YxaD T-1
GSM1636376	YxaD T-0.5
GSM1905394	sigD3_LL
GSM1905395	sigD3_T
GSM1905396	sigD4_LL
GSM1905397	sigD4_T
GSM1905398	sigW1.4_3
GSM1905399	sigW1.4_4
GSM1905400	sigG4
GSM1905401	sigG5
